NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
500,0.2,39.5,2.7,3.25,37885542.4,1.3985,79858073.6,9.74,10.135,9.4,827791974.4,8126898176
1000,0.1,77.9,2.5,4.995238095,41344243.81,2.247142857,80050858.67,13.78095238,14.48571429,13.12380952,827796333.7,8126898176
500,0.2,39.5,2.7,2.685,44969984,1.4465,80784179.2,9.33,9.96,8.685,827815526.4,8126898176
1000,0.1,77.9,2.5,5.035,41627238.4,2.3175,81781964.8,14.35,13.9,14.6,827869184,8126898176
500,0.2,39.5,2.6,2.595,46325964.8,1.4495,82743500.8,9.155,9.55,8.75,828131942.4,8126898176
1000,0.1,77.9,2.3,4.58,44912025.6,2.32,83496755.2,13.5,13.65,13.3,828058214.4,8126898176
500,0.2,39.5,2.7,2.956,41086566.4,1.408,84487782.4,9.495,9.9,9.21,828161433.6,8126898176
1000,0.1,77.9,2.5,4.975714286,41508668.95,2.352857143,85916330.67,14.3047619,14.23809524,13.99047619,828212175.2,8126898176
500,0.2,39.5,2.6,2.5355,45726515.2,1.3895,87025254.4,9.15,9.14,9.17,828325478.4,8126898176
1000,0.1,77.9,2.4,4.914285714,41356921.9,2.234285714,88143774.48,13.63333333,14.17142857,13.14285714,828148199.6,8126898176
500,0.2,39.5,2.5,2.34,45776076.8,1.378,89031065.6,8.87,9.26,8.49,828190105.6,8126898176
1000,0.1,77.9,2.3,4.266666667,44489581.71,2.241428571,89680749.71,13.07619048,13.64761905,12.5047619,828084224,8126898176
500,0.2,39.5,2.5,2.42,46560870.4,1.4455,90570752,9.045,9.09,9.03,828324454.4,8126898176
1000,0.1,77.9,2.4,4.93,41631539.2,2.3045,91525734.4,14,14.38,13.62,828213043.2,8126898176
500,0.2,39.5,2.5,2.384210526,45696916.21,1.452631579,92585984,9.042105263,9.221052632,8.894736842,828250866.5,8126898176
1000,0.1,77.9,2.3,4.28,43379916.8,2.31,93618380.8,13.305,14.5,12.29,828269568,8126898176
500,0.2,39.5,2.5,2.934,42804428.8,1.356,95082496,9.415,9.89,8.86,828125388.8,8126898176
1000,0.1,77.9,2.4,4.839047619,42079378.29,2.325714286,96041252.57,13.86666667,14.48571429,13.1047619,828250209.5,8126898176
500,0.2,39.5,2.4,2.3515,46285824,1.402,97037516.8,8.87,8.97,8.75,828036096,8126898176
1000,0.1,77.9,2.6,5.195238095,42696118.86,2.456190476,97848563.81,14.44285714,14.92380952,13.86666667,828303262.5,8126898176
500,0.2,39.5,2.5,2.475,46238924.8,1.4495,98584166.4,9.115,9.14,8.99,828305612.8,8126898176
1000,0.1,77.9,2.4,4.632380952,44170093.71,2.375238095,99565763.05,13.74285714,14.00952381,13.42857143,828419315.8,8126898176
500,0.2,39.5,2.7,2.985,41411584,1.483,100626022.4,9.705,9.75,9.58,828034867.2,8126898176
1000,0.1,77.9,2.6,5.093380952,41413095.62,2.306190476,101682224.8,14.15238095,14.24285714,14.10952381,828031171,8126898176
500,0.2,39.5,2.7,2.863157895,46139068.63,1.494736842,102890873.3,9.642105263,10.27368421,9.273684211,828013298.5,8126898176
1000,0.1,77.9,2.5,4.837619048,41897008.76,2.32,104088332.2,13.84285714,14.65714286,13.08571429,827906925.7,8126898176
500,0.2,39.5,2.5,2.411,46576025.6,1.482,105235251.2,9.09,9.17,9.1,827939635.2,8126898176
1000,0.1,77.9,2.5,4.812857143,42684025.9,2.352380952,107805159.6,13.94761905,14.67619048,12.98095238,827904390.1,8126898176
500,0.2,39.5,2.6,2.5375,46527488,1.4845,108984934.4,9.22,9.46,9,827886796.8,8126898176
1000,0.1,77.9,2.4,4.804761905,42411544.38,2.294761905,109684053.3,13.84761905,14.1047619,13.44761905,827679890.3,8126898176
500,0.2,39.5,2.6,2.66,46726963.2,1.439,110635827.2,9.19,9.46,9.03,827543142.4,8126898176
1000,0.1,77.9,2.4,4.761,44472729.6,2.4005,111861555.2,14,14.65,13.27,827743232,8126898176
500,0.2,39.5,2.5,2.505263158,46557076.21,1.482105263,113236722.5,9.273684211,9.357894737,9.115789474,827724422.7,8126898176
1000,0.1,77.9,2.4,4.78,44385484.8,2.35,113883750.4,13.925,14.1,13.88,827704320,8126898176
500,0.2,39.5,2.5,2.308,46804787.2,1.4075,114589286.4,8.88,8.8,8.85,827752038.4,8126898176
1000,0.1,77.9,2.4,4.398571429,44602709.33,2.317142857,115635541.3,13.44285714,14.0952381,12.86666667,827794968.4,8126898176
500,0.2,39.5,2.5,2.4865,42210099.2,1.4485,116571955.2,9.015,9.17,8.9,827602534.4,8126898176
1000,0.1,77.9,2.5,4.833333333,42104539.43,2.300952381,117414375.6,13.71428571,14.15238095,13.46666667,827753423.2,8126898176
500,0.2,39.5,2.6,2.5605,47118950.4,1.449,118015180.8,9.18,9.49,8.87,827696128,8126898176
1000,0.1,77.9,2.4,4.461904762,44701793.52,2.349047619,118887570.3,13.5047619,14.33333333,12.86666667,827652583.6,8126898176
500,0.2,39.5,2.5,2.435,47080243.2,1.45,119427891.2,8.94,9.08,8.73,827686707.2,8126898176
1000,0.1,77.9,2.4,4.59,45164339.2,2.396,119799193.6,13.765,14.19,13.59,827568332.8,8126898176
500,0.2,39.5,2.5,2.468421053,47117150.32,1.489473684,120489229.5,9.210526316,9.557894737,8.936842105,827906586.9,8126898176
1000,0.1,77.9,2.3,4.31,44510003.2,2.36,120976588.8,13.355,13.81,13,828065382.4,8126898176
500,0.2,39.5,2.7,2.879,43855667.2,1.428,121617203.2,9.46,9.7,9.15,827992268.8,8126898176
1000,0.1,77.9,2.4,4.798095238,42074697.14,2.278571429,122706017.5,13.71904762,14.11428571,13.51428571,828071350.9,8126898176
500,0.2,39.5,2.5,2.4295,46576230.4,1.4675,123810816,9,9.49,8.43,828058009.6,8126898176
1000,0.1,77.9,2.5,4.828571429,42904234.67,2.328571429,124674828.2,13.67142857,14.48095238,13.1952381,827842365,8126898176
