Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.0042,34004992,34004992,0.2,79716352,79716352,3.4,3.8,3,827752448,827752448,827752448,8126898176,8126898176,8126898176
0.0084,34004992,34004992,0.22,79716352,79716352,2.8,3,2.6,827752448,827752448,827752448,8126898176,8126898176,8126898176
0.012,34004992,34004992,0.22,79716352,79716352,3.7,3.8,3.6,827486208,827486208,827486208,8126898176,8126898176,8126898176
0.0086,34004992,34004992,0.22,79716352,79716352,2.9,2.8,3,828002304,828002304,828002304,8126898176,8126898176,8126898176
0.0095,34004992,34004992,0.23,79716352,79716352,3.8,3.6,4,827744256,827744256,827744256,8126898176,8126898176,8126898176
0.0094,34004992,34004992,0.21,79716352,79716352,3,3.2,2.8,827744256,827744256,827744256,8126898176,8126898176,8126898176
0.0086,34004992,34004992,0.21,79716352,79716352,3.8,3.8,3.8,829116416,829116416,829116416,8126898176,8126898176,8126898176
0.0086,34004992,34004992,0.2,79716352,79716352,2.9,3,2.8,827711488,827711488,827711488,8126898176,8126898176,8126898176
0.0086,34004992,34004992,0.25,79831040,79831040,3.5,3.8,3.2,827695104,827695104,827695104,8126898176,8126898176,8126898176
0.0086,34004992,34004992,0.23,79716352,79716352,2.9,2.8,3,827437056,827437056,827437056,8126898176,8126898176,8126898176
0.0094,34004992,34004992,0.18,79843328,79843328,3.5,3,4,827695104,827695104,827695104,8126898176,8126898176,8126898176
0.0099,34004992,34004992,0.21,79720448,79720448,3.1,3,3.2,827437056,827437056,827437056,8126898176,8126898176,8126898176
0.0089,34004992,34004992,0.21,79720448,79720448,3.5,3.2,3.8,827695104,827695104,827695104,8126898176,8126898176,8126898176
0.0041,34004992,34004992,0.2,79720448,79720448,2.7,3,2.4,827695104,827695104,827695104,8126898176,8126898176,8126898176
0.0082,34004992,34004992,0.18,79720448,79720448,3.6,3.8,3.4,827686912,827686912,827686912,8126898176,8126898176,8126898176
0.0082,34004992,34004992,0.19,79720448,79720448,2.9,2.8,3,827461632,827461632,827461632,8126898176,8126898176,8126898176
0.0086,34004992,34004992,0.23,79720448,79720448,3.7,3.6,3.8,827727872,827727872,827727872,8126898176,8126898176,8126898176
1.5,34783232,34783232,0.67,79867904,79867904,8.2,8.4,8,827719680,827719680,827719680,8126898176,8126898176,8126898176
3.6,36093952,36093952,1.3,79761408,79761408,12,12,11,827719680,827719680,827719680,8126898176,8126898176,8126898176
3.8,36290560,36290560,1.3,79777792,79777792,9.3,11,7.4,827711488,827711488,827711488,8126898176,8126898176,8126898176
3.3,36581376,36581376,1.2,79806464,79806464,9.6,9.2,10,828719104,828719104,828719104,8126898176,8126898176,8126898176
3.8,37224448,37224448,1.6,79798272,79798272,9.9,11,9.2,827428864,827428864,827428864,8126898176,8126898176,8126898176
3.5,37490688,37490688,1.5,79806464,79806464,11,11,12,827428864,827428864,827428864,8126898176,8126898176,8126898176
3.1,37634048,37634048,1.3,79855616,79855616,9.1,9.4,8.8,827686912,827686912,827686912,8126898176,8126898176,8126898176
3.8,37638144,37638144,1.3,79876096,79876096,9.5,9.4,9.6,827686912,827686912,827686912,8126898176,8126898176,8126898176
4,37691392,37691392,1.5,79929344,79929344,11,12,10,827686912,827686912,827686912,8126898176,8126898176,8126898176
3.5,37732352,37732352,1.6,79822848,79822848,11,12,10,827678720,827678720,827678720,8126898176,8126898176,8126898176
3.7,37974016,37974016,1.8,79724544,79724544,10,11,9.6,827412480,827412480,827412480,8126898176,8126898176,8126898176
4.2,38232064,38232064,1.8,79876096,79876096,11,12,11,827670528,827670528,827670528,8126898176,8126898176,8126898176
3.7,38461440,38461440,1.5,79785984,79785984,9.9,11,8.8,828702720,828702720,828702720,8126898176,8126898176,8126898176
3.2,38629376,38629376,1.7,79921152,79921152,11,12,9.8,827670528,827670528,827670528,8126898176,8126898176,8126898176
2.7,38748160,38748160,1.5,79966208,79966208,8.6,10,6.8,827662336,827662336,827662336,8126898176,8126898176,8126898176
3.1,38916096,38916096,1.2,79859712,79859712,9.3,8.8,9.8,827654144,827654144,827654144,8126898176,8126898176,8126898176
3,39182336,39182336,1.3,79884288,79884288,9.2,8.7,9.7,827912192,827912192,827912192,8126898176,8126898176,8126898176
2.6,39170048,39170048,1.5,79880192,79880192,9.8,10,9.5,827895808,827895808,827895808,8126898176,8126898176,8126898176
2.8,39534592,39534592,1.4,79912960,79912960,8.3,7.8,8.8,827637760,827637760,827637760,8126898176,8126898176,8126898176
2.1,39702528,39702528,1,80048128,80048128,7.1,6,8.2,828153856,828153856,828153856,8126898176,8126898176,8126898176
0.89,39702528,39702528,0.65,79933440,79933440,3.1,3.2,3,827637760,827637760,827637760,8126898176,8126898176,8126898176
0.36,39702528,39702528,0.29,79933440,79933440,3.6,3.4,3.8,827887616,827887616,827887616,8126898176,8126898176,8126898176
0.007,39702528,39702528,0.21,79802368,79802368,2.9,2.9,2.9,827887616,827887616,827887616,8126898176,8126898176,8126898176
0.0071,39702528,39702528,0.22,79802368,79802368,3.8,3.5,4.1,827887616,827887616,827887616,8126898176,8126898176,8126898176
0.0083,39702528,39702528,0.21,79806464,79806464,3.1,3,3.2,827629568,827629568,827629568,8126898176,8126898176,8126898176
0.0081,39702528,39702528,0.21,79806464,79806464,3.4,3.6,3.2,828403712,828403712,828403712,8126898176,8126898176,8126898176
1.3,39886848,39886848,0.59,79818752,79818752,7.3,7.4,7.2,827629568,827629568,827629568,8126898176,8126898176,8126898176
3.9,40423424,40423424,1.6,79728640,79728640,16,17,15,827604992,827604992,827604992,8126898176,8126898176,8126898176
5.9,41107456,41107456,2.4,79859712,79859712,14,12,16,828977152,828977152,828977152,8126898176,8126898176,8126898176
6.8,39993344,39993344,2.6,80048128,80048128,16,17,15,827604992,827604992,827604992,8126898176,8126898176,8126898176
6.3,40472576,40472576,2.2,80080896,80080896,15,14,16,827600896,827600896,827600896,8126898176,8126898176,8126898176
6.2,40738816,40738816,2.4,80007168,80007168,17,14,20,827600896,827600896,827600896,8126898176,8126898176,8126898176
6.3,40370176,40370176,2.5,80076800,80076800,15,17,12,827600896,827600896,827600896,8126898176,8126898176,8126898176
5.4,40620032,40620032,2.2,79982592,79982592,15,17,14,827850752,827850752,827850752,8126898176,8126898176,8126898176
