NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
1333,0.075,108.2,2.5,6.85,44711936,2.9355,80273612.8,17.69,18.18,17.15,828096716.8,8126898176
2000,0.05,154.3,2.4,7.678095238,44711936,3.822857143,81378742.86,21.02857143,21.35238095,20.65714286,828186038.9,8126898176
1333,0.075,108.2,2.3,5.5905,44711936,2.9285,83400294.4,16.325,16.84,15.91,828344115.2,8126898176
2000,0.05,154.3,2.4,8.080952381,44711936,3.828571429,85642093.71,21.25238095,22.32380952,20.12380952,828238896.8,8126898176
1333,0.075,108.2,2.3,5.585,44711936,2.957,88320819.2,16.145,17.16,15.31,828196044.8,8126898176
2000,0.05,154.3,2.4,8.018571429,44711936,3.842380952,90212839.62,21.21904762,21.76190476,20.58095238,828111920.8,8126898176
1333,0.075,108.2,2.2,5.395,44711936,2.8035,92329574.4,15.8,16.45,15.2,827940659.2,8126898176
2000,0.05,154.3,2.3,7.619047619,44711936,3.871428571,94847366.1,20.77142857,20.74285714,20.8952381,828140007.6,8126898176
1333,0.075,108.2,2.3,5.885,44711936,2.885,96807731.2,16.445,16.85,16.09,828133785.6,8126898176
2000,0.05,154.3,2.3,7.62952381,44711936,3.84,99259148.19,20.86666667,21.38095238,20.4,828070960.8,8126898176
1333,0.075,108.2,2.2,5.322,44711936,2.8985,101497651.2,16.015,16.65,15.38,827996569.6,8126898176
2000,0.05,154.3,2.5,8.538095238,44711936,3.969047619,104088332.2,22.10952381,22.35238095,21.58095238,827942034.3,8126898176
1333,0.075,108.2,2.4,6.173684211,44711936,3.063157895,108007855.2,17.47368421,17.78947368,17.10526316,827850752,8126898176
2000,0.05,154.3,2.4,8.127619048,44711936,3.898095238,110198198.9,21.67142857,21.35238095,22.03809524,827813497.9,8126898176
1333,0.075,108.2,2.3,5.475,44711936,2.8885,112094412.8,16.205,16.53,15.78,827974041.6,8126898176
2000,0.05,154.3,2.5,8.561904762,44711936,3.942857143,114430732.2,22.03809524,23.11428571,20.91428571,827892492.2,8126898176
1333,0.075,108.2,2.3,5.836842105,44711936,3.042105263,117018192.8,16.94736842,17.73684211,16.10526316,828480673.7,8126898176
2000,0.05,154.3,2.4,8.252380952,44711936,3.953809524,118280972.2,21.63333333,22.68571429,20.77142857,828327838.5,8126898176
