Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.52,44711936,44711936,0.25,79728640,79728640,3.8,3.8,3.8,828076032,828076032,828076032,8126898176,8126898176,8126898176
0.53,44711936,44711936,0.23,79835136,79835136,3.7,3.8,3.6,828076032,828076032,828076032,8126898176,8126898176,8126898176
0.0074,44711936,44711936,0.19,79728640,79728640,2.9,3,2.8,828084224,828084224,828084224,8126898176,8126898176,8126898176
0.0089,44711936,44711936,0.24,79835136,79835136,3.5,3.2,3.8,828067840,828067840,828067840,8126898176,8126898176,8126898176
0.013,44711936,44711936,0.23,79728640,79728640,2.7,2.6,2.8,828067840,828067840,828067840,8126898176,8126898176,8126898176
0.0082,44711936,44711936,0.19,79835136,79835136,3.4,3,3.8,828067840,828067840,828067840,8126898176,8126898176,8126898176
0.0081,44711936,44711936,0.2,79728640,79728640,3.2,3.4,3,828325888,828325888,828325888,8126898176,8126898176,8126898176
0.0096,44711936,44711936,0.22,79835136,79835136,3.7,4,3.4,828067840,828067840,828067840,8126898176,8126898176,8126898176
0.01,44711936,44711936,0.23,79859712,79859712,3.1,2.8,3.4,828346368,828346368,828346368,8126898176,8126898176,8126898176
0.01,44711936,44711936,0.24,79740928,79740928,3.7,3.8,3.6,828862464,828862464,828862464,8126898176,8126898176,8126898176
0.0092,44711936,44711936,0.21,79740928,79740928,3,3.2,2.8,828346368,828346368,828346368,8126898176,8126898176,8126898176
0.0085,44711936,44711936,0.21,79872000,79872000,3.7,3.6,3.8,828088320,828088320,828088320,8126898176,8126898176,8126898176
0.0084,44711936,44711936,0.22,79757312,79757312,3,3.2,2.8,827830272,827830272,827830272,8126898176,8126898176,8126898176
0.0085,44711936,44711936,0.18,79872000,79872000,3.8,3.4,4.2,827830272,827830272,827830272,8126898176,8126898176,8126898176
0.0043,44711936,44711936,0.2,79757312,79757312,2.8,3,2.6,828088320,828088320,828088320,8126898176,8126898176,8126898176
0.0096,44711936,44711936,0.21,79872000,79872000,3.8,4,3.6,828346368,828346368,828346368,8126898176,8126898176,8126898176
