NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
4000,0.025,301.3,3.1,15.34545455,50070993.45,6.959090909,190751092.4,36.37727273,37.11818182,35.72727273,828653568,8126898176
5333,0.01875,400,4,19.54545455,54668194.91,9.104545455,190623185.5,46.09545455,47.22727273,44.96363636,828777751.3,8126898176
4000,0.025,301.3,2.9,13.84454545,54549038.55,6.986818182,190639197.1,34.83636364,35.42727273,34.24545455,828424378.2,8126898176
5333,0.01875,400,3.9,19.72857143,56928743.62,9.514285714,190650465.5,47.71428571,48.85714286,46.42857143,828553703.6,8126898176
4000,0.025,301.3,2.9,14.20909091,55754565.82,7.181818182,190654650.2,35.55909091,36.95454545,34.02727273,828699182.5,8126898176
5333,0.01875,400,3.9,18.92727273,58522530.91,9.285,190669544.7,45.45454545,44.81818182,46.31818182,828625454.5,8126898176
4000,0.025,301.3,2.9,14.72857143,56767244.19,7.271428571,190686549.3,36.61904762,37.04761905,36.19047619,828560920.4,8126898176
5333,0.01875,400,3.6,18.57272727,59794525.09,9.163636364,190683880.7,44.90454545,43.18181818,46.26363636,828749079.3,8126898176
4000,0.025,301.3,2.8,13.74545455,57065285.82,6.910909091,190707898.2,34.22272727,35.10909091,33.52727273,828615028.4,8126898176
5333,0.01875,400,3.8,18.67727273,59929879.27,9.195454545,190718882.9,45.07272727,45.29090909,44.76363636,828689687.3,8126898176
4000,0.025,301.3,2.8,14.23809524,56493397.33,7.180952381,190724583.6,35.85714286,35.95238095,35.76190476,828920003,8126898176
5333,0.01875,400,3.8,18.43636364,60259979.64,9.118181818,190723351.3,44.60454545,44.82727273,44.79090909,828815173.8,8126898176
4000,0.025,301.3,2.8,13.69545455,58132852.36,6.953181818,190748113.5,34.49090909,35.18181818,33.93636364,828702720,8126898176
5333,0.01875,400,3.8,18.83363636,59412852.36,9.191363636,190742900.4,44.95,45.86363636,44.17272727,828634205.1,8126898176
4000,0.025,301.3,3,14.16666667,57364089.9,7.252380952,190623353.9,36.19047619,36.33333333,35.9047619,828792832,8126898176
5333,0.01875,400,3.6,18.62272727,60921483.64,9.245454545,190627840,45,48.36363636,41.40909091,828679633.5,8126898176
4000,0.025,301.3,2.9,13.615,57137710.55,6.977727273,190639569.5,34.38181818,35.03636364,33.90909091,828670138.2,8126898176
5333,0.01875,400,3.9,19.58095238,59920188.95,9.514285714,190655146.7,46.76190476,47.14285714,46.66666667,828643815.6,8126898176
4000,0.025,301.3,2.8,13.84545455,58540590.55,7.005454545,190672896,34.61363636,34.87272727,34.17272727,828671069.1,8126898176
5333,0.01875,400,3.8,18.63590909,61670120.73,9.184090909,190691514.2,44.90909091,45.63636364,44.22727273,828624523.6,8126898176
4000,0.025,301.3,2.8,14.20952381,59161648.76,7.304761905,190676016.8,36.0952381,37.85714286,34.38095238,828575353.9,8126898176
5333,0.01875,400,3.9,18.87272727,62403863.27,9.254545455,190722792.7,45.15454545,46.24545455,44.10909091,828599761.5,8126898176
4000,0.025,301.3,2.9,13.99545455,58960058.18,7.068636364,190712366.5,34.80909091,35.09090909,34.75454545,828801768.7,8126898176
5333,0.01875,400,4.3,18.53090909,61857978.18,9.169545455,190724468.4,44.99545455,45.4,44.63636364,828650775.3,8126898176
4000,0.025,301.3,2.8,13.54331818,58216634.18,6.986363636,190725771.6,34.57727273,35.05454545,34.05454545,828693597.1,8126898176
5333,0.01875,400,3.8,18.77727273,62588369.45,9.286363636,190609221.8,45.31818182,46.09090909,44.31818182,828618565.8,8126898176
4000,0.025,301.3,2.8,13.90454545,60544651.64,7.119545455,190631005.1,34.91818182,35.73636364,34.1,828644072.7,8126898176
5333,0.01875,400,3.6,19.4047619,62675041.52,9.680952381,190742918.1,47,47.14285714,46.9047619,828696673.5,8126898176
4000,0.025,301.3,2.8,13.03942609,59872122.43,6.77826087,190920971.1,33.14782609,34.07826087,32.13043478,828907698.1,8126898176
5333,0.01875,400,3.9,17.71756522,63505808.7,9.026086957,190932012.5,43.40434783,43.54782609,43.2173913,828982316.5,8126898176
4000,0.025,301.3,2.8,13.83227273,60094650.18,7.006363636,190954589.1,34.78181818,34.55454545,34.96363636,829003031.3,8126898176
5333,0.01875,400,3.9,18.69545455,62093684.36,9.418181818,190971159.3,45.10454545,46.32727273,43.88181818,828925579.6,8126898176
4000,0.025,301.3,2.8,13.66818182,60463476.36,7.05,190993128.7,34.64545455,35.59090909,33.78181818,828990184.7,8126898176
5333,0.01875,400,4,17.74192609,62339695.3,9.07826087,190977959,43.37391304,44.27826087,42.6,828945630.6,8126898176
4000,0.025,301.3,2.8,14.38095238,59712463.24,7.30952381,190994724.6,36.19047619,36.42857143,35.85714286,828924879.2,8126898176
5333,0.01875,400,3.8,18.6,64242408.73,9.231818182,190997410.9,44.84090909,45.51818182,44.16363636,829071173.8,8126898176
4000,0.025,301.3,2.8,13.19565217,60416890.43,6.780434783,191029426.1,33.33478261,34.2,32.49565217,828990152.3,8126898176
5333,0.01875,400,3.8,18.73954545,63453556.36,9.343181818,191033344,45.2,46.08181818,44.36363636,828977524.4,8126898176
4000,0.025,301.3,2.9,14.06818182,59894504.73,7.186363636,191039301.8,35.29545455,37.69090909,32.85454545,829080482.9,8126898176
5333,0.01875,400,3.9,18.75909091,63166277.82,9.372727273,191046190.5,45.29090909,45.59090909,44.83636364,829075083.6,8126898176
4000,0.025,301.3,2.8,12.89612917,60549802.67,6.632916667,191056554.7,32.5625,33.19166667,31.975,829009408,8126898176
5333,0.01875,400,4.1,19.61428571,63412126.48,9.757142857,190944987.4,47.71428571,47.9047619,47.33333333,829061997.7,8126898176
4000,0.025,301.3,2.8,13.80454545,61410397.09,7.168181818,190947886.5,34.91363636,35.6,34.13636364,828986833.5,8126898176
5333,0.01875,399.9,4.2,18.61363636,64557056,9.25,190962781.1,45.27272727,45.59090909,44.81818182,829111389.1,8126898176
4000,0.025,301.3,2.9,13.61850909,60845149.09,7.072727273,190888494.5,34.91363636,36.83636364,32.9,828897838.5,8126898176
5333,0.01875,400,3.7,19.08181818,64901492.36,9.422727273,190916608,45.5,46.03636364,45.00909091,828879406.5,8126898176
4000,0.025,301.3,2.9,13.99090909,61793373.09,7.189090909,190834688,35.36818182,35.98181818,34.64545455,828917573.8,8126898176
5333,0.01875,400,3.9,18.7,63195508.36,9.381818182,190890728.7,45.59090909,46.13636364,45.08181818,828834164.4,8126898176
4000,0.025,301.3,2.8,13.66413636,60687639.27,7.045454545,190865221.8,34.85,35.38181818,34.27272727,828874752,8126898176
5333,0.01875,399.9,3.7,18.84090909,63872093.09,9.436363636,190919586.9,45.40454545,45.73636364,45.07272727,828889088,8126898176
4000,0.025,301.3,2.9,13.97772727,61495109.82,7.088636364,190954216.7,35.18181818,35.22727273,35.18181818,828854830.5,8126898176
5333,0.01875,400,3.7,18.61848636,64093090.91,9.230909091,190966132.4,45.25909091,46.71818182,43.8,829027979.6,8126898176
4000,0.025,301.3,2.9,13.2956087,61937574.96,6.935217391,190983835.8,33.93043478,34.7826087,32.8173913,828941712.7,8126898176
5333,0.01875,400,4.1,18.76818182,63175773.09,9.407727273,190986426.2,45.59090909,45.31818182,45.68181818,828933213.1,8126898176
4000,0.025,301.3,2.9,13.91181818,60850920.73,7.098181818,190800244.4,34.82727273,35.24545455,34.72727273,828781474.9,8126898176
5333,0.01875,400,4.1,18.58215455,63754612.36,9.145454545,190655022.5,45.35,44.90909091,45.60909091,828667345.5,8126898176
4000,0.025,301.3,2.9,13.37130435,61865984,6.956521739,190551084.5,34.03478261,34.40869565,33.53043478,828611005.2,8126898176
5333,0.01875,400,3.8,18.82272727,64571392,9.367272727,190558208,45.39545455,46.13636364,44.64545455,828597527.3,8126898176
4000,0.025,301.3,2.9,14.7,61558784,7.466666667,190600923.4,36.57142857,37.28571429,36.04761905,828535954.3,8126898176
5333,0.01875,400,3.8,18.21391304,64848228.17,9.043478261,190606113.4,43.83913043,43.93913043,43.65217391,828632731.8,8126898176
4000,0.025,301.3,2.8,13.77272727,61399970.91,7.274090909,190604381.1,35.03636364,35.08181818,34.99090909,828606650.2,8126898176
5333,0.01875,400,3.8,18.77227273,63832994.91,9.426363636,190617972.4,45.65,45.95454545,45.25454545,828731392,8126898176
4000,0.025,301.3,3,14.83809524,62783097.9,7.438095238,190638177.5,37.04761905,37.76190476,36.28571429,828635233.5,8126898176
