Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.0082,33439744,33439744,0.18,190664704,190664704,3.6,3.6,3.6,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.012,33439744,33439744,0.19,190775296,190775296,2.7,2.6,2.8,830201856,830201856,830201856,8126898176,8126898176,8126898176
0.009,33439744,33439744,0.21,190664704,190664704,3.7,3.8,3.6,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.0091,33439744,33439744,0.18,190664704,190664704,2.7,3,2.4,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.0043,33439744,33439744,0.2,190664704,190664704,3.6,4.2,3,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.0087,33439744,33439744,0.24,190775296,190775296,2.9,3,2.8,830201856,830201856,830201856,8126898176,8126898176,8126898176
0.0087,33439744,33439744,0.21,190664704,190664704,3.6,3.2,4,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.0087,33439744,33439744,0.19,190775296,190775296,3,2.6,3.4,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.0087,33439744,33439744,0.21,190664704,190664704,3.7,4.4,3,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.0091,33439744,33439744,0.24,190775296,190775296,2.7,3.2,2.2,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.013,33439744,33439744,0.24,190664704,190664704,3.5,3.4,3.6,830201856,830201856,830201856,8126898176,8126898176,8126898176
0.0087,33439744,33439744,0.21,190775296,190775296,2.8,3.2,2.4,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.0084,33439744,33439744,0.21,190664704,190664704,3.7,3.4,4,830717952,830717952,830717952,8126898176,8126898176,8126898176
0.0084,33439744,33439744,0.18,190775296,190775296,2.9,2.8,3,830717952,830717952,830717952,8126898176,8126898176,8126898176
0.0091,33439744,33439744,0.21,190664704,190664704,3.6,3.8,3.4,830717952,830717952,830717952,8126898176,8126898176,8126898176
0.0092,33439744,33439744,0.22,190775296,190775296,2.9,2.6,3.2,830459904,830459904,830459904,8126898176,8126898176,8126898176
0.016,33439744,33439744,0.22,190664704,190664704,3.8,4,3.6,828862464,828862464,828862464,8126898176,8126898176,8126898176
0.016,33439744,33439744,0.22,190775296,190775296,3.2,3.6,2.8,828604416,828604416,828604416,8126898176,8126898176,8126898176
0.009,33439744,33439744,0.2,190664704,190664704,3.7,3.6,3.8,828862464,828862464,828862464,8126898176,8126898176,8126898176
0.0084,33439744,33439744,0.2,190775296,190775296,3,3,3,828862464,828862464,828862464,8126898176,8126898176,8126898176
0.0089,33439744,33439744,0.22,190664704,190664704,4.2,4,4.4,828862464,828862464,828862464,8126898176,8126898176,8126898176
0.0089,33439744,33439744,0.23,190771200,190771200,2.9,2.4,3.4,828862464,828862464,828862464,8126898176,8126898176,8126898176
0.0083,33439744,33439744,0.21,190664704,190664704,3.7,3.6,3.8,828862464,828862464,828862464,8126898176,8126898176,8126898176
0.0088,33439744,33439744,0.2,190795776,190795776,3,2.8,3.2,828813312,828813312,828813312,8126898176,8126898176,8126898176
0.0046,33439744,33439744,0.21,190681088,190681088,3.4,3,3.8,828809216,828809216,828809216,8126898176,8126898176,8126898176
0.0087,33439744,33439744,0.21,190795776,190795776,2.7,2.2,3.2,828551168,828551168,828551168,8126898176,8126898176,8126898176
0.013,33439744,33439744,0.21,190685184,190685184,4,3.6,4.4,828551168,828551168,828551168,8126898176,8126898176,8126898176
0.0048,33439744,33439744,0.19,190799872,190799872,2.7,3,2.4,828551168,828551168,828551168,8126898176,8126898176,8126898176
