NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
500,0.2,39.5,2,4.345,1.7855,6.06,6.37,5.75,3.495,3.43,3.56,85610291.2,44726272,714331750.4,8346394624,714331750.4,8126898176
1000,0.1,77.9,2,8.747619048,2.938571429,9.204761905,9.380952381,8.885714286,4.247619048,4.266666667,4.228571429,86004882.29,42325918.48,712002803.8,8346394624,712002803.8,8126898176
500,0.2,39.5,2.2,4.6,1.8015,6.295,6.5,6.09,3.475,3.38,3.57,86584320,44533350.4,714011443.2,8346394624,714011443.2,8126898176
1000,0.1,77.9,2,8.523809524,2.955714286,8.914285714,9.028571429,8.666666667,4.342857143,4.323809524,4.361904762,87612269.71,40700976.76,709741031.6,8346394624,709741031.6,8126898176
500,0.2,39.5,2,4.405263158,1.852631579,6.184210526,6.357894737,6.010526316,3.547368421,3.621052632,3.473684211,88675813.05,44061103.16,713301800.4,8346394624,713301800.4,8126898176
1000,0.1,77.9,1.9,7.975,3.005,8.74,8.92,8.59,4.35,4.33,4.37,90118963.2,43102208,712567808,8346394624,712567808,8126898176
500,0.2,39.5,2,4.307,1.83,6.105,6.01,6.2,3.45,3.42,3.48,91237990.4,44566323.2,714092134.4,8346394624,714092134.4,8126898176
1000,0.1,77.9,2,8.785,3,9.245,9.34,9.03,4.415,4.42,4.41,92207718.4,42194534.4,712104550.4,8346394624,712104550.4,8126898176
500,0.2,39.5,2.1,4.91,1.8175,6.405,6.49,6.32,3.54,3.52,3.56,92914278.4,43913420.8,713610240,8346394624,713610240,8126898176
1000,0.1,77.9,2,8.123809524,2.92952381,8.785714286,9.238095238,8.40952381,4.333333333,4.323809524,4.342857143,93672204.19,42392624.76,712106374.1,8346394624,712106374.1,8126898176
500,0.2,39.5,2.2,5.46,1.8615,6.63,6.61,6.65,3.61,3.53,3.69,94657536,39156326.4,708345446.4,8346394624,708345446.4,8126898176
1000,0.1,77.9,2,8.3,2.944285714,8.842857143,9.076190476,8.552380952,4.419047619,4.466666667,4.371428571,95783789.71,42746636.19,711929270.9,8346394624,711929270.9,8126898176
500,0.2,39.5,2.1,5.121052632,1.863684211,6.573684211,6.831578947,6.315789474,3.578947368,3.621052632,3.536842105,96758514.53,44985505.68,714264360.4,8346394624,714264360.4,8126898176
1000,0.1,77.9,2,8.738095238,2.952857143,9.166666667,9.466666667,8.819047619,4.276190476,4.295238095,4.257142857,97693696,42446262.86,711806000.8,8346394624,711806000.8,8126898176
500,0.2,39.5,2.2,4.98,1.882,6.4,6.49,6.31,3.54,3.41,3.67,99081216,44246016,713406259.2,8346394624,713406259.2,8126898176
1000,0.1,77.9,2,8.675,3.04,9.18,9.28,8.97,4.37,4.33,4.41,100236902.4,42272563.2,711667507.2,8346394624,711667507.2,8126898176
500,0.2,39.5,2,4.276,1.875,5.98,5.96,6,3.49,3.38,3.6,101056921.6,45053337.6,714552934.4,8346394624,714552934.4,8126898176
1000,0.1,77.9,2,8.043166667,2.945714286,9.00952381,9.533333333,8.476190476,4.30952381,4.266666667,4.352380952,101791061.3,42496780.19,711861979.4,8346394624,711861979.4,8126898176
500,0.2,39.5,2,4.142105263,1.894736842,5.905263158,5.957894737,5.852631579,3.557894737,3.494736842,3.621052632,102869099.8,44657825.68,713921374.3,8346394624,713921374.3,8126898176
1000,0.1,77.9,2.1,9.495,3.125,9.615,10.12,9.26,4.43,4.36,4.5,103550566.4,41822003.2,710852608,8346394624,710852608,8126898176
500,0.2,39.5,2,4.415,1.861,6.015,6.23,5.8,3.555,3.5,3.61,104955289.6,45345587.2,714306150.4,8346394624,714306150.4,8126898176
1000,0.1,77.9,1.9,7.519047619,3.006190476,8.476190476,8.676190476,8.266666667,4.352380952,4.257142857,4.447619048,106447238.1,42934857.14,712398555.4,8346394624,712398555.4,8126898176
500,0.2,39.5,2,4.2,1.8385,5.94,5.87,6.01,3.5,3.47,3.53,106986496,44991897.6,714275840,8346394624,714275840,8126898176
1000,0.1,77.9,1.9,7.855,2.9995,8.6,8.72,8.51,4.39,4.36,4.42,107754496,44099993.6,713492275.2,8346394624,713492275.2,8126898176
