"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","VM 1 Avg Host CPU Usage","VM 1 Host CPU 0 Usage","VM 1 Host CPU 1 Usage","VM 1 Host Mem Usage","VM 1 Host Mem Total","VM 2 Avg Host CPU Usage","VM 2 Host CPU 0 Usage","VM 2 Host CPU 1 Usage","VM 2 Host Mem Usage","VM 2 Host Mem Total"
2022-03-04 11:55:20,0.025,44290048,0.23,85340160,3.5,3.4,3.6,713760768,8346394624,1.7,1.6,1.8,745619456,8126898176
2022-03-04 11:55:25,0.011,44290048,0.24,85450752,2.3,2.8,1.8,713768960,8346394624,2.5,2.4,2.6,745619456,8126898176
2022-03-04 11:55:30,0.0052,44290048,0.25,85340160,2.9,3.0,2.8,713777152,8346394624,1.9,1.6,2.2,745619456,8126898176
2022-03-04 11:55:35,0.010,44290048,0.26,85450752,2.4,2.8,2.0,713519104,8346394624,2.4,2.4,2.4,745652224,8126898176
2022-03-04 11:55:40,0.016,44290048,0.24,85340160,2.9,3.4,2.4,713834496,8346394624,1.8,1.6,2.0,745652224,8126898176
2022-03-04 11:55:45,0.016,44290048,0.25,85450752,2.3,2.6,2.0,714051584,8346394624,2.2,2.0,2.4,745394176,8126898176
2022-03-04 11:55:50,0.0098,44290048,0.25,85340160,3.1,3.2,3.0,713793536,8346394624,2.1,2.0,2.2,745943040,8126898176
2022-03-04 11:55:55,0.0099,44290048,0.24,85450752,2.4,2.6,2.2,713801728,8346394624,2.3,2.6,2.0,745684992,8126898176
2022-03-04 11:56:00,0.0050,44290048,0.25,85340160,2.6,2.6,2.6,713744384,8346394624,1.9,2.0,1.8,745426944,8126898176
2022-03-04 11:56:05,0.010,44290048,0.24,85438464,2.6,2.4,2.8,713744384,8346394624,2.5,2.6,2.4,745684992,8126898176
2022-03-04 11:56:10,0.010,44290048,0.27,85340160,3.1,3.2,3.0,713744384,8346394624,1.8,2.0,1.6,745426944,8126898176
2022-03-04 11:56:15,0.011,44290048,0.26,85450752,2.4,2.8,2.0,713744384,8346394624,2.2,2.2,2.2,745684992,8126898176
2022-03-04 11:56:20,0.017,44290048,0.23,85340160,3.1,2.6,3.6,714084352,8346394624,1.8,2.0,1.6,745684992,8126898176
2022-03-04 11:56:25,0.012,44290048,0.27,85450752,2.3,2.4,2.2,714027008,8346394624,2.3,2.2,2.4,745684992,8126898176
2022-03-04 11:56:30,0.012,44290048,0.25,85340160,3.2,3.2,3.2,713793536,8346394624,1.8,2.0,1.6,745684992,8126898176
2022-03-04 11:56:35,0.0052,44290048,0.24,85450752,2.1,1.6,2.6,713793536,8346394624,2.4,2.2,2.6,745943040,8126898176
2022-03-04 11:56:40,0.0051,44290048,0.26,85340160,3.2,3.4,3.0,714059776,8346394624,1.9,1.8,2.0,745943040,8126898176
2022-03-04 11:56:45,0.016,44290048,0.27,85450752,2.3,2.4,2.2,713826304,8346394624,2.3,2.0,2.6,745943040,8126898176
2022-03-04 11:56:50,0.017,44290048,0.24,85340160,2.9,2.6,3.2,713654272,8346394624,2.1,1.8,2.4,746201088,8126898176
2022-03-04 11:56:55,0.010,44290048,0.25,85450752,2.4,2.8,2.0,713654272,8346394624,2.2,1.8,2.6,745943040,8126898176
2022-03-04 11:57:00,0.0100,44290048,0.27,85340160,2.9,2.6,3.2,713654272,8346394624,2.0,1.8,2.2,745943040,8126898176
2022-03-04 11:57:05,0.010,44290048,0.27,85446656,2.5,2.2,2.8,713912320,8346394624,2.3,2.6,2.0,745684992,8126898176
2022-03-04 11:57:10,0.012,44290048,0.27,85340160,3.0,2.4,3.6,713936896,8346394624,1.7,1.6,1.8,746463232,8126898176
2022-03-04 11:57:15,0.011,44290048,0.25,85450752,2.3,2.2,2.4,713678848,8346394624,2.3,2.6,2.0,745656320,8126898176
2022-03-04 11:57:20,0.010,44290048,0.24,85336064,3.1,3.0,3.2,713695232,8346394624,1.8,1.6,2.0,745656320,8126898176
2022-03-04 11:57:25,0.010,44290048,0.22,85467136,2.6,2.6,2.6,713703424,8346394624,2.4,2.4,2.4,745639936,8126898176
2022-03-04 11:57:30,0.010,44290048,0.25,85352448,2.7,2.8,2.6,713961472,8346394624,2.0,2.2,1.8,745639936,8126898176
2022-03-04 11:57:35,0.010,44290048,0.23,85467136,2.5,2.6,2.4,713961472,8346394624,2.2,2.4,2.0,745639936,8126898176
2022-03-04 11:57:40,0.0051,44290048,0.24,85352448,2.8,2.8,2.8,713703424,8346394624,2.0,1.8,2.2,745639936,8126898176
2022-03-04 11:57:45,0.011,44290048,0.24,85467136,2.7,2.6,2.8,713703424,8346394624,2.4,2.4,2.4,746414080,8126898176
2022-03-04 11:57:50,0.016,44290048,0.21,85352448,3.0,3.6,2.4,713703424,8346394624,2.0,1.6,2.4,745639936,8126898176
2022-03-04 11:57:55,0.0099,44290048,0.23,85467136,2.5,2.4,2.6,713687040,8346394624,2.5,2.4,2.6,745635840,8126898176
2022-03-04 11:58:00,0.0051,44290048,0.23,85352448,2.7,2.4,3.0,713687040,8346394624,1.9,2.0,1.8,745893888,8126898176
2022-03-04 11:58:05,0,44290048,0.28,85454848,2.6,2.6,2.6,713945088,8346394624,2.4,2.2,2.6,745635840,8126898176
2022-03-04 11:58:10,0.010,44290048,0.28,85352448,3.0,2.4,3.6,713719808,8346394624,1.8,1.6,2.0,745893888,8126898176
2022-03-04 11:58:15,0.017,44290048,0.22,85467136,2.4,2.8,2.0,713687040,8346394624,2.2,2.0,2.4,745893888,8126898176
2022-03-04 11:58:20,0.012,44290048,0.23,85352448,3.0,3.4,2.6,713687040,8346394624,2.0,2.4,1.6,746409984,8126898176
2022-03-04 11:58:25,0.010,44290048,0.25,85467136,2.8,3.0,2.6,713687040,8346394624,2.5,2.6,2.4,746409984,8126898176
2022-03-04 11:58:30,0.010,44290048,0.24,85352448,3.0,3.0,3.0,713687040,8346394624,1.9,2.2,1.6,745635840,8126898176
2022-03-04 11:58:35,0.010,44290048,0.23,85467136,2.3,2.6,2.0,713687040,8346394624,2.5,2.6,2.4,745893888,8126898176
2022-03-04 11:58:40,0.0098,44290048,0.26,85352448,3.0,3.2,2.8,713687040,8346394624,1.9,2.0,1.8,745893888,8126898176
2022-03-04 11:58:45,0.65,44290048,0.24,85467136,2.3,2.6,2.0,713895936,8346394624,2.6,2.6,2.6,747524096,8126898176
2022-03-04 11:58:50,2.7,44503040,0.51,85487616,4.5,4.8,4.2,713867264,8346394624,2.8,2.4,3.2,745873408,8126898176
2022-03-04 11:58:55,4.5,44515328,1.4,85643264,6.3,7.0,5.6,714047488,8346394624,4.1,4.0,4.2,745844736,8126898176
2022-03-04 11:59:00,4.4,44544000,1.8,85524480,6.1,7.2,5,714240000,8346394624,3.3,3.4,3.2,745820160,8126898176
2022-03-04 11:59:05,4.3,44699648,1.8,85524480,5.5,6.2,4.8,713920512,8346394624,4.0,3.6,4.4,745984000,8126898176
2022-03-04 11:59:10,4.6,44634112,1.9,85549056,6.7,8.0,5.4,715149312,8346394624,3.2,3.2,3.2,745955328,8126898176
2022-03-04 11:59:15,4.1,44818432,1.8,85684224,6.1,6.4,5.8,714301440,8346394624,3.7,3.4,4.0,746188800,8126898176
2022-03-04 11:59:20,4.2,44707840,1.8,85729280,6.3,7.2,5.4,714231808,8346394624,3.0,2.8,3.2,746201088,8126898176
2022-03-04 11:59:25,5.3,44724224,1.8,85602304,5.6,5.4,5.8,714178560,8346394624,3.6,3.6,3.6,745910272,8126898176
2022-03-04 11:59:30,5.5,44724224,1.9,85524480,7.6,7.6,7.6,715386880,8346394624,3.5,3.4,3.6,745881600,8126898176
2022-03-04 11:59:35,5.0,44724224,2.1,85647360,6.6,6.2,7.0,714264576,8346394624,3.9,3.6,4.2,745852928,8126898176
2022-03-04 11:59:40,4.7,44724224,2.1,85704704,6.5,5.8,7.2,714203136,8346394624,3.3,3.0,3.6,745574400,8126898176
2022-03-04 11:59:45,5.2,44724224,1.9,85573632,6.3,6.6,6.0,714383360,8346394624,3.8,4.0,3.6,745803776,8126898176
2022-03-04 11:59:50,5.3,44724224,2.0,85504000,6.7,7.0,6.4,714018816,8346394624,3.2,3.0,3.4,745775104,8126898176
2022-03-04 11:59:55,4.5,44724224,2.0,85405696,6.1,6.6,5.6,714203136,8346394624,3.8,3.6,4.0,746012672,8126898176
2022-03-04 12:00:00,3.9,44724224,1.9,85544960,6.0,6.4,5.6,714395648,8346394624,3.2,3.6,2.8,745996288,8126898176
2022-03-04 12:00:05,4.2,44883968,1.8,85643264,5.4,5.4,5.4,714334208,8346394624,4.2,4.0,4.4,746876928,8126898176
2022-03-04 12:00:10,4.7,44933120,1.7,85659648,6.7,6.6,6.8,714268672,8346394624,3.4,3.4,3.4,746082304,8126898176
2022-03-04 12:00:15,3.9,44830720,1.8,85786624,5.7,6.0,5.4,715235328,8346394624,3.6,3.8,3.4,746057728,8126898176
2022-03-04 12:00:20,3.6,44830720,2.0,85848064,5.9,6.2,5.6,714162176,8346394624,3.2,3.4,3.0,745779200,8126898176
2022-03-04 12:00:25,2.3,44830720,1.7,85618688,4.6,4.8,4.4,713842688,8346394624,3.1,3.4,2.8,746024960,8126898176
2022-03-04 12:00:30,0.35,44830720,1.0,85749760,3.4,3.6,3.2,714113024,8346394624,1.9,2.0,1.8,746024960,8126898176
2022-03-04 12:00:35,0.0098,44830720,0.35,85590016,2.2,2.0,2.4,714887168,8346394624,2.3,2.2,2.4,746283008,8126898176
2022-03-04 12:00:40,0.013,44830720,0.23,85544960,3.2,3.4,3.0,714186752,8346394624,1.8,1.6,2.0,746024960,8126898176
2022-03-04 12:00:45,0.014,44830720,0.23,85647360,2.3,2.2,2.4,714412032,8346394624,2.2,2.4,2.0,746024960,8126898176
2022-03-04 12:00:50,0.011,44830720,0.25,85544960,3.2,3.2,3.2,714145792,8346394624,1.8,2.0,1.6,746024960,8126898176
2022-03-04 12:00:55,0.35,44961792,0.24,85647360,2.2,2.6,1.8,714371072,8346394624,2.6,3.0,2.2,746541056,8126898176
2022-03-04 12:01:00,3.4,45023232,0.61,85807104,4.6,4.2,5,714072064,8346394624,2.9,3.0,2.8,746315776,8126898176
2022-03-04 12:01:05,6.7,45817856,1.8,85917696,7.2,8.0,6.4,714731520,8346394624,4.9,4.8,5,746115072,8126898176
2022-03-04 12:01:10,9.0,44294144,2.6,85983232,9.2,9.2,9.2,715128832,8346394624,4.1,3.6,4.6,746332160,8126898176
2022-03-04 12:01:15,11,44392448,2.9,85725184,10,9.8,10,713682944,8346394624,4.8,4.6,5,746258432,8126898176
2022-03-04 12:01:20,12,44523520,3.1,85819392,11,11,11,713809920,8346394624,4.1,3.8,4.4,745947136,8126898176
2022-03-04 12:01:25,10,43429888,3.3,85823488,11,11,10,713945088,8346394624,4.8,4.8,4.8,746962944,8126898176
2022-03-04 12:01:30,11,40525824,3.3,85929984,11,9.6,12,713043968,8346394624,4.3,4.4,4.2,746135552,8126898176
2022-03-04 12:01:35,12,40861696,3.5,86085632,11,11,10,709816320,8346394624,4.8,4.4,5.2,746336256,8126898176
2022-03-04 12:01:40,11,41119744,3.7,86130688,11,12,9.4,710221824,8346394624,4.1,4.2,4.0,746553344,8126898176
2022-03-04 12:01:45,10.0,40697856,3.0,85860352,9.6,10,9.0,710623232,8346394624,4.4,4.8,4.0,746242048,8126898176
2022-03-04 12:01:50,8.3,40697856,3.0,85856256,9.5,11,8.2,710250496,8346394624,3.8,4.0,3.6,746213376,8126898176
2022-03-04 12:01:55,8.5,41082880,3.2,85962752,9.1,9.2,9.0,710389760,8346394624,4.7,4.6,4.8,746672128,8126898176
2022-03-04 12:02:00,9.5,41066496,3.0,86085632,9.6,8.6,11,710492160,8346394624,4.1,4.0,4.2,746115072,8126898176
2022-03-04 12:02:05,10,41103360,3.1,86073344,9.8,9.4,10,710615040,8346394624,5.1,5.2,5,746164224,8126898176
2022-03-04 12:02:10,10,41414656,3.5,86171648,9.7,11,8.6,710737920,8346394624,4.0,4.0,4.0,746381312,8126898176
2022-03-04 12:02:15,9.3,41717760,3.1,86183936,9.5,9.6,9.4,710877184,8346394624,4.6,4.4,4.8,746323968,8126898176
2022-03-04 12:02:20,8.6,41889792,2.7,86159360,9.6,10,9.0,711528448,8346394624,4.2,4.4,4.0,746545152,8126898176
2022-03-04 12:02:25,6.9,42029056,3.0,86204416,9.0,9.0,9.0,711143424,8346394624,4.8,5,4.6,746729472,8126898176
2022-03-04 12:02:30,7.2,42168320,3.2,86020096,8.2,9.0,7.4,711565312,8346394624,3.8,3.8,3.8,746426368,8126898176
2022-03-04 12:02:35,6.7,42553344,3.4,86179840,8.1,8.8,7.4,712200192,8346394624,4.4,4.8,4.0,746377216,8126898176
2022-03-04 12:02:40,2.6,42434560,2.7,86122496,5.6,5.6,5.6,713183232,8346394624,2.5,3.0,2.0,746369024,8126898176
2022-03-04 12:02:45,0.46,42434560,0.99,86118400,2.2,2.6,1.8,711892992,8346394624,2.1,1.8,2.4,746369024,8126898176
2022-03-04 12:02:50,0.0098,42434560,0.25,86007808,3.1,2.6,3.6,711892992,8346394624,1.9,2.2,1.6,746369024,8126898176
2022-03-04 12:02:55,0.011,42434560,0.21,86118400,2.4,3.0,1.8,711892992,8346394624,2.5,2.4,2.6,746369024,8126898176
2022-03-04 12:03:00,0.011,42434560,0.23,86011904,3.1,3.2,3.0,711827456,8346394624,1.9,2.0,1.8,746369024,8126898176
2022-03-04 12:03:05,0.011,42434560,0.37,86237184,2.4,2.8,2.0,711569408,8346394624,2.8,2.6,3.0,746647552,8126898176
2022-03-04 12:03:10,0.91,42291200,0.33,86122496,2.9,3.2,2.6,711794688,8346394624,2.1,1.6,2.6,746389504,8126898176
2022-03-04 12:03:15,3.5,43880448,0.63,86364160,5.1,5,5.2,712015872,8346394624,3.6,3.6,3.6,746631168,8126898176
2022-03-04 12:03:20,4.6,44142592,1.5,86425600,6.7,6.0,7.4,712966144,8346394624,3.4,3.0,3.8,746340352,8126898176
2022-03-04 12:03:25,3.8,44298240,1.7,86433792,6.1,6.2,6.0,713449472,8346394624,3.7,4.2,3.2,746831872,8126898176
