NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
1333,0.075,108.2,2,11.425,3.6275,11.08,11.12,10.99,4.9,4.81,4.99,82687385.6,41828352,710778880,8346394624,710778880,8126898176
2000,0.05,154.3,1.9,13.44285714,4.975714286,12.95238095,13.3047619,12.64761905,5.70952381,5.638095238,5.780952381,83755008,45429126.1,715255417.9,8346394624,715255417.9,8126898176
1333,0.075,108.2,1.8,9.465,3.7395,9.925,10.33,9.79,4.865,4.78,4.95,85994905.6,44407808,714619494.4,8346394624,714619494.4,8126898176
2000,0.05,154.3,1.9,14.21428571,4.953333333,13.3047619,14.05714286,12.64761905,5.738095238,5.685714286,5.79047619,88072777.14,46820790.86,716901619.8,8346394624,716901619.8,8126898176
1333,0.075,108.2,1.8,9.685,3.701,10.125,10.58,9.74,4.835,4.88,4.79,90597376,44329984,714744832,8346394624,714744832,8126898176
2000,0.05,154.3,2,15.24285714,4.993333333,13.85238095,14.06666667,13.92380952,5.695238095,5.561904762,5.828571429,92709449.14,46193712.76,716448524.2,8346394624,716448524.2,8126898176
1333,0.075,108.2,1.9,10.83684211,3.878947368,10.89473684,11.18947368,10.45263158,4.989473684,4.968421053,5.010526316,95186297.26,44863272.42,715642556.6,8346394624,715642556.6,8126898176
2000,0.05,154.3,1.9,13.62857143,4.913333333,13.12380952,13.51428571,12.63809524,5.771428571,5.552380952,5.99047619,97444230.1,46738675.81,717217401.9,8346394624,717217401.9,8126898176
1333,0.075,108.2,1.9,9.905,3.7815,10.315,10.83,9.79,5.005,4.88,5.13,99456204.8,45027328,715830067.2,8346394624,715830067.2,8126898176
2000,0.05,154.3,1.9,14.0952381,5.076190476,13.44285714,13.45714286,13.23809524,5.742857143,5.552380952,5.933333333,101695097.9,46580882.29,716908056.4,8346394624,716908056.4,8126898176
1333,0.075,108.2,1.8,9.815,3.6735,10.18,10.39,9.95,4.855,4.85,4.86,104096153.6,45014835.2,715747328,8346394624,715747328,8126898176
2000,0.05,154.3,1.9,14.11904762,5.062857143,13.36666667,13.34285714,13.53333333,5.728571429,5.638095238,5.819047619,108056576,47650913.52,718384371.8,8346394624,718384371.8,8126898176
1333,0.075,108.2,1.9,10.185,3.747,10.505,10.78,10.28,4.83,4.88,4.78,110429593.6,45566361.6,716308070.4,8346394624,716308070.4,8126898176
2000,0.05,154.3,1.9,14.235,5.16,13.8,13.97,13.37,5.805,5.73,5.88,112512204.8,46938316.8,718848409.6,8346394624,718848409.6,8126898176
1333,0.075,108.2,1.8,9.794736842,3.889473684,10.33684211,10.57894737,10.09473684,4.968421053,4.905263158,5.031578947,114679808,45946987.79,716439336.4,8346394624,716439336.4,8126898176
2000,0.05,154.3,1.9,13.43333333,4.995238095,12.94761905,13.20952381,12.73333333,5.723809524,5.571428571,5.876190476,116959524.6,49081197.71,719676172.2,8346394624,719676172.2,8126898176
1333,0.075,108.2,1.9,9.745,3.835,10.25,10.59,9.94,4.97,4.88,5.06,118951116.8,46317568,717174579.2,8346394624,717174579.2,8126898176
2000,0.05,154.3,1.8,13.1,5.071428571,12.76666667,13.39047619,12.20952381,5.723809524,5.685714286,5.761904762,120727844.6,48961633.52,719701528.4,8346394624,719701528.4,8126898176
1333,0.075,108.2,1.8,9.61,3.768,10.015,10.18,10.14,4.9,4.98,4.82,122158694.4,46034124.8,717233561.6,8346394624,717233561.6,8126898176
2000,0.05,154.3,1.9,13.35714286,5.004761905,12.91428571,13.35238095,12.52380952,5.647619048,5.542857143,5.752380952,123564617.1,48444757.33,719220736,8346394624,719220736,8126898176
1333,0.075,108.2,1.9,11.18947368,3.884210526,11.04736842,11.17894737,10.95789474,4.994736842,4.905263158,5.084210526,125602762.1,46629510.74,717653477.1,8346394624,717653477.1,8126898176
2000,0.05,154.3,1.9,14.055,5.225,13.46,13.82,13.25,5.845,5.71,5.98,126441676.8,47005081.6,718064640,8346394624,718064640,8126898176
1333,0.075,108.2,1.8,9.575,3.7895,10.02,10.05,10.09,4.91,4.85,4.97,128464281.6,46281318.4,717508198.4,8346394624,717508198.4,8126898176
2000,0.05,154.3,1.9,13.39047619,5.132857143,13.1,13.41904762,12.78095238,5.79047619,5.676190476,5.904761905,130199747,48740059.43,719837866.7,8346394624,719837866.7,8126898176
1333,0.075,108.2,1.9,10.67,3.905,10.685,11.07,10.28,4.915,4.83,5,132316160,46609817.6,718126284.8,8346394624,718126284.8,8126898176
2000,0.05,154.3,1.9,13.85238095,5.058571429,13.31428571,13.24761905,13.13333333,5.776190476,5.752380952,5.8,132922806.9,47596300.19,718681429.3,8346394624,718681429.3,8126898176
1333,0.075,108.2,1.8,9.77,3.732,10.27,10.23,10.19,4.97,4.88,5.06,133082726.4,45850009.6,717273907.2,8346394624,717273907.2,8126898176
2000,0.05,154.3,1.9,13.28571429,5.121904762,12.94285714,13.12380952,12.66666667,5.80952381,5.866666667,5.752380952,132951283.8,48842264.38,720040521.1,8346394624,720040521.1,8126898176
1333,0.075,108.2,1.8,10.23157895,3.884210526,10.55263158,10.95789474,10.08421053,4.947368421,4.968421053,4.926315789,132669008.8,46715957.89,717786489.3,8346394624,717786489.3,8126898176
2000,0.05,154.3,1.9,13.55714286,5.078095238,13.07142857,13.02857143,13.06666667,5.747619048,5.59047619,5.904761905,133692854.9,48838753.52,719878631.6,8346394624,719878631.6,8126898176
1333,0.075,108.2,1.9,9.985,3.8105,10.42,10.45,10.3,4.915,4.98,4.85,135889510.4,46024704,717315891.2,8346394624,717315891.2,8126898176
2000,0.05,154.3,1.9,13.74285714,5.128571429,13.08571429,13.27619048,12.75238095,5.819047619,5.723809524,5.914285714,138355468.2,47749802.67,718731556.6,8346394624,718731556.6,8126898176
1333,0.075,108.2,2,10.86315789,3.963157895,10.8,10.95789474,10.75789474,5.036842105,4.989473684,5.084210526,140299425.7,45709635.37,717093187.4,8346394624,717093187.4,8126898176
2000,0.05,154.3,1.9,13.77142857,5.10952381,13.18571429,13.53333333,12.93333333,5.814285714,5.876190476,5.752380952,141712432.8,46806357.33,718175670.9,8346394624,718175670.9,8126898176
1333,0.075,108.2,1.9,10.205,3.899,10.46,10.82,10.09,4.89,4.79,4.99,142974156.8,45843865.6,717161267.2,8346394624,717161267.2,8126898176
2000,0.05,154.3,1.9,13.99047619,5.138095238,13.34761905,13.99047619,12.67619048,5.70952381,5.619047619,5.8,143763553.5,46399683.05,717483641.9,8346394624,717483641.9,8126898176
1333,0.075,108.2,1.9,10.02,3.795,10.22,10.44,10.06,4.895,4.76,5.03,145123532.8,45667123.2,716637184,8346394624,716637184,8126898176
2000,0.05,154.3,1.9,13.37619048,4.973809524,13.08571429,13.39047619,12.78095238,5.642857143,5.533333333,5.752380952,147426742.9,47477711.24,718081462.9,8346394624,718081462.9,8126898176
1333,0.075,108.2,1.9,9.72,3.8825,10.275,10.59,9.89,4.945,4.94,4.95,149429452.8,46329651.2,716738764.8,8346394624,716738764.8,8126898176
2000,0.05,154.3,1.9,13.39047619,5.05,13.08095238,13.28571429,12.73333333,5.761904762,5.628571429,5.895238095,151568969.1,48034182.1,718364672,8346394624,718364672,8126898176
1333,0.075,108.2,1.9,9.82,3.8565,10.29,10.34,10.02,4.995,4.91,5.08,153968025.6,46683136,717487923.2,8346394624,717487923.2,8126898176
2000,0.05,154.3,1.9,13.32857143,5.134285714,13.19047619,13.51428571,12.72380952,5.742857143,5.8,5.685714286,156446329.9,47501897.14,718168649.1,8346394624,718168649.1,8126898176
1333,0.075,108.2,1.9,10.2,3.87,10.495,10.93,10.01,4.85,4.84,4.86,158431027.2,45999923.2,716709683.2,8346394624,716709683.2,8126898176
2000,0.05,154.3,1.9,13.62380952,5.103809524,13.17619048,13.4952381,12.8,5.9,5.80952381,5.99047619,160105423.2,47711183.24,718934991.2,8346394624,718934991.2,8126898176
1333,0.075,108.2,1.8,9.725,3.797,10.19,10.16,10.245,4.93,4.94,4.92,159872000,46564761.6,717067059.2,8346394624,717067059.2,8126898176
2000,0.05,154.3,1.9,14.23333333,5.07,13.36190476,13.98095238,13.02857143,5.7,5.780952381,5.619047619,159294025.1,47431289.9,717946099.8,8346394624,717946099.8,8126898176
1333,0.075,108.2,1.9,9.575,3.895,10.07,10.32,9.95,4.945,4.94,4.95,159458304,46791270.4,717882777.6,8346394624,717882777.6,8126898176
2000,0.05,154.3,1.9,13.54761905,5.086190476,13.94285714,14.17142857,13.57142857,5.771428571,5.714285714,5.828571429,159518720,47977228.19,719734296.4,8346394624,719734296.4,8126898176
1333,0.075,108.2,1.9,9.73,3.7875,10.15,10.25,10.27,4.87,4.81,4.93,159613952,46708940.8,717970432,8346394624,717970432,8126898176
2000,0.05,154.3,1.9,13.31428571,5.176190476,12.83333333,12.75238095,13.1047619,5.766666667,5.761904762,5.771428571,159227904,49288338.29,720284525.7,8346394624,720284525.7,8126898176
1333,0.075,108.2,1.8,9.863157895,4.042105263,10.53157895,10.22105263,10.81052632,5.121052632,5.136842105,5.105263158,159165817.3,47033505.68,717339378.5,8346394624,717339378.5,8126898176
2000,0.05,154.3,1.8,13.27142857,5.102380952,12.96190476,12.7047619,13.36190476,5.780952381,5.695238095,5.866666667,159288953.9,48247174.1,718968539.4,8346394624,718968539.4,8126898176
