Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
0.014,34996224,0.24,82546688,3,3.4,2.6,704212992,8346394624,2.1,1.8,2.4,742682624,8126898176
0.015,34996224,0.25,82550784,2.1,2,2.2,704221184,8346394624,2.6,2.4,2.8,741650432,8126898176
0.023,34996224,0.25,82538496,2.9,2.6,3.2,704221184,8346394624,1.8,1.8,1.8,741650432,8126898176
0.0082,34996224,0.21,82423808,3.2,3.2,3.2,704479232,8346394624,2.3,2.4,2.2,741392384,8126898176
0.013,34996224,0.24,82538496,2.8,2.6,3,704520192,8346394624,1.6,1.4,1.8,741392384,8126898176
0.02,34996224,0.23,82423808,2.5,2.8,2.2,704229376,8346394624,2.6,2.8,2.4,741650432,8126898176
0.014,34996224,0.23,82538496,2.9,3,2.8,704487424,8346394624,1.7,1.4,2,741650432,8126898176
0.007,34996224,0.24,82423808,2.7,3,2.4,704229376,8346394624,2.3,1.8,2.8,741392384,8126898176
0.015,34996224,0.25,82538496,2.5,2.4,2.6,704495616,8346394624,1.9,2,1.8,741388288,8126898176
0.022,34996224,0.25,82427904,2.9,3,2.8,704237568,8346394624,2.4,2.6,2.2,741421056,8126898176
0.013,34996224,0.24,82538496,2.8,2.6,3,704348160,8346394624,1.9,1.4,2.4,743100416,8126898176
0.0063,34996224,0.22,82427904,2.3,2.6,2,704348160,8346394624,2.5,2,3,741421056,8126898176
0.013,34996224,0.23,82538496,2.8,3.2,2.4,704090112,8346394624,1.8,1.6,2,741679104,8126898176
0.021,34996224,0.27,82546688,2.3,2.2,2.4,704225280,8346394624,2.6,2.6,2.6,741416960,8126898176
0.014,34996224,0.25,82542592,3,3,3,704233472,8346394624,1.8,1.6,2,741416960,8126898176
0.013,34996224,0.22,82432000,2.5,2.8,2.2,704233472,8346394624,2.4,2.4,2.4,741416960,8126898176
0.013,34996224,0.22,82542592,3.1,3,3.2,704491520,8346394624,1.7,1.8,1.6,741416960,8126898176
