NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
4000,0.025,301.3,2,26.45,8.621363636,22.22272727,23.09090909,21.21818182,8.036363636,8.218181818,7.854545455,85712151.27,51654469.82,722190894.5,8346394624,722190894.5,8126898176
5333,0.01875,400,2.2,33.01818182,11.33090909,27.20454545,28,26.5,9.604545455,9.863636364,9.409090909,91945518.55,56634461.09,730454946.9,8346394624,730454946.9,8126898176
4000,0.025,301.3,2,26.95238095,8.99047619,22.71428571,23.23809524,22.0952381,8.4,8.823809524,7.976190476,98449505.52,52877409.52,728261388.2,8346394624,728261388.2,8126898176
5333,0.01875,400,2.2,33.81818182,11.38181818,27.71363636,28.69090909,26.59090909,9.695454545,9.854545455,9.409090909,105159028.4,56963630.55,732626944,8346394624,732626944,8126898176
4000,0.025,301.3,2,24.53181818,8.864090909,21.29090909,21.8,20.50909091,8.163636364,8.363636364,8,112766417.5,52749218.91,729448820.4,8346394624,729448820.4,8126898176
5333,0.01875,400,2.3,34.47619048,12.03809524,28.33333333,29.28571429,27.42857143,9.928571429,10.22857143,9.771428571,118752012.2,57050843.43,733635535.2,8346394624,733635535.2,8126898176
4000,0.025,301.3,1.9,24.34090909,8.890909091,21.13636364,21.91818182,20.35454545,8.145454545,8.336363636,8.009090909,122950562.9,54489088,731044212.4,8346394624,731044212.4,8126898176
5333,0.01875,400,2.1,32.87272727,11.61363636,27.23181818,28.42727273,25.94545455,9.704545455,9.781818182,9.590909091,127719237.8,57032145.45,734142836.4,8346394624,734142836.4,8126898176
4000,0.025,301.3,1.9,25.46190476,9.071428571,22.14285714,22.42857143,21.51428571,8.223809524,8.457142857,7.971428571,129642105.9,54100748.19,731145947.4,8346394624,731145947.4,8126898176
5333,0.01875,400,2.1,32.80454545,11.44090909,27.15909091,27.80909091,26.55454545,9.609090909,9.727272727,9.472727273,131553652.4,56344576,732898210.9,8346394624,732898210.9,8126898176
4000,0.025,301.3,2,24.19090909,8.885454545,21.58636364,21.75454545,21.32727273,8.490909091,8.609090909,8.418181818,137434018.9,54067200,730493300.4,8346394624,730493300.4,8126898176
5333,0.01875,400,2.1,32.68636364,11.30681818,27.15454545,28.28181818,25.91818182,9.504545455,9.663636364,9.472727273,143451973.8,57423127.27,732614842.2,8346394624,732614842.2,8126898176
4000,0.025,301.3,1.9,25.33333333,9.095238095,22,22.80952381,21.0952381,8.161904762,8.39047619,7.914285714,149735911.6,54694863.24,730503655.6,8346394624,730503655.6,8126898176
5333,0.01875,400,2.1,32.86818182,11.56818182,27.31363636,28.24545455,26.42727273,9.513636364,10,9.2,155892829.1,58170461.09,734057565.1,8346394624,734057565.1,8126898176
4000,0.025,301.3,1.9,24.36363636,8.999090909,21.14090909,21.61818182,20.70909091,8.154545455,8.418181818,7.890909091,160805236.4,54201064.73,730673524.4,8346394624,730673524.4,8126898176
5333,0.01875,400,2.1,33.36818182,11.47409091,27.48636364,28,27.06363636,9.75,9.863636364,9.490909091,161341812.4,58192989.09,734208000,8346394624,734208000,8126898176
4000,0.025,301.3,1.9,25.23809524,9.114285714,21.9047619,22.9047619,20.88571429,8.314285714,8.466666667,8.171428571,161422189.7,54901028.57,730434608.8,8346394624,730434608.8,8126898176
5333,0.01875,400,2.1,32.68636364,11.46363636,27.16818182,27.48181818,26.76363636,9.695454545,9.754545455,9.590909091,161173504,57697559.27,733973224.7,8346394624,733973224.7,8126898176
4000,0.025,301.3,1.9,24.65,8.985,21.23636364,21.87272727,20.46363636,8.2,8.545454545,7.918181818,160933701.8,54128826.18,730002152.7,8346394624,730002152.7,8126898176
5333,0.01875,400,2.1,34.52380952,11.65714286,28.33333333,29.23809524,27.61904762,9.723809524,9.857142857,9.542857143,160748690.3,57983756.19,733218523.4,8346394624,733218523.4,8126898176
4000,0.025,301.3,1.9,24.30454545,8.95,21.24090909,21.8,20.63636364,8.240909091,8.436363636,7.981818182,160718475.6,54292852.36,730510615.3,8346394624,730510615.3,8126898176
5333,0.01875,400,2.2,32.99090909,11.71136364,27.32727273,28.41818182,26.37272727,9.695454545,9.836363636,9.536363636,161021579.6,58256290.91,734197573.8,8346394624,734197573.8,8126898176
4000,0.025,301.3,2,25.39047619,9.357142857,23.95238095,25,22.95238095,8.357142857,8.4,8.295238095,161532586.7,55722374.1,731967488,8346394624,731967488,8126898176
5333,0.01875,400,2.1,32.83636364,11.73181818,27.31363636,27.93636364,26.41818182,9.609090909,9.727272727,9.454545455,160503808,58323316.36,734228107.6,8346394624,734228107.6,8126898176
4000,0.025,301.3,1.9,24.24090909,8.964545455,21.00909091,21.34545455,20.71818182,8.15,8.372727273,7.936363636,159613858.9,56776331.64,732681867.6,8346394624,732681867.6,8126898176
5333,0.01875,400,2.1,32.82272727,11.74181818,27.09090909,28.08181818,26.19090909,10.93636364,11.76363636,10.22727273,161524829.1,59155176.73,734685928.7,8346394624,734685928.7,8126898176
4000,0.025,301.3,2,25.0952381,9.214285714,22,22.57142857,21.19047619,8.333333333,8.457142857,8.238095238,165280816.8,56544304.76,732070668.2,8346394624,732070668.2,8126898176
5333,0.01875,400,2.2,32.64090909,11.68636364,27.02272727,28.11818182,25.97272727,9.681818182,9.690909091,9.609090909,166529768.7,59710370.91,735738042.2,8346394624,735738042.2,8126898176
4000,0.025,301.3,2,24.39545455,8.951363636,21.15454545,21.89090909,20.37272727,8.068181818,8.263636364,7.863636364,167645184,56260794.18,732768628.4,8346394624,732768628.4,8126898176
5333,0.01875,400,2.2,33.05909091,11.40863636,27.25454545,27.9,26.65454545,9.65,9.854545455,9.463636364,168945105.5,59034717.09,734679970.9,8346394624,734679970.9,8126898176
4000,0.025,301.3,1.9,25.28571429,9.2,21.95238095,22.33333333,21.47619048,8.528571429,8.8,8.276190476,170404717.7,57385350.1,733796059.4,8346394624,733796059.4,8126898176
5333,0.01875,400,2.2,33.06818182,11.39090909,27.30454545,28.02727273,26.49090909,9.586363636,9.754545455,9.509090909,171683095.3,59778327.27,735385413.8,8346394624,735385413.8,8126898176
4000,0.025,301.3,1.9,24.83636364,9.008181818,21.29545455,21.56363636,20.93636364,8.145454545,8.572727273,7.745454545,174264506.2,56571159.27,733133172.4,8346394624,733133172.4,8126898176
5333,0.01875,400,2.2,34,11.76666667,28.19047619,28.52380952,27.85714286,9.780952381,9.733333333,9.857142857,173915574.9,59914532.57,735697578.7,8346394624,735697578.7,8126898176
4000,0.025,301.3,1.9,24.62727273,9.009090909,21.30909091,21.94545455,20.71818182,8.140909091,8.309090909,7.945454545,179019403.6,57101218.91,732964491.6,8346394624,732964491.6,8126898176
5333,0.01875,400,2.1,32.74545455,11.51454545,27.43181818,27.31818182,27.31818182,9.813636364,9.990909091,9.7,181588526.5,59187200,735849937.5,8346394624,735849937.5,8126898176
4000,0.025,301.3,1.9,25.66666667,9.295238095,22.14285714,21.71428571,22.76190476,8.30952381,8.60952381,7.971428571,183009475,58228345.9,736039692.2,8346394624,736039692.2,8126898176
5333,0.01875,400,2.1,33.24090909,11.57727273,27.52727273,26.73636364,28.22727273,9.727272727,9.781818182,9.518181818,183932555.6,61410024.73,738236788.4,8346394624,738236788.4,8126898176
4000,0.025,301.3,2,24.58636364,8.995454545,21.34090909,20.70909091,21.74545455,8.240909091,8.409090909,8.054545455,184985413.8,58320709.82,734872482.9,8346394624,734872482.9,8126898176
5333,0.01875,400,2.2,33.51818182,11.405,27.52727273,26.80909091,28.2,9.754545455,10.02727273,9.463636364,185465762.9,59770135.27,735987525.8,8346394624,735987525.8,8126898176
4000,0.025,301.3,2,26.13809524,9.371428571,22.42857143,22.0952381,22.71428571,8.580952381,8.828571429,8.371428571,186646137.9,56322730.67,732815945.1,8346394624,732815945.1,8126898176
5333,0.01875,400,2.2,33.05454545,11.74545455,27.40909091,26.26363636,28.4,9.631818182,9.872727273,9.727272727,185059514.2,59273774.55,735250245.8,8346394624,735250245.8,8126898176
4000,0.025,301.3,1.9,24.69545455,9.104545455,21.18636364,20.35454545,22.10909091,8.145454545,8.336363636,7.936363636,184020992,57467438.55,733771217.5,8346394624,733771217.5,8126898176
5333,0.01875,400,2.1,34.28571429,12.24761905,28.28571429,27,29.52380952,10.12380952,10.3047619,10.17142857,185291532.2,60709741.71,736146578.3,8346394624,736146578.3,8126898176
4000,0.025,301.3,2,26.0952381,9.328571429,22.38095238,21.83809524,22.95238095,8.438095238,8.657142857,8.238095238,188854272,58876879.24,735655448.4,8346394624,735655448.4,8126898176
5333,0.01875,400,2.1,33.44545455,12,27.50454545,26.60909091,28.12727273,9.813636364,10.27272727,9.381818182,192214853.8,60545768.73,737063470.5,8346394624,737063470.5,8126898176
4000,0.025,301.3,2,24.98636364,8.876363636,21.42272727,20.9,22.12727273,8.104545455,8.4,7.809090909,194359482.2,56022853.82,732333893.8,8346394624,732333893.8,8126898176
5333,0.01875,400,2.2,34.23809524,12.0952381,28.38095238,27.38095238,29.33333333,10.25238095,10.62857143,9.761904762,195426986.7,60188184.38,735922663.6,8346394624,735922663.6,8126898176
4000,0.025,301.3,2.1,26.41363636,9.25,22.14090909,21.73636364,22.68181818,8.313636364,8.545454545,8.136363636,195795502.5,58118516.36,734087168,8346394624,734087168,8126898176
5333,0.01875,400,2.1,33.06818182,11.76272727,27.32272727,26.36363636,28.1,9.654545455,9.963636364,9.463636364,194140532.4,62461393.45,737817506.9,8346394624,737817506.9,8126898176
4000,0.025,301.3,1.9,25.42857143,9.342857143,21.9047619,20.95238095,22.9047619,8.49047619,8.79047619,8.171428571,193173211.4,57344195.05,733197848.4,8346394624,733197848.4,8126898176
5333,0.01875,400,2.1,33.10454545,11.88636364,27.40909091,26.3,28.47272727,9.745454545,10.05454545,9.5,194777646.5,61810315.64,737906874.2,8346394624,737906874.2,8126898176
4000,0.025,301.3,2,25.30454545,9.167272727,21.63181818,20.92727273,22.29090909,8.268181818,8.5,8.036363636,195779118.5,58568890.18,734940439.3,8346394624,734940439.3,8126898176
5333,0.01875,400,2.1,33.40909091,11.68636364,27.4,27,27.89090909,9.736363636,9.818181818,9.827272727,197017413.8,60857995.64,736756642.9,8346394624,736756642.9,8126898176
4000,0.025,301.3,1.9,25.28571429,9.538095238,22.04761905,21,22.85714286,8.557142857,8.695238095,8.371428571,199990320.8,57130227.81,732895719.6,8346394624,732895719.6,8126898176
5333,0.01875,400,2.1,32.81363636,11.85454545,27.30454545,26.38181818,28.24545455,9.759090909,9.863636364,9.690909091,202447965.1,61212299.64,737860701.1,8346394624,737860701.1,8126898176
4000,0.025,301.3,1.9,24.79090909,9.097272727,21.53181818,21.29090909,21.68181818,8.35,8.618181818,8.127272727,205490920.7,58119819.64,729053742.5,8346394624,729053742.5,8126898176
5333,0.01875,400,2.1,34.23809524,11.94285714,28.19047619,27.33333333,29.14285714,10.06190476,10.01904762,9.980952381,209280829,61926448.76,727308580.6,8346394624,727308580.6,8126898176
4000,0.025,301.3,2,24.57272727,9.204545455,21.29545455,20.52727273,22.06363636,8.227272727,8.6,7.9,212736372.4,60179176.73,726432488.7,8346394624,726432488.7,8126898176
5333,0.01875,400,2.2,33.21363636,11.83636364,27.29545455,26.24545455,28.57272727,9.840909091,10.16363636,9.627272727,213370135.3,62544058.18,728319813.8,8346394624,728319813.8,8126898176
4000,0.025,301.3,1.9,25.36190476,9.623809524,21.95238095,21.42857143,22.61904762,8.576190476,8.971428571,8.20952381,213779992.4,59305203.81,725915940.6,8346394624,725915940.6,8126898176
5333,0.01875,400,2.1,32.56363636,11.69090909,27.25454545,26.11818182,28.02727273,9.672727273,9.918181818,9.690909091,213723880.7,62829474.91,728685102.5,8346394624,728685102.5,8126898176
4000,0.025,301.3,2,24.46818182,9.082727273,21.11363636,20.50909091,22.03636364,8.281818182,8.418181818,8.145454545,214600797.1,59927272.73,726207208.7,8346394624,726207208.7,8126898176
5333,0.01875,400,2.2,32.95,11.72772727,27.08636364,26.64545455,27.70909091,9.890909091,10.03636364,9.809090909,213481472,63487813.82,729533533.1,8346394624,729533533.1,8126898176
4000,0.025,301.3,1.9,25.27142857,9.485714286,22.04761905,20.95238095,22.80952381,8.604761905,8.742857143,8.438095238,213001362.3,59828906.67,726200125,8346394624,726200125,8126898176
5333,0.01875,400,2.1,32.89090909,11.67272727,27.2,26.25454545,28.04545455,9.763636364,9.827272727,9.618181818,213408861.1,62662842.18,728414394.2,8346394624,728414394.2,8126898176
4000,0.025,301.3,2,24.68181818,9.177727273,21.37727273,20.96363636,21.79090909,8.595454545,8.609090909,8.581818182,212885690.2,59631057.45,726339397.8,8346394624,726339397.8,8126898176
5333,0.01875,400,2.1,34.47619048,12.23809524,28.57142857,27.66666667,29.23809524,10.11428571,10.47619048,9.819047619,213943637.3,62036065.52,727399667.8,8346394624,727399667.8,8126898176
4000,0.025,301.3,1.9,25.42857143,9.480952381,21.95238095,21.33333333,22.76190476,8.504761905,8.666666667,8.342857143,214857435.4,60420681.14,726420333.7,8346394624,726420333.7,8126898176
5333,0.01875,400,2.1,32.71818182,11.76363636,27.21363636,26.48181818,27.71818182,9.818181818,10.16363636,9.427272727,216561664,62900224,729462039.3,8346394624,729462039.3,8126898176
4000,0.025,301.3,1.9,24.22272727,9.198181818,21.12272727,20.10909091,21.95454545,8.386363636,8.463636364,8.390909091,219867694.5,59381387.64,725299200,8346394624,725299200,8126898176
5333,0.01875,400,2.1,34.33333333,12.25238095,28.23809524,27.42857143,29.28571429,10.28095238,10.24761905,10.25714286,224857721.9,62712490.67,729052501.3,8346394624,729052501.3,8126898176
4000,0.025,301.3,2,25.02272727,9.059090909,21.41818182,20.74545455,22.23636364,8.127272727,8.2,8.054545455,227224296.7,61318609.45,727884893.1,8346394624,727884893.1,8126898176
5333,0.01875,400,2.1,33.33636364,11.90227273,27.46363636,26.55454545,28.20909091,10.1,10.19090909,9.9,229145320.7,62434210.91,728339735.3,8346394624,728339735.3,8126898176
4000,0.025,301.3,2,25.29047619,9.6,22.04761905,21.55238095,22.47619048,8.642857143,9.133333333,8.114285714,230033700.6,60238506.67,726321444.6,8346394624,726321444.6,8126898176
5333,0.01875,400,2.1,32.89545455,11.90454545,27.35454545,26.06363636,28.46363636,9.859090909,10.26363636,9.481818182,231752424.7,62212282.18,728659223.3,8346394624,728659223.3,8126898176
4000,0.025,301.3,1.9,24.55,9.013636364,21.23181818,20.90909091,21.6,8.168181818,8.418181818,7.890909091,232833210.2,60104890.18,726854935.3,8346394624,726854935.3,8126898176
5333,0.01875,400,2.3,33.18181818,11.8,27.32272727,26.57272727,27.98181818,10.03636364,10.22727273,9.890909091,233594135.3,63156596.36,729218699.6,8346394624,729218699.6,8126898176
4000,0.025,301.3,1.9,25,9.561904762,22.04761905,21.47619048,22.57142857,8.766666667,8.895238095,8.628571429,234818608.8,59359817.14,725437098.7,8346394624,725437098.7,8126898176
5333,0.01875,400,2.1,33.28181818,11.97727273,27.35,26.21818182,28.62727273,9.872727273,10.07272727,9.963636364,236423168,63668782.55,729730513.5,8346394624,729730513.5,8126898176
4000,0.025,301.3,2,24.57272727,9.109545455,21.26818182,20.29090909,22.38181818,8.477272727,8.590909091,8.354545455,238951144.7,60432011.64,726667077.8,8346394624,726667077.8,8126898176
5333,0.01875,400,2.1,34.76190476,12.46190476,28.52380952,27.33333333,29.61904762,10.29047619,10.7047619,9.942857143,243057420.2,63216493.71,728442977.5,8346394624,728442977.5,8126898176
4000,0.025,301.3,2,24.63636364,9.318181818,21.24545455,21.03636364,21.57272727,8.372727273,8.845454545,7.9,246380916.4,60716497.45,726437515.6,8346394624,726437515.6,8126898176
5333,0.01875,400,2.1,33.12272727,11.96818182,27.36363636,26.59090909,28.04545455,9.9,10.22727273,9.636363636,249400040.7,64345367.27,731320692.4,8346394624,731320692.4,8126898176
4000,0.025,301.3,1.9,25.31904762,9.5,22.04761905,21.66666667,22.38095238,8.614285714,8.695238095,8.523809524,252011276.2,60945164.19,728151966.5,8346394624,728151966.5,8126898176
5333,0.01875,400,2.1,32.9,12.20454545,27.32272727,26.75454545,27.66363636,9.968181818,10.06363636,9.790909091,253484311.3,63200907.64,730014254.5,8346394624,730014254.5,8126898176
4000,0.025,301.3,2,24.26363636,9.274090909,21.1,20.73636364,21.46363636,8.390909091,8.645454545,8.127272727,256023645.1,59756544,726387246.5,8346394624,726387246.5,8126898176
5333,0.01875,400,2.1,32.80454545,11.98545455,27.03181818,26.19090909,28.09090909,9.927272727,9.818181818,10.06363636,259043328,62456925.09,729175319.3,8346394624,729175319.3,8126898176
4000,0.025,301.3,1.9,25.04761905,9.352380952,21.95238095,21.71428571,22.04761905,8.485714286,8.704761905,8.276190476,258958092.2,61119536.76,727980714.7,8346394624,727980714.7,8126898176
5333,0.01875,400,2.1,33.07272727,11.96818182,27.40909091,26.50909091,28.08181818,10.04090909,9.890909091,9.863636364,259736482.9,63894993.45,730716904.7,8346394624,730716904.7,8126898176
4000,0.025,301.3,1.9,24.19090909,9.296818182,21.16363636,22.36363636,19.96363636,8.313636364,8.536363636,8.1,261648570.2,60317137.45,727262301.1,8346394624,727262301.1,8126898176
5333,0.01875,400,2.1,32.93181818,12.07272727,27.35454545,26.21818182,28.17272727,10.05909091,10.1,9.818181818,264986810.2,64121762.91,730069178.2,8346394624,730069178.2,8126898176
4000,0.025,301.3,1.9,24.34545455,9.290909091,21.18636364,20.35454545,21.88181818,8.413636364,8.672727273,8.136363636,268867397.8,60673861.82,726160290.9,8346394624,726160290.9,8126898176
5333,0.01875,400,2.2,32.87727273,12.07727273,27.30454545,26.28181818,28.27272727,10.10454545,10.48181818,9.581818182,273216977.5,63305728,729243275.6,8346394624,729243275.6,8126898176
4000,0.025,301.3,1.9,24.17272727,9.307727273,21.00454545,20.47272727,21.62727273,8.381818182,8.418181818,8.327272727,276755362.9,59945332.36,726256360.7,8346394624,726256360.7,8126898176
