"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","VM 1 Avg Host CPU Usage","VM 1 Host CPU 0 Usage","VM 1 Host CPU 1 Usage","VM 1 Host Mem Usage","VM 1 Host Mem Total","VM 2 Avg Host CPU Usage","VM 2 Host CPU 0 Usage","VM 2 Host CPU 1 Usage","VM 2 Host Mem Usage","VM 2 Host Mem Total"
2022-03-06 00:58:20,0.014,36466688,0.24,84238336,2.5,2.8,2.2,706416640,8346394624,2.5,2.2,2.8,744280064,8126898176
2022-03-06 00:58:25,0.020,36466688,0.23,84348928,3.2,3.0,3.4,706367488,8346394624,1.8,1.8,1.8,745054208,8126898176
2022-03-06 00:58:30,0.013,36466688,0.24,84238336,2.5,2.6,2.4,706367488,8346394624,2.3,2.6,2.0,744022016,8126898176
2022-03-06 00:58:35,0.013,36466688,0.24,84348928,2.9,2.4,3.4,706400256,8346394624,1.8,1.8,1.8,744022016,8126898176
2022-03-06 00:58:40,0.014,36466688,0.24,84238336,2.8,3.0,2.6,706625536,8346394624,2.4,2.8,2.0,744022016,8126898176
2022-03-06 00:58:45,0.0076,36466688,0.24,84348928,3.2,3.2,3.2,706359296,8346394624,1.8,1.6,2.0,743763968,8126898176
2022-03-06 00:58:50,0,36466688,0.24,84238336,2.3,2.0,2.6,706359296,8346394624,2.3,2.6,2.0,744280064,8126898176
2022-03-06 00:58:55,0.013,36466688,0.24,84348928,3.1,3.0,3.2,706453504,8346394624,1.9,2.2,1.6,744247296,8126898176
2022-03-06 00:59:00,0.019,36466688,0.26,84238336,2.4,2.6,2.2,706617344,8346394624,2.3,2.2,2.4,743989248,8126898176
2022-03-06 00:59:05,0.013,36466688,0.26,84348928,2.9,2.6,3.2,706617344,8346394624,1.8,1.8,1.8,745021440,8126898176
2022-03-06 00:59:10,0.020,36466688,0.23,84238336,2.6,3.0,2.2,706617344,8346394624,2.4,2.4,2.4,744275968,8126898176
2022-03-06 00:59:15,0.014,36466688,0.24,84344832,3.1,3.0,3.2,706617344,8346394624,1.9,2.2,1.6,744505344,8126898176
2022-03-06 00:59:20,0.0064,36466688,0.28,84238336,2.3,2.0,2.6,706359296,8346394624,2.3,2.4,2.2,745279488,8126898176
2022-03-06 00:59:25,0.019,36466688,0.24,84348928,2.9,3.2,2.6,706715648,8346394624,1.8,2.0,1.6,744247296,8126898176
2022-03-06 00:59:30,0.019,36466688,0.24,84238336,2.5,2.8,2.2,706097152,8346394624,2.2,1.8,2.6,744247296,8126898176
2022-03-06 00:59:35,0.013,36466688,0.25,84348928,3.3,3.2,3.4,707670016,8346394624,1.9,2.4,1.4,744280064,8126898176
2022-03-06 00:59:40,0.0071,36466688,0.24,84238336,2.4,2.2,2.6,706494464,8346394624,2.2,2.2,2.2,744280064,8126898176
2022-03-06 00:59:45,0.013,36466688,0.27,84348928,2.9,2.6,3.2,706637824,8346394624,1.9,2.2,1.6,744538112,8126898176
2022-03-06 00:59:50,0.013,36466688,0.25,84238336,2.5,2.2,2.8,707153920,8346394624,2.3,2.0,2.6,744538112,8126898176
2022-03-06 00:59:55,0.0063,36466688,0.23,84348928,2.6,2.8,2.4,706637824,8346394624,1.8,2.2,1.4,744538112,8126898176
2022-03-06 01:00:00,0.019,36466688,0.25,84238336,2.7,2.6,2.8,707670016,8346394624,2.3,2.6,2.0,744280064,8126898176
2022-03-06 01:00:05,0.013,36466688,0.23,84348928,3.0,3.2,2.8,706379776,8346394624,1.8,2.0,1.6,744280064,8126898176
2022-03-06 01:00:10,0.014,36466688,0.25,84238336,2.3,2.0,2.6,706412544,8346394624,2.6,2.6,2.6,744800256,8126898176
2022-03-06 01:00:15,0.020,36466688,0.28,84336640,3.1,3.0,3.2,707371008,8346394624,2.1,2.4,1.8,744284160,8126898176
2022-03-06 01:00:20,0.013,36466688,0.28,84234240,2.5,2.8,2.2,707178496,8346394624,2.2,2.4,2.0,744026112,8126898176
2022-03-06 01:00:25,0.0066,36466688,0.22,84365312,3.0,3.4,2.6,706371584,8346394624,1.8,1.8,1.8,744267776,8126898176
2022-03-06 01:00:30,0.012,36466688,0.21,84250624,2.5,2.6,2.4,706367488,8346394624,2.4,2.4,2.4,745299968,8126898176
2022-03-06 01:00:35,0.012,36466688,0.24,84365312,2.9,3.2,2.6,706367488,8346394624,1.9,2.2,1.6,744267776,8126898176
2022-03-06 01:00:40,0,36466688,0.23,84250624,2.3,2.0,2.6,706637824,8346394624,2.3,2.4,2.2,744267776,8126898176
2022-03-06 01:00:45,0.019,36466688,0.23,84365312,3.4,2.8,4.0,706568192,8346394624,1.9,2.2,1.6,744030208,8126898176
2022-03-06 01:00:50,0.019,36466688,0.24,84250624,2.3,2.2,2.4,706641920,8346394624,2.3,2.4,2.2,744267776,8126898176
2022-03-06 01:00:55,0.0062,36466688,0.26,84365312,2.5,2.0,3.0,706568192,8346394624,1.9,2.0,1.8,744267776,8126898176
2022-03-06 01:01:00,1.0,36728832,0.25,84250624,2.6,2.8,2.4,706310144,8346394624,2.2,2.2,2.2,744267776,8126898176
2022-03-06 01:01:05,15,41676800,0.57,84496384,8.5,9.8,7.2,707526656,8346394624,4.1,4.0,4.2,744476672,8126898176
2022-03-06 01:01:10,33,44179456,4.3,84275200,26,30,21,712237056,8346394624,8.6,8.6,8.6,744325120,8126898176
2022-03-06 01:01:15,38,45895680,8.8,84373504,30,31,29,714756096,8346394624,8.7,9.2,8.2,744386560,8126898176
2022-03-06 01:01:20,37,50028544,8.7,84348928,25,26,25,717148160,8346394624,8.7,8.4,9.0,744464384,8126898176
2022-03-06 01:01:25,29,50876416,10.0,84066304,26,26,25,721092608,8346394624,8.9,9.0,8.8,743751680,8126898176
2022-03-06 01:01:30,31,51859456,10,84369408,27,29,26,721649664,8346394624,8.9,9.2,8.6,744316928,8126898176
2022-03-06 01:01:35,35,52400128,9.3,84238336,28,29,27,722440192,8346394624,8.9,8.6,9.2,744615936,8126898176
2022-03-06 01:01:40,29,52506624,11,84504576,23,24,22,723030016,8346394624,9.0,9.0,9.0,744480768,8126898176
2022-03-06 01:01:45,27,53006336,9.1,84799488,22,21,22,723877888,8346394624,7.7,8.4,7.0,745078784,8126898176
2022-03-06 01:01:50,27,54214656,7.4,84684800,24,25,22,723918848,8346394624,8.8,9.8,7.8,744894464,8126898176
2022-03-06 01:01:55,28,54693888,9.9,85176320,25,24,25,726208512,8346394624,8.8,9.4,8.2,745480192,8126898176
2022-03-06 01:02:00,29,54153216,11,85311488,24,25,23,725807104,8346394624,8.8,8.8,8.8,745517056,8126898176
2022-03-06 01:02:05,27,54226944,10,85745664,24,25,23,725045248,8346394624,8.3,7.8,8.8,745857024,8126898176
2022-03-06 01:02:10,25,54775808,9.6,85893120,21,23,19,725626880,8346394624,8.0,8.4,7.6,746250240,8126898176
2022-03-06 01:02:15,27,52072448,9.6,86626304,22,24,20,726196224,8346394624,8.5,8.2,8.8,746979328,8126898176
2022-03-06 01:02:20,25,52072448,9.6,86913024,22,22,22,724160512,8346394624,8.7,9.2,8.2,746831872,8126898176
2022-03-06 01:02:25,22,52101120,9.1,87105536,22,24,20,723488768,8346394624,8.5,8.8,8.2,747147264,8126898176
2022-03-06 01:02:30,27,53088256,9.2,87212032,23,22,23,724267008,8346394624,8.5,8.6,8.4,747757568,8126898176
2022-03-06 01:02:35,28,53108736,10,87609344,22,22,23,724869120,8346394624,8.7,9.0,8.4,747794432,8126898176
2022-03-06 01:02:40,22,53137408,9.6,87805952,20,21,20,725159936,8346394624,8.6,8.7,8.5,748679168,8126898176
2022-03-06 01:02:45,15,53161984,7.7,87973888,18,19,16,724877312,8346394624,6.0,6.7,5.3,748310528,8126898176
