CPU Stress,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
0,500,0.2,39.5,3.2,3.521052632,44711936,1.787894737,79570189.47,10.94736842,11.43157895,10.48421053,829076965.1,8126898176
3,500,0.2,39.5,2.8,2.707,44711936,1.673,79812198.4,11.45,11.8,11.11,829030195.2,8126898176
6,500,0.2,39.5,2.9,2.6545,44711936,1.689,80465305.6,12.645,13.68,11.84,829228032,8126898176
9,500,0.2,39.5,3,2.705,44711936,1.754,81108582.4,14.315,14.05,14.65,829208985.6,8126898176
12,500,0.2,39.5,3.2,3.485,44711936,1.7215,81798553.6,16.55,17.72,15.35,829107200,8126898176
15,500,0.2,39.5,3.2,3.42,44711936,1.7425,82507366.4,18.2,16.12,20.05,829162086.4,8126898176
18,500,0.2,39.5,3.2,2.8925,44711936,1.804,83210854.4,19.3,20.9,17.7,829131161.6,8126898176
21,500,0.2,39.5,3,2.700952381,44711936,1.626666667,83566396.95,19.7,19.87619048,19.33333333,829058877,8126898176
24,500,0.2,39.5,2.9,2.7925,44711936,1.66,84344012.8,21.65,20.75,22.25,829233152,8126898176
27,500,0.2,39.5,3,2.7025,44744704,1.7535,85497241.6,23.15,23.45,22.99,829149798.4,8126898176
30,500,0.2,39.5,3.1,2.764,44744704,1.8305,86010470.4,24.85,23.86,25.9,829108838.4,8126898176
33,500,0.2,39.5,3.2,2.731904762,44744704,1.787142857,86582418.29,25.42857143,23.52380952,27.39047619,829215890.3,8126898176
36,500,0.2,39.5,3.1,2.685285714,44744704,1.751904762,87246555.43,26.8047619,28.57142857,24.95238095,829160301.7,8126898176
39,500,0.2,39.5,3.1,2.715,44744704,1.794,87795097.6,29.3,27.35,31.2,829265920,8126898176
42,500,0.2,39.5,3.1,2.578571429,44744704,1.738095238,88863110.1,29.28095238,27.47619048,31.28571429,829138651.4,8126898176
45,500,0.2,39.5,3.2,2.661428571,44744704,1.768571429,90102637.71,31.0952381,28.14285714,34.0952381,829255289.9,8126898176
48,500,0.2,39.5,3.3,2.669142857,44744704,1.804285714,90750390.86,32.52380952,30.62857143,34.28571429,829108614.1,8126898176
51,500,0.2,39.5,3.3,2.95,44744704,1.842,91154022.4,35.35,32.85,38,829140172.8,8126898176
54,500,0.2,39.5,3.3,2.892380952,44744704,1.781428571,91427206.1,35.23809524,35.6,35,829148598.9,8126898176
57,500,0.2,39.5,3.3,2.766190476,44744704,1.800952381,92220074.67,36.71428571,39,34.47619048,829118756.6,8126898176
60,500,0.2,39.5,3.4,2.858904762,44744704,1.780952381,92721932.19,38.18571429,36.97142857,39.47619048,829211794.3,8126898176
63,500,0.2,39.5,3.5,3.089,44744704,1.8935,93341491.2,41.25,43.2,39.45,829241548.8,8126898176
66,500,0.2,39.5,3.4,2.769047619,44744704,1.833809524,94074002.29,40.85714286,40.52380952,41.33333333,829063753.1,8126898176
69,500,0.2,39.5,3.3,2.736666667,44744704,1.826190476,94904320,42.28571429,37.81904762,46.61904762,828941068.2,8126898176
72,500,0.2,39.5,3.2,2.543809524,44744704,1.75952381,95942168.38,43.52380952,40.42857143,46.67619048,828960182.9,8126898176
0,1000,0.1,77.9,2.5,4.370175,44744704,2.6835,96701440,14.195,15.45,12.98,828913459.2,8126898176
