Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.0085,44711936,44711936,0.2,79536128,79536128,0,45682688,2.8,2.6,3,828817408,828817408,828817408,8126898176,8126898176,8126898176
0.0042,44711936,44711936,0.21,79425536,79425536,0,45682688,3.8,3.4,4.2,828817408,828817408,828817408,8126898176,8126898176,8126898176
0.0087,44711936,44711936,0.18,79425536,79425536,0,45682688,2.9,3.2,2.6,828817408,828817408,828817408,8126898176,8126898176,8126898176
0.0087,44711936,44711936,0.2,79425536,79425536,0,45682688,3.7,3.4,4,829075456,829075456,829075456,8126898176,8126898176,8126898176
0.005,44711936,44711936,0.23,79552512,79552512,0,45682688,3.6,4,3.2,830107648,830107648,830107648,8126898176,8126898176,8126898176
0.013,44711936,44711936,0.25,79425536,79425536,0,45682688,4,4.4,3.6,829075456,829075456,829075456,8126898176,8126898176,8126898176
0.0084,44711936,44711936,0.27,79536128,79536128,0,45682688,3,2.8,3.2,829075456,829075456,829075456,8126898176,8126898176,8126898176
0,44711936,44711936,0.2,79425536,79425536,0,45682688,3.8,4.2,3.4,829075456,829075456,829075456,8126898176,8126898176,8126898176
0.0085,44711936,44711936,0.18,79425536,79425536,0,45682688,3.5,3,4,830107648,830107648,830107648,8126898176,8126898176,8126898176
0.017,44711936,44711936,0.25,79425536,79425536,0,45682688,3.6,4,3.2,829075456,829075456,829075456,8126898176,8126898176,8126898176
0.0085,44711936,44711936,0.23,79425536,79425536,0,45682688,3.1,3.4,2.8,829075456,829075456,829075456,8126898176,8126898176,8126898176
0.0089,44711936,44711936,0.23,79425536,79425536,0,45682688,3.8,3.6,4,829849600,829849600,829849600,8126898176,8126898176,8126898176
0.013,44711936,44711936,0.27,79536128,79536128,0,45682688,2.8,2.8,2.8,830447616,830447616,830447616,8126898176,8126898176,8126898176
0.0086,44711936,44711936,0.22,79425536,79425536,0,45682688,4.3,4.2,4.4,829059072,829059072,829059072,8126898176,8126898176,8126898176
0.0044,44711936,44711936,0.22,79536128,79536128,0,45682688,3.2,3.6,2.8,829059072,829059072,829059072,8126898176,8126898176,8126898176
0,44711936,44711936,0.2,79425536,79425536,0,45682688,3.9,3.8,4,829054976,829054976,829054976,8126898176,8126898176,8126898176
0.0084,44711936,44711936,0.22,79425536,79425536,0,45682688,3.3,3,3.6,829054976,829054976,829054976,8126898176,8126898176,8126898176
0.017,44711936,44711936,0.23,79425536,79425536,0,45682688,3.6,3.6,3.6,828796928,828796928,828796928,8126898176,8126898176,8126898176
0.013,44711936,44711936,0.18,79425536,79425536,0,45682688,2.8,2.4,3.2,829313024,829313024,829313024,8126898176,8126898176,8126898176
0.0044,44711936,44711936,0.23,79441920,79441920,0,45682688,4.1,4.6,3.6,828792832,828792832,828792832,8126898176,8126898176,8126898176
0.0084,44711936,44711936,0.24,79556608,79556608,0,45682688,3.1,3,3.2,828792832,828792832,828792832,8126898176,8126898176,8126898176
0.0084,44711936,44711936,0.22,79441920,79441920,0,45682688,3.6,3.8,3.4,829050880,829050880,829050880,8126898176,8126898176,8126898176
0.0091,44711936,44711936,0.22,79556608,79556608,0,45682688,3.1,3,3.2,828792832,828792832,828792832,8126898176,8126898176,8126898176
0.0091,44711936,44711936,0.22,79441920,79441920,0,45682688,3.9,3.8,4,829050880,829050880,829050880,8126898176,8126898176,8126898176
0,44711936,44711936,0.21,79556608,79556608,0,45682688,3.3,3.6,3,829308928,829308928,829308928,8126898176,8126898176,8126898176
0.0081,44711936,44711936,0.2,79441920,79441920,0,45682688,4,4.2,3.8,830132224,830132224,830132224,8126898176,8126898176,8126898176
0.012,44711936,44711936,0.23,79441920,79441920,0,45682688,3.1,3.2,3,829046784,829046784,829046784,8126898176,8126898176,8126898176
0.0086,44711936,44711936,0.21,79441920,79441920,0,45682688,3.5,3.2,3.8,829046784,829046784,829046784,8126898176,8126898176,8126898176
0.0083,44711936,44711936,0.21,79441920,79441920,0,45682688,3.5,3.8,3.2,829304832,829304832,829304832,8126898176,8126898176,8126898176
0.0088,44711936,44711936,0.23,79441920,79441920,0,45682688,3.6,3.6,3.6,829014016,829014016,829014016,8126898176,8126898176,8126898176
0.0089,44711936,44711936,0.17,79441920,79441920,0,45682688,3.1,2.8,3.4,829014016,829014016,829014016,8126898176,8126898176,8126898176
0.0081,44711936,44711936,0.23,79441920,79441920,0,45682688,3.9,4.4,3.4,829014016,829014016,829014016,8126898176,8126898176,8126898176
