CPU Stress,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
0,1333,0.075,108.2,2.7,7.247368421,44744704,3.594736842,80870561.68,19,20.57894737,17.73684211,829098954.1,8126898176
3,1333,0.075,108.2,2.5,5.865,44744704,3.4,81490124.8,18.885,20.08,17.54,829057843.2,8126898176
6,1333,0.075,108.2,2.7,6.589473684,44744704,3.594736842,83498469.05,21.63157895,22.26315789,20.94736842,828941797.1,8126898176
9,1333,0.075,108.2,2.6,5.7895,44744704,3.4145,85416550.4,21.76,22.65,20.83,829085491.2,8126898176
12,1333,0.075,108.2,2.8,6.42,44744704,3.55,87306854.4,23.75,24.15,23.55,829096960,8126898176
15,1333,0.075,108.2,2.7,5.965,44744704,3.555,88783872,24.85,25.65,24.37,828947865.6,8126898176
18,1333,0.075,108.2,2.8,6.75,44744704,3.555,91032576,27,27.43,26.65,829069926.4,8126898176
21,1333,0.075,108.2,2.7,5.652380952,44744704,3.438571429,93097398.86,26.70952381,27.96190476,25.2,828951990.9,8126898176
24,1333,0.075,108.2,2.8,6.67,44744704,3.5235,94643609.6,29.65,30,29.15,828934758.4,8126898176
27,1333,0.075,108.2,2.9,6.31,44744704,3.55,96427008,30.85,31,30.65,828924723.2,8126898176
30,1333,0.075,108.2,2.8,5.752857143,44744704,3.461904762,98086716.95,30.80952381,32.14285714,29.60952381,829630561.5,8126898176
33,1333,0.075,108.2,2.8,5.683809524,44744704,3.542380952,99915678.48,32.38095238,33.06666667,31.61904762,829731986.3,8126898176
36,1333,0.075,108.2,2.8,5.915,44744704,3.666,101762662.4,34.95,32.7,37.3,828972851.2,8126898176
39,1333,0.075,108.2,2.9,5.665571429,44744704,3.54047619,103779376.8,35.03809524,35.6,34.38095238,828582180.6,8126898176
42,1333,0.075,108.2,2.9,5.61047619,44744704,3.545714286,106221177.9,36.14285714,38.33333333,33.94285714,828803169.5,8126898176
45,1333,0.075,108.2,2.9,5.623809524,44744704,3.595238095,109571120.8,37.52857143,38.73333333,36.23809524,828890550.9,8126898176
48,1333,0.075,108.2,3,6.085,44744704,3.815,110874624,41,41.25,40.85,828771532.8,8126898176
51,1333,0.075,108.2,3,5.698571429,44744704,3.535238095,112463481.9,40.38095238,40.42857143,40.04761905,828885869.7,8126898176
54,1333,0.075,108.2,3,5.815714286,44744704,3.619047619,114461939.8,41.95238095,42.19047619,41.8,828762599.6,8126898176
57,1333,0.075,108.2,3.1,6.185,44744704,3.91,116235264,45.55,44.65,46.3,828855500.8,8126898176
60,1333,0.075,108.2,3.2,5.981428571,44744704,3.852380952,118336170.7,45.30952381,42.81904762,47.85714286,828966424.4,8126898176
63,1333,0.075,108.2,3.1,6.053333333,44744704,3.778571429,119560289.5,46.80952381,45.42857143,48.04761905,829068629.3,8126898176
