Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.011,44744704,44744704,0.19,80756736,80756736,0,42233856,3.9,4,3.8,829009920,829009920,829009920,8126898176,8126898176,8126898176
0.008,44744704,44744704,0.22,80756736,80756736,0,42233856,2.9,3,2.8,829009920,829009920,829009920,8126898176,8126898176,8126898176
0.008,44744704,44744704,0.27,80867328,80867328,0,42233856,3.7,4.2,3.2,829030400,829030400,829030400,8126898176,8126898176,8126898176
0.0075,44744704,44744704,0.2,80756736,80756736,0,42233856,2.9,2.4,3.4,829009920,829009920,829009920,8126898176,8126898176,8126898176
0.0076,44744704,44744704,0.21,80867328,80867328,0,42233856,3.6,3.6,3.6,828751872,828751872,828751872,8126898176,8126898176,8126898176
0.0076,44744704,44744704,0.21,80756736,80756736,0,42233856,2.9,2.6,3.2,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0076,44744704,44744704,0.17,80756736,80756736,0,42233856,4.2,4,4.4,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0082,44744704,44744704,0.21,80756736,80756736,0,42233856,2.9,2.4,3.4,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0082,44744704,44744704,0.21,80756736,80756736,0,42233856,3.7,3.6,3.8,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0038,44744704,44744704,0.21,80756736,80756736,0,42233856,3,3.2,2.8,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0074,44744704,44744704,0.21,80756736,80756736,0,42233856,3.6,3.8,3.4,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.011,44744704,44744704,0.21,80756736,80756736,0,42233856,3,2.8,3.2,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0074,44744704,44744704,0.22,80756736,80756736,0,42233856,3.7,3.6,3.8,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0078,44744704,44744704,0.22,80756736,80756736,0,42233856,3,2.8,3.2,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0082,44744704,44744704,0.23,80756736,80756736,0,42233856,3.6,3.8,3.4,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0041,44744704,44744704,0.22,80756736,80756736,0,42233856,2.9,3,2.8,828977152,828977152,828977152,8126898176,8126898176,8126898176
