CPU Stress,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
0,4000,0.025,301.3,3.5,16.65238095,53784966.1,8.452380952,191221174.9,40.47619048,41.42857143,39.57142857,835327317.3,8126898176
3,4000,0.025,301.3,3.6,14.75454545,53499345.45,8.274090909,191421905.5,39.18181818,38.90909091,39.22727273,835410478.5,8126898176
6,4000,0.025,301.3,3.6,14.88636364,54578827.64,8.314090909,191515368.7,40.5,40.77272727,40.22727273,835739834.2,8126898176
9,4000,0.025,301.3,4.2,15.61428571,55087494.1,8.628571429,191525644.2,43.61904762,44.9047619,42.47619048,835801283,8126898176
12,4000,0.025,301.3,3.9,15.12857143,56857356.19,8.761904762,191539882.7,44.76190476,46.04761905,43.28571429,835788800,8126898176
15,4000,0.025,301.3,4,14.95,59222574.55,8.526818182,191543668.4,44.22727273,44.81818182,43.74545455,835559051.6,8126898176
18,4000,0.025,301.3,4,15.01363636,59794897.45,8.456363636,191546274.9,45.4,46.27272727,44.79090909,835708555.6,8126898176
21,4000,0.025,301.3,4.3,15.28571429,59569688.38,8.714285714,191560947.8,48.23809524,48.80952381,47.47619048,835698297.9,8126898176
24,4000,0.025,301.3,4,15.2047619,59721825.52,8.661904762,191567579.4,49.66666667,49.14285714,50.0952381,835698493,8126898176
27,4000,0.025,301.3,5.3,14.80909091,61711266.91,8.540909091,191593751.3,48.72727273,49.77272727,47.72727273,835718050.9,8126898176
0,5333,0.01875,400,5.2,20.99909091,64630970.18,10.98590909,191611624.7,50.23636364,50.27272727,50.01818182,835759197.1,8126898176
3,5333,0.01875,400,5.5,20.64285714,67134415.24,11.34761905,191604443.4,52.04761905,53,51.14285714,835883203,8126898176
6,5333,0.01875,400,6.6,19.99545455,68082781.09,11.03636364,191620561.5,51,51.59090909,50.54545455,835765154.9,8126898176
9,5333,0.01875,400,6,18.99079565,69266743.65,10.46304348,191631538.1,50.35652174,50.91304348,49.7826087,835758347.1,8126898176
12,5333,0.01875,399.9,6.6,20.70952381,70732653.71,11.2952381,191636041.1,56.04761905,56.47619048,55.47619048,835964928,8126898176
15,5333,0.01875,400,7.2,20.11363636,70597538.91,11.16363636,191653701.8,54.63636364,54.5,54.81818182,835965858.9,8126898176
0,4000,0.025,301.3,3.6,16.58095238,67426986.67,8.795238095,191670174.5,40.42857143,41.23809524,39.52380952,835736722.3,8126898176
3,4000,0.025,301.3,3.4,15.44761905,66895286.86,8.528571429,191696310.9,40.33333333,41.42857143,39.42857143,835778267.4,8126898176
6,4000,0.025,301.3,3.6,15.45238095,65094022.1,8.719047619,191682657.5,42.19047619,42.42857143,41.80952381,835770075.4,8126898176
9,4000,0.025,301.3,4.2,15.00909091,67316829.09,8.504545455,191606970.2,41.8,42.45454545,41.1,836174568.7,8126898176
12,4000,0.025,301.2,4,14.84863636,67229696,8.519545455,191585186.9,42.88181818,42.86363636,43.01818182,835808907.6,8126898176
15,4000,0.025,301.3,4,15.50952381,63624533.33,8.80952381,191477467.4,45.95238095,46.57142857,45,836742777.9,8126898176
18,4000,0.025,301.3,3.8,15.47142857,63911448.38,8.866666667,191456987.4,47.38095238,47.80952381,46.85714286,835826639.2,8126898176
21,4000,0.025,301.3,4.2,14.98636364,65697233.45,8.486363636,191483531.6,46.7,47.70909091,45.77272727,835811886.5,8126898176
24,4000,0.025,301.2,4,14.88863636,65854929.45,8.513181818,191497681.5,47.81818182,48.5,46.72727273,835902743.3,8126898176
27,4000,0.025,301.3,4.6,15.51428571,66202087.62,9.033333333,191499117.7,51.14285714,51.71428571,50.80952381,836977225.1,8126898176
30,4000,0.025,301.3,4.6,15.2047619,65974857.14,9.023809524,191517842.3,52.42857143,53,51.61904762,835980141.7,8126898176
33,4000,0.025,301.3,4.6,14.99545455,63892014.55,8.875,191516485.8,52.22727273,52.22727273,52.02727273,835840744.7,8126898176
36,4000,0.025,301.3,4.8,14.87545455,63924968.73,8.740909091,191526353.5,52.68181818,52.68181818,52.63636364,835928064,8126898176
0,5333,0.01875,400,5,20.71904762,68315038.48,11.43809524,191542613.3,51.0952381,52.14285714,50.0952381,835819617.5,8126898176
3,5333,0.01875,400,6.4,19.84090909,69553617.45,11.29545455,191550929.5,50.25,51.15454545,49.16363636,835859921.5,8126898176
6,5333,0.01875,400,5.5,20.02454545,70713716.36,11.37454545,191563217.5,51.86363636,52.62727273,51.27272727,835752494.5,8126898176
9,5333,0.01875,400,7.1,19.75031364,70054260.36,11.15,191586862.5,52.62727273,52.43636364,52.90909091,835788613.8,8126898176
0,4000,0.025,301.3,3.3,15.06818182,66994548.36,8.645454545,191599522.9,38.21363636,38.78181818,37.73636364,835880401.5,8126898176
3,4000,0.025,301.3,3.7,14.85909091,64548119.27,8.593636364,191590958.5,39.59090909,39.40909091,39.63636364,835842420.4,8126898176
6,4000,0.025,301.3,3.7,15.005,64763531.64,8.692272727,191608087.3,40.93636364,41.73636364,40.36363636,835779677.1,8126898176
9,4000,0.025,301.3,3.8,15.66666667,65475730.29,8.757142857,191625313.5,43.76190476,44.80952381,42.61904762,835877351.6,8126898176
12,4000,0.025,301.3,4.1,15.5952381,64582217.14,9,191629604.6,45.19047619,44.23809524,46.0952381,835873840.8,8126898176
15,4000,0.025,301.3,4.2,14.77272727,65042059.64,8.617272727,191662266.2,44.09090909,44.72727273,43.40909091,835812817.5,8126898176
18,4000,0.025,301.3,4.1,14.93954545,65382772.36,8.741818182,191658356.4,45.63181818,46.09090909,45.24545455,835933090.9,8126898176
21,4000,0.025,301.3,4.2,15.51904762,65848661.33,9.061904762,191657496.4,49.33333333,49.76190476,48.76190476,835817277,8126898176
24,4000,0.025,301.3,4.1,15.54285714,66901528.38,9.219047619,191661982.5,50.47619048,51.52380952,49.38095238,835827809.5,8126898176
27,4000,0.025,301.3,4.7,15.18181818,64825344,8.898636364,191636200.7,49.45454545,50.72727273,48.31818182,835912424.7,8126898176
0,5333,0.01875,400,5,20.67619048,70297502.48,11.63333333,191498727.6,51.0952381,51.80952381,50.57142857,835950494.5,8126898176
3,5333,0.01875,400,5.5,20.05454545,70880162.91,11.23181818,191523746.9,50.38181818,52.33636364,48.42727273,835814120.7,8126898176
6,5333,0.01875,400,5.5,19.99545455,70864337.45,11.27590909,191512576,52.22727273,55.59090909,48.90909091,835794199.3,8126898176
9,5333,0.01875,400,7.6,19.84909091,70850746.18,11.25,191551301.8,52.70454545,52.59090909,52.71818182,835832366.5,8126898176
