CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
0,0,500,0.2,39.5,2.1,4.505263158,2.017368421,6.136842105,6.410526316,5.863157895,3.773684211,3.789473684,3.757894737,83863228.63,44157466.95,763016245.9,8346394624,763016245.9,8126898176
5,6,500,0.2,39.5,2.1,4.205,1.9225,8.465,10.13,6.87,6.7,6.8,6.59,84297523.2,44676096,766483865.6,8346394624,766483865.6,8126898176
9,11,500,0.2,39.5,2.1,4.28,2.0085,10.49,9.97,11.16,9.2,7.92,10.63,84555776,44745728,766737203.2,8346394624,766737203.2,8126898176
13,16,500,0.2,39.5,2.1,4.041428571,2.011428571,12.07619048,11.67619048,12.40952381,11.29047619,9.2,13.47619048,85392042.67,44802243.05,766876720.8,8346394624,766876720.8,8126898176
17,21,500,0.2,39.5,2.2,4.552380952,2.012857143,14.31428571,13.80952381,14.86666667,13.6952381,15.06666667,12.50952381,86407655.62,45520213.33,767423439.2,8346394624,767423439.2,8126898176
21,26,500,0.2,39.5,2.2,4.257142857,2.004285714,15.87619048,14.24761905,17.46666667,16.27142857,11.2952381,21.16190476,87064185.9,45529185.52,767126966.9,8346394624,767126966.9,8126898176
25,31,500,0.2,39.5,2.2,4.33,2.03,18.55,18.81,18.21,19.3,12.25,26.21,87436083.2,45169049.6,770011340.8,8346394624,770011340.8,8126898176
29,36,500,0.2,39.5,2.1,4.083333333,2.02952381,19.57619048,20.95238095,18.37142857,20.96666667,17.91428571,24.06666667,88796013.71,45226276.57,786116217.9,8346394624,786116217.9,8126898176
33,41,500,0.2,39.5,2.2,4.176190476,2,21.66666667,20.97142857,22.4,23.45714286,16.77142857,29.91428571,89681334.86,45255143.62,767782326.9,8346394624,767782326.9,8126898176
37,46,500,0.2,39.5,2.2,4.083809524,2.036190476,23.57142857,20.88571429,26.02857143,25.76190476,29.68571429,21.81904762,90535643.43,45260995.05,768641901.7,8346394624,768641901.7,8126898176
41,51,500,0.2,39.5,2.2,4.282857143,2.074761905,25.4952381,26.51428571,24.46666667,27.80952381,27.13333333,28.34285714,91300620.19,45419568.76,768264289.5,8346394624,768264289.5,8126898176
45,56,500,0.2,39.5,2.4,4.829047619,2.049047619,27.52380952,30.15238095,25.07619048,30.37619048,24.95238095,35.82857143,91539163.43,46111207.62,768821150.5,8346394624,768821150.5,8126898176
49,61,500,0.2,39.5,2.3,4.561904762,2.071428571,29.38095238,33.35238095,25.61904762,32.85714286,28.23809524,37.28571429,91755861.33,46799725.71,769763620.6,8346394624,769763620.6,8126898176
53,66,500,0.2,39.5,2.6,5.785714286,2.056666667,31.92857143,31.77142857,31.8952381,35.14285714,38.3047619,32.16190476,92328521.14,39951018.67,762443093.3,8346394624,762443093.3,8126898176
57,71,500,0.2,39.5,2.5,5.07,2.106666667,33.39047619,33.23809524,33.38095238,37.23809524,20.12380952,54.37142857,93156108.19,42561145.9,765274599.6,8346394624,765274599.6,8126898176
61,76,500,0.2,39.5,2.4,4.586666667,2.11047619,35,36.14285714,33.94285714,40.07142857,34.23809524,45.55238095,93912307.81,43830515.81,767025737.1,8346394624,767025737.1,8126898176
