"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","VM 1 Probe App CPU Usage","VM 1 Probe App Memory Usage","VM 2 Probe App CPU Usage","VM 2 Probe App Memory Usage","VM 1 Avg Host CPU Usage","VM 1 Host CPU 0 Usage","VM 1 Host CPU 1 Usage","VM 1 Host Mem Usage","VM 1 Host Mem Total","VM 2 Avg Host CPU Usage","VM 2 Host CPU 0 Usage","VM 2 Host CPU 1 Usage","VM 2 Host Mem Usage","VM 2 Host Mem Total"
2022-03-06 12:12:00,0.016,43401216,0.24,83435520,0,43409408,0,44335104,3.0,3.4,2.6,759017472,8346394624,2.4,2.6,2.2,791523328,8126898176
2022-03-06 12:12:05,0.0054,43401216,0.25,83435520,0,43409408,0,44335104,2.6,2.6,2.6,759017472,8346394624,2.1,2.0,2.2,791523328,8126898176
2022-03-06 12:12:10,0.012,43401216,0.25,83546112,0,43409408,0,44335104,3.1,3.2,3.0,759017472,8346394624,2.5,2.2,2.8,791519232,8126898176
2022-03-06 12:12:15,0.017,43401216,0.23,83435520,0,43409408,0,44335104,2.3,2.0,2.6,759132160,8346394624,1.8,1.8,1.8,791519232,8126898176
2022-03-06 12:12:20,0.010,43401216,0.25,83546112,0,43409408,0,44335104,2.8,2.4,3.2,759017472,8346394624,2.4,2.6,2.2,791261184,8126898176
2022-03-06 12:12:25,0.0052,43401216,0.25,83435520,0,43409408,0,44335104,2.8,3.2,2.4,759033856,8346394624,1.9,1.8,2.0,791519232,8126898176
2022-03-06 12:12:30,0.010,43401216,0.25,83435520,0,43409408,0,44335104,2.9,3.0,2.8,759017472,8346394624,2.7,2.6,2.8,792035328,8126898176
2022-03-06 12:12:35,0.010,43401216,0.26,83554304,0,43409408,0,44335104,2.5,2.4,2.6,759017472,8346394624,2.0,1.8,2.2,791261184,8126898176
2022-03-06 12:12:40,0.012,43401216,0.24,83546112,0,43409408,0,44335104,2.8,2.8,2.8,758734848,8346394624,2.5,2.6,2.4,791261184,8126898176
2022-03-06 12:12:45,0.017,43401216,0.25,83435520,0,43409408,0,44335104,2.7,2.4,3.0,758992896,8346394624,1.8,1.6,2.0,791261184,8126898176
