CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
0,0,1333,0.075,108.2,2.1,11.555,4.214,10.985,11.53,10.47,5.4,5.18,5.62,81744486.4,42228326.4,762381107.2,8346394624,762381107.2,8126898176
5,6,1333,0.075,108.2,2,10.105,4.29,12.895,12.89,12.86,8.36,7.4,9.31,84786585.6,43270553.6,767350784,8346394624,767350784,8126898176
9,11,1333,0.075,108.2,2,10.14761905,4.111904762,14.64285714,14.61904762,14.55238095,10.51428571,9.6,11.48571429,86291017.14,43809645.71,767439628.2,8346394624,767439628.2,8126898176
13,16,1333,0.075,108.2,2,10.11142857,4.127142857,16.3047619,15.56190476,17.28571429,12.93333333,15.61904762,10.14285714,87977788.95,43888835.05,767772379.4,8346394624,767772379.4,8126898176
17,21,1333,0.075,108.2,2.1,9.885238095,4.155238095,18.1,17.81904762,18.43809524,15.20952381,12.61904762,17.81904762,89514374.1,44132839.62,767866002.3,8346394624,767866002.3,8126898176
21,26,1333,0.075,108.2,2.1,10.26190476,4.129047619,20.21428571,20.80952381,19.41904762,17.8047619,20.67619048,14.83809524,91070854.1,44671561.14,768927841.5,8346394624,768927841.5,8126898176
25,31,1333,0.075,108.2,2.1,9.966666667,4.15952381,21.85238095,20.43809524,23.28571429,20.0047619,15.4952381,24.47619048,92935119.24,44457398.86,768645217.5,8346394624,768645217.5,8126898176
29,36,1333,0.075,108.2,2.1,9.981428571,4.185714286,23.61428571,24.32380952,22.97142857,22.34285714,21.47619048,23.27619048,95208594.29,44473392.76,769138493,8346394624,769138493,8126898176
33,41,1333,0.075,108.2,2.1,10.545,4.408,26.8,27.4,26.5,25.65,22.51,28.65,96812851.2,44211404.8,769314201.6,8346394624,769314201.6,8126898176
37,46,1333,0.075,108.2,2.1,10.04761905,4.200952381,27.60952381,27.80952381,27.27619048,27.14285714,25.13333333,29.25714286,98382214.1,44800487.62,769364358.1,8346394624,769364358.1,8126898176
