Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Probe App CPU Usage,VM 1 Probe App Memory Usage,VM 2 Probe App CPU Usage,VM 2 Probe App Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
0.013,34881536,0.26,81543168,0,43319296,0,42926080,2.7,2.8,2.6,752463872,8346394624,2.7,2.6,2.8,790085632,8126898176
0.013,34881536,0.25,81428480,0.0014,43319296,0,42926080,3,3.2,2.8,752431104,8346394624,1.7,1.4,2,790085632,8126898176
0.013,34881536,0.18,81428480,0.0014,43319296,0,42926080,2.5,2.8,2.2,752689152,8346394624,2.3,2.4,2.2,790085632,8126898176
0.013,34881536,0.25,81428480,0,43319296,0,42926080,2.9,3,2.8,752173056,8346394624,2,2,2,790085632,8126898176
0.014,34881536,0.31,81543168,0,43319296,0,42926080,2.7,3,2.4,752431104,8346394624,2.5,2.4,2.6,790085632,8126898176
0.014,34881536,0.25,81428480,0,43319296,0,42926080,3.1,3,3.2,752173056,8346394624,2.1,2.2,2,790085632,8126898176
0.013,34881536,0.17,81428480,0,43319296,0,42926080,2.3,2,2.6,752431104,8346394624,2.3,2.4,2.2,789827584,8126898176
0.019,34881536,0.22,81428480,0,43319296,0,42926080,3,2.8,3.2,752463872,8346394624,1.7,1.4,2,790085632,8126898176
0.013,34881536,0.3,81543168,0,43319296,0,42926080,2.4,2.8,2,752463872,8346394624,2.4,2.2,2.6,790085632,8126898176
0.0086,34881536,0.23,81428480,0,43319296,0,42926080,2.9,2.6,3.2,752254976,8346394624,1.7,1.6,1.8,790085632,8126898176
0.017,34881536,0.23,81543168,0,43319296,0,42926080,2.5,2.8,2.2,752529408,8346394624,2.5,2.8,2.2,790085632,8126898176
0.014,34881536,0.25,81428480,0,43319296,0,42926080,3.1,2.8,3.4,752529408,8346394624,1.8,2,1.6,790085632,8126898176
0.02,34881536,0.25,81543168,0,43319296,0,42926080,2.7,2.4,3,752205824,8346394624,2.4,2.6,2.2,790081536,8126898176
0.02,34881536,0.23,81432576,0,43319296,0,42926080,2.8,2.8,2.8,752181248,8346394624,1.8,1.8,1.8,790081536,8126898176
0.014,34881536,0.22,81543168,0,43319296,0,42926080,2.5,2.6,2.4,752181248,8346394624,2.4,2.6,2.2,790339584,8126898176
0.0068,34881536,0.23,81432576,0,43319296,0,42926080,2.7,2.8,2.6,752418816,8346394624,2.1,2.6,1.6,790081536,8126898176
0.015,34881536,0.26,81543168,0,43319296,0,42926080,2.4,2.2,2.6,752160768,8346394624,2.4,2.8,2,790335488,8126898176
0.022,34881536,0.28,81432576,0,43319296,0,42926080,3,3.2,2.8,752168960,8346394624,2,1.8,2.2,790077440,8126898176
0.0069,34881536,0.25,81432576,0,43319296,0,42926080,2.5,2.6,2.4,752168960,8346394624,2.3,2.2,2.4,790077440,8126898176
0.013,34881536,0.26,81432576,0,43319296,0,42926080,3,2.6,3.4,752168960,8346394624,1.9,1.8,2,790335488,8126898176
0.013,34881536,0.24,81543168,0,43319296,0,42926080,2.7,2.8,2.6,752168960,8346394624,2.5,2.2,2.8,790335488,8126898176
0,34881536,0.22,81432576,0,43319296,0,42926080,3.3,3.4,3.2,752119808,8346394624,1.7,1.4,2,790077440,8126898176
0.015,34881536,0.25,81543168,0,43319296,0,42926080,2.4,2.2,2.6,752136192,8346394624,2.7,2.6,2.8,790335488,8126898176
0.022,34881536,0.25,81432576,0,43319296,0,42926080,2.9,2.6,3.2,751919104,8346394624,1.8,2,1.6,790077440,8126898176
6.7,37814272,0.78,81674240,0,43319296,0,42926080,6.1,6.6,5.6,756101120,8346394624,4.5,4.6,4.4,792903680,8126898176
16,40955904,2,81403904,0,43319296,0,42926080,13,14,11,759103488,8346394624,5,4.6,5.4,793079808,8126898176
17,41095168,4.1,81330176,0,43319296,0,42926080,13,14,12,762392576,8346394624,5.6,5.4,5.8,792735744,8126898176
14,41369600,4.2,81354752,0,43319296,0,42926080,13,13,12,761516032,8346394624,5.8,5.8,5.8,793243648,8126898176
15,39763968,4.2,81424384,0,43319296,0,42926080,13,15,11,759582720,8346394624,6.1,6.4,5.8,793165824,8126898176
14,40050688,5.1,81362944,0,43319296,0,42926080,12,13,11,760217600,8346394624,5.3,5.2,5.4,793829376,8126898176
12,39981056,4.4,81518592,0,43319296,0,42926080,11,11,10,760639488,8346394624,5.5,5.2,5.8,793223168,8126898176
11,40267776,4.6,81362944,0,43319296,0,42926080,11,11,12,760545280,8346394624,4.8,4.6,5,793133056,8126898176
9.9,40718336,4.5,81420288,0,43319296,0.05,46006272,11,9.8,12,760729600,8346394624,5.7,5.8,5.6,793309184,8126898176
10,41140224,4.1,81461248,0,43319296,0.05,46006272,11,12,9.8,761470976,8346394624,5.3,4.6,6,793214976,8126898176
12,41701376,4.2,81592320,0,43319296,0,46006272,10,12,9.4,762179584,8346394624,6,5.6,6.4,793370624,8126898176
11,41717760,4.3,81743872,0,43319296,0,46006272,11,12,10,762355712,8346394624,5.1,4.8,5.4,793788416,8126898176
9.8,42627072,4.2,81661952,0,43319296,0,46006272,10,9.8,11,762597376,8346394624,5.6,5.4,5.8,793456640,8126898176
10,43089920,4.1,81813504,0,43319296,0,46006272,11,12,9.8,763297792,8346394624,5.1,4.6,5.6,793366528,8126898176
10,43921408,4.5,81739776,0.063,46440448,0,46006272,10,10,10,764002304,8346394624,6,5.6,6.4,793784320,8126898176
11,44810240,5.3,81973248,0.063,46440448,0,46006272,12,11,13,764940288,8346394624,5.9,6,5.8,795004928,8126898176
14,45805568,5.4,82419712,0,46440448,0,46006272,12,13,12,765661184,8346394624,6.6,6.2,7,793821184,8126898176
13,45977600,5.1,82542592,0,46440448,0,46006272,13,14,11,766586880,8346394624,5.8,5,6.6,794005504,8126898176
10,45879296,5.1,82477056,0,46440448,0,46006272,10,11,10,767004672,8346394624,5.5,5.6,5.4,794394624,8126898176
4.7,45879296,4.1,82612224,0,46440448,0,46006272,6.6,6.4,6.8,766697472,8346394624,2.8,2.6,3,794124288,8126898176
0.37,45879296,1.7,82477056,0.021,43622400,0,46006272,2.8,3,2.6,763863040,8346394624,2.6,2.6,2.6,791293952,8126898176
0.011,45879296,0.28,82448384,0.021,43622400,0,46006272,3.2,3,3.4,763895808,8346394624,1.8,2,1.6,791293952,8126898176
0.0063,45879296,0.17,82448384,0,43622400,0,46006272,2.8,3.2,2.4,763887616,8346394624,2.3,2.6,2,791293952,8126898176
0.011,45879296,0.26,82448384,0,43622400,0,46006272,3,2.8,3.2,763625472,8346394624,2.3,2.4,2.2,791293952,8126898176
0.016,45879296,0.32,82546688,0,43622400,0,46006272,2.7,2.8,2.6,763834368,8346394624,2.2,2,2.4,791293952,8126898176
1.3,45887488,0.24,82448384,1.5,49500160,0,46006272,3.1,3,3.2,763609088,8346394624,5.5,8.4,2.6,796250112,8126898176
6.6,45445120,1.3,82939904,2.8,49500160,0,46006272,9.4,7.8,11,768741376,8346394624,7.6,10,5,797470720,8126898176
11,45957120,3,83079168,2.3,49500160,0,46006272,13,11,15,769437696,8346394624,8,10,6,798949376,8126898176
10,45977600,4.1,84320256,2.5,49500160,4.3,49106944,13,12,14,769646592,8346394624,8.8,12,5.8,799391744,8126898176
12,45993984,4.6,84287488,2.9,49500160,5.9,49106944,14,11,17,770588672,8346394624,8.2,6,10,798998528,8126898176
13,40013824,4.6,84533248,3,49500160,4.1,49111040,14,11,17,769986560,8346394624,9.3,11,7.8,799412224,8126898176
11,40042496,4.8,84496384,1.5,49500160,3.3,49111040,16,15,17,763641856,8346394624,8.2,11,5.6,799559680,8126898176
10,40067072,4.1,84590592,1.5,49500160,2.3,49111040,13,13,13,764055552,8346394624,8.6,5.6,12,799227904,8126898176
11,40325120,3.7,84758528,3.4,49500160,3.1,49111040,15,15,14,764788736,8346394624,8.1,5.2,11,799645696,8126898176
10,40382464,4.4,84811776,3.4,49500160,3.1,49111040,10,10,10,764416000,8346394624,8.8,5.6,12,799592448,8126898176
9.3,40599552,5,84918272,3,49500160,3.1,49111040,14,16,11,764592128,8346394624,6.4,4.8,8,799727616,8126898176
11,41082880,4.9,84992000,1.7,49504256,3.1,49111040,13,16,10,765018112,8346394624,7.9,6,9.8,799911936,8126898176
10,41803776,4,85057536,1.5,49504256,3.1,49111040,13,12,15,765177856,8346394624,8.3,5.4,11,799805440,8126898176
9.8,42459136,4.3,85118976,2.9,49504256,3.1,49111040,11,13,9.4,765882368,8346394624,9,6.4,12,799711232,8126898176
10,43175936,4.5,85315584,3,49504256,3.1,49111040,13,15,11,766283776,8346394624,8.4,5.4,11,800411648,8126898176
10,43855872,4.7,85360640,3,49504256,3.1,49111040,14,15,12,767995904,8346394624,9.1,6.2,12,800821248,8126898176
11,44810240,5.5,85381120,1.5,49504256,2.9,49111040,15,15,15,768159744,8346394624,8.5,6,11,800210944,8126898176
12,45522944,5.5,85348352,1.5,49504256,2.3,49111040,14,15,14,769060864,8346394624,12,12,12,800325632,8126898176
13,45965312,5.1,85471232,3.1,49504256,2.6,49111040,16,15,17,769720320,8346394624,8.1,5.8,10,799981568,8126898176
9,45965312,4.7,85417984,2.9,49504256,3,49111040,10,10,9.8,769904640,8346394624,8,6.4,9.6,800165888,8126898176
2.4,45965312,3,85532672,1.3,43802624,2.8,49111040,7.5,10,5,769916928,8346394624,5.9,7.2,4.6,795488256,8126898176
0.014,45965312,0.87,85389312,0.02,43802624,3.1,43421696,3.3,3,3.6,764452864,8346394624,2.6,2.6,2.6,794451968,8126898176
0.012,45965312,0.27,85291008,0,43802624,1.7,43405312,2.6,2.8,2.4,764194816,8346394624,2.5,2.6,2.4,795226112,8126898176
0.013,45965312,0.2,85291008,0,43802624,0,43405312,2.9,2.6,3.2,765227008,8346394624,2.2,2.6,1.8,794451968,8126898176
0.0069,45965312,0.23,85291008,0,43802624,0,43405312,3,3.7,2.3,764428288,8346394624,2.2,2,2.4,794451968,8126898176
0.012,45965312,0.31,85393408,0,43802624,0,43405312,2.3,2.3,2.3,764428288,8346394624,6,5,7,794361856,8126898176
2.2,45559808,0.25,85291008,2.7,49061888,1.6,48664576,7,7,7,769372160,8346394624,6.6,9.4,3.8,800043008,8126898176
7,46338048,1.5,85495808,5.3,49061888,3.1,48664576,12,15,8.6,770379776,8346394624,12,17,6,799961088,8126898176
11,43630592,4,85626880,4,49061888,5.7,48664576,15,17,13,767205376,8346394624,10,5.6,15,800153600,8126898176
13,43679744,4.4,85696512,4.5,49061888,5.8,48668672,17,12,22,767901696,8346394624,13,16,9.6,799776768,8126898176
14,41734144,4.4,85770240,4.5,49061888,3.4,48668672,15,14,17,767307776,8346394624,11,11,11,799719424,8126898176
13,41824256,4.7,85831680,4.6,49061888,5,48668672,18,13,24,766058496,8346394624,9.8,12,8,800628736,8126898176
10,41832448,4.3,85929984,4.6,49061888,6.3,48668672,15,16,13,765407232,8346394624,12,16,7.6,800796672,8126898176
9.3,41832448,4.4,86089728,4.5,49061888,6.5,48668672,16,22,11,765583360,8346394624,12,17,6.8,799940608,8126898176
11,42323968,4,85999616,4.5,49061888,5.2,48668672,14,12,15,765497344,8346394624,8,10,5.8,799834112,8126898176
11,42143744,4.7,86167552,2.9,49061888,5.4,48668672,16,12,20,765927424,8346394624,14,16,11,800047104,8126898176
11,42147840,4.9,86347776,5.6,49061888,6.5,48668672,14,11,16,765890560,8346394624,10,5.8,14,800452608,8126898176
10,42270720,4.2,86429696,5.3,49061888,5.8,48668672,16,12,20,765788160,8346394624,9.8,5.8,14,800337920,8126898176
11,42721280,4.3,86241280,3.7,49061888,4.4,48668672,16,16,15,765947904,8346394624,11,5.8,16,800497664,8126898176
11,43196416,4.7,86573056,4,49061888,4.7,48668672,13,11,15,766353408,8346394624,12,14,11,800415744,8126898176
9.5,43732992,4.2,86732800,4.5,49061888,6.4,48668672,17,18,15,766771200,8346394624,11,5.4,17,800575488,8126898176
12,44797952,4.8,86704128,4.5,49061888,6.4,48668672,14,16,12,767442944,8346394624,9.5,7.4,12,801001472,8126898176
15,45826048,5.3,86978560,4.6,49061888,4.7,48668672,20,21,18,768618496,8346394624,12,6.2,18,800894976,8126898176
13,46010368,5.3,86986752,4.6,49061888,4.7,48668672,15,17,13,769556480,8346394624,12,6.6,18,801288192,8126898176
11,46141440,5.6,87035904,4.5,49061888,6,48668672,18,19,17,769712128,8346394624,9.9,5.8,14,801177600,8126898176
6.9,46129152,4.3,87150592,4.4,49061888,5.4,48668672,11,14,9,769634304,8346394624,10,6,15,801132544,8126898176
1.2,46129152,2.1,87031808,2.1,43380736,5.3,42987520,8.5,12,5,769875968,8346394624,5.2,2.8,7.6,795164672,8126898176
0.012,46129152,0.7,87252992,0.71,43368448,2.7,42971136,2.5,2.8,2.2,763920384,8346394624,2.1,2.4,1.8,795422720,8126898176
0.0055,46129152,0.27,87142400,0,43368448,0,42971136,3.3,3,3.6,764178432,8346394624,2.3,2.6,2,795680768,8126898176
0.011,46129152,0.25,87232512,0,43368448,0,42971136,2.5,2.2,2.8,764178432,8346394624,1.8,2,1.6,795680768,8126898176
0.014,46129152,0.27,87150592,0,43368448,0,42971136,3.1,3.4,2.8,764436480,8346394624,3,2.8,3.2,795676672,8126898176
0.49,46129152,0.41,87351296,1.5,49266688,0,42971136,2.7,2.4,3,764436480,8346394624,1.8,2.2,1.4,795934720,8126898176
4.6,38916096,0.87,87572480,5.2,49262592,2.5,48885760,10,10,10,770146304,8346394624,13,20,5,802131968,8126898176
9.4,40898560,2.3,87396352,6.6,49262592,5.8,48889856,15,20,10,762896384,8346394624,11,8.4,14,801775616,8126898176
11,42258432,3.9,87543808,5.9,49262592,7.2,48889856,18,16,19,765403136,8346394624,15,15,15,801935360,8126898176
13,42532864,4.3,87584768,6.1,49262592,7.8,48889856,19,12,25,766148608,8346394624,14,9,18,801873920,8126898176
14,42188800,4.1,87523328,6.1,49262592,8.5,48889856,18,19,17,766291968,8346394624,13,6.4,20,802017280,8126898176
12,42176512,5.1,87695360,6.4,49262592,7.8,48889856,19,23,14,766963712,8346394624,15,14,15,801906688,8126898176
9.8,42397696,5.4,87646208,6.7,49262592,8.6,48889856,17,18,17,767131648,8346394624,13,19,6.6,802074624,8126898176
11,42434560,4.2,87826432,7.2,49266688,8.3,48889856,15,12,19,767037440,8346394624,14,21,6.6,802000896,8126898176
11,42647552,4.1,87785472,6.3,49266688,7.3,48889856,16,15,18,766169088,8346394624,12,18,6.2,802181120,8126898176
9.7,43053056,4.2,88068096,5.5,49266688,7.6,48889856,18,21,16,766562304,8346394624,15,23,6.8,802328576,8126898176
11,43347968,4.3,87937024,6.3,49266688,7.9,48889856,18,20,16,766992384,8346394624,12,17,6.6,802467840,8126898176
12,43741184,4.4,88379392,6.3,49266688,7.9,48889856,16,15,17,767152128,8346394624,15,23,6.8,802398208,8126898176
11,44105728,4.8,88342528,6.2,49266688,8.6,48889856,17,14,21,768413696,8346394624,13,20,6,802537472,8126898176
9.4,44273664,4.8,88436736,6.5,49266688,9.5,48889856,17,13,21,768589824,8346394624,14,22,6.4,802713600,8126898176
9.2,44494848,4.1,88330240,6.4,49266688,5.8,48889856,17,18,17,769282048,8346394624,11,16,6.2,802603008,8126898176
12,45617152,4.3,88305664,6.1,49266688,8.1,48889856,17,14,20,769458176,8346394624,16,24,7.6,802766848,8126898176
14,46575616,4.7,88383488,6.8,49266688,9.5,48889856,18,18,19,769634304,8346394624,13,14,12,803139584,8126898176
13,47243264,5.7,87912448,6.8,49266688,6.5,48889856,20,17,23,770555904,8346394624,15,19,11,802058240,8126898176
10,47587328,5.6,88117248,6.3,49266688,8,48889856,19,16,23,771231744,8346394624,12,13,12,802455552,8126898176
4.5,47587328,3.8,88371200,6.2,43573248,8.7,48889856,12,12,12,771428352,8346394624,11,4.2,18,802693120,8126898176
0.74,47587328,1.7,88375296,2.9,43560960,6.7,43204608,6.4,3.8,9,765730816,8346394624,4.6,2,7.2,796987392,8126898176
