CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
0,0,4000,0.025,301.3,2.1,28.47619048,10.00952381,23.19047619,22.28571429,23.80952381,8.985714286,9.419047619,8.6,85862107.43,52122380.19,773641557.3,8346394624,773641557.3,8126898176
5,6,4000,0.025,301.3,2.1,25.00454545,9.841363636,23.5,23.28181818,23.64545455,11.65,10.97272727,12.06363636,91240261.82,53277602.91,779762036.4,8346394624,779762036.4,8126898176
9,11,4000,0.025,301.3,2.2,25.22272727,9.821363636,25.20909091,24.66363636,25.89090909,13.92727273,14.50909091,13.32727273,96725736.73,53226961.45,779948404.4,8346394624,779948404.4,8126898176
13,16,4000,0.025,301.3,2.2,25.9047619,10.3952381,28,27.61904762,28.19047619,16.53809524,14.38095238,18.65714286,102159896.4,55029369.9,782354724.6,8346394624,782354724.6,8126898176
17,21,4000,0.025,301.3,2.2,26.04761905,10.48571429,29.85714286,28.26666667,31.23809524,19.03333333,17.19047619,20.93333333,108926293.3,53322703.24,780505868.2,8346394624,780505868.2,8126898176
21,26,4000,0.025,301.3,2.3,25.3,10.09818182,30.64545455,29.65454545,31.54545455,20.61818182,21.97272727,19.22727273,114733056,54335301.82,781693858.9,8346394624,781693858.9,8126898176
25,31,4000,0.025,301.3,2.3,25.6,9.864545455,32.33636364,31.10909091,33.42727273,22.94545455,25.51818182,20.36363636,119404730.2,54205533.09,782389992.7,8346394624,782389992.7,8126898176
29,36,4000,0.025,301.3,2.3,26.66666667,10.33333333,35.52380952,34.19047619,36.80952381,25.84761905,27.65714286,24.13333333,123076998.1,55476224,783660763.4,8346394624,783660763.4,8126898176
33,41,4000,0.025,301.3,2.4,26.76190476,10.25238095,37.28571429,35.95238095,38.57142857,28.67619048,33.2952381,23.78095238,127355367.6,57092778.67,785152097.5,8346394624,785152097.5,8126898176
37,46,4000,0.025,301.3,2.4,25.71818182,9.958181818,37.58181818,35.98181818,38.90909091,29.56818182,31.39090909,27.67272727,129591482.2,57314583.27,785597346.9,8346394624,785597346.9,8126898176
41,51,4000,0.025,301.3,2.5,26.20909091,9.938636364,39.54090909,40.31818182,38.69090909,31.97272727,26.67272727,37.54545455,130544546.9,56925835.64,784698274.9,8346394624,784698274.9,8126898176
45,56,4000,0.025,301.3,2.4,27.23333333,10.29047619,43.0952381,43.71428571,42.33333333,35.50952381,29.77142857,41.05714286,133855134.5,56831024.76,785125181,8346394624,785125181,8126898176
49,61,4000,0.025,301.3,2.4,25.70909091,10.07727273,42.84090909,44.02727273,41.51818182,36.38636364,44.99090909,27.87272727,139312407.3,57934754.91,786025378.9,8346394624,786025378.9,8126898176
53,66,4000,0.025,301.3,2.5,26.09545455,10.00909091,44.55454545,45.17272727,43.66363636,38.92272727,31.80909091,45.80909091,144673512.7,56575441.45,784862301.1,8346394624,784862301.1,8126898176
57,71,4000,0.025,301.3,2.7,26.97727273,9.970454545,46.63636364,45.34545455,48,41.09090909,37.86363636,44.27272727,149925701.8,58097664,786787048.7,8346394624,786787048.7,8126898176
61,76,4000,0.025,301.3,2.8,27.42857143,10.49047619,50.33333333,47.9047619,52.80952381,44.56190476,56.33333333,32.98095238,155655216.8,58874343.62,787775488,8346394624,787775488,8126898176
0,0,5333,0.01875,400,2.5,36.00909091,13.23181818,28.68181818,27.07272727,29.97272727,10.79090909,11.16363636,10.19090909,162380706.9,62185285.82,786783138.9,8346394624,786783138.9,8126898176
5,6,5333,0.01875,400,2.3,34,12.78954545,29.75454545,28.79090909,30.40909091,13.33636364,13.39090909,13.12727273,162927150.5,63255086.55,792549376,8346394624,792549376,8126898176
9,11,5333,0.01875,400,2.4,34.46363636,12.97090909,31.45,30.39090909,32.37272727,15.74545455,15.13636364,16.35454545,161187840,63392116.36,793708171.6,8346394624,793708171.6,8126898176
13,16,5333,0.01875,400,2.5,34.45454545,13.11818182,33.23636364,31.90909091,34.7,17.85909091,17.10909091,18.47272727,160112640,64469178.18,795042164.4,8346394624,795042164.4,8126898176
17,21,5333,0.01875,400,2.6,34.5,13.08181818,34.81363636,34.5,35.40909091,20.14545455,17.35454545,22.95454545,159939490.9,66043345.45,796988695.3,8346394624,796988695.3,8126898176
21,26,5333,0.01875,400,2.8,37,13.4047619,38.52380952,37.47619048,39.95238095,23.17142857,23.37142857,22.92380952,160163742.5,64460897.52,794689536,8346394624,794689536,8126898176
25,31,5333,0.01875,400,2.7,34.91818182,13.14545455,38.44545455,38.19090909,38.83636364,24.84090909,23.93636364,25.74545455,160385024,65290053.82,795947194.2,8346394624,795947194.2,8126898176
29,36,5333,0.01875,400,2.8,34.87727273,13.02318182,39.95454545,39.38181818,40.59090909,27.1,29.24545455,24.90909091,160349277.1,67005533.09,798201856,8346394624,798201856,8126898176
33,41,5333,0.01875,400,2.9,36.47619048,13.23333333,43.71428571,42.95238095,44.33333333,29.96666667,26.20952381,33.81904762,160676717.7,67372763.43,798168600.4,8346394624,798168600.4,8126898176
37,46,5333,0.01875,400,2.9,35.45909091,13.07727273,44.21363636,44.05454545,44.37272727,31.34545455,25.2,37.58181818,160916014.5,66526114.91,797755764.4,8346394624,797755764.4,8126898176
41,51,5333,0.01875,400,2.9,35.52727273,13.08363636,45.54545455,46.18181818,45.03636364,33.59545455,35.74545455,31.53636364,162954333.1,67744861.09,799378711.3,8346394624,799378711.3,8126898176
45,56,5333,0.01875,400,3.6,36.47619048,13.56666667,49.0952381,47.0952381,51.0952381,37.08095238,37.08571429,37.02857143,171716608,68872874.67,800355279.2,8346394624,800355279.2,8126898176
0,0,4000,0.025,301.3,2.2,27.32272727,10.05,22.48181818,21.64545455,23.2,8.854545455,9.154545455,8.590909091,172964398.5,64503621.82,790510126.5,8346394624,790510126.5,8126898176
5,6,4000,0.025,301.3,2.1,25.21818182,10.29727273,23.5,23,23.93636364,11.92727273,13.88181818,9.818181818,174174208,64890321.45,793831796.4,8346394624,793831796.4,8126898176
9,11,4000,0.025,301.3,2.1,25.03181818,10.16272727,25.18636364,24.02727273,26.39090909,13.99545455,15.15454545,12.79090909,175896576,63918080,793602234.2,8346394624,793602234.2,8126898176
13,16,4000,0.025,301.3,2.2,26.14285714,10.79047619,28.04761905,26.57142857,29.47619048,16.82857143,18.19047619,15.6952381,178347251.8,63467715.05,793322447.2,8346394624,793322447.2,8126898176
