"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","VM 1 Probe App CPU Usage","VM 1 Probe App Memory Usage","VM 2 Probe App CPU Usage","VM 2 Probe App Memory Usage","VM 1 Avg Host CPU Usage","VM 1 Host CPU 0 Usage","VM 1 Host CPU 1 Usage","VM 1 Host Mem Usage","VM 1 Host Mem Total","VM 2 Avg Host CPU Usage","VM 2 Host CPU 0 Usage","VM 2 Host CPU 1 Usage","VM 2 Host Mem Usage","VM 2 Host Mem Total"
2022-03-07 11:53:15,0.015,36630528,0.24,84439040,0,43278336,0.0063,42737664,2.5,2.6,2.4,754577408,8346394624,1.9,2.2,1.6,792915968,8126898176
2022-03-07 11:53:20,0.0067,36630528,0.26,84324352,0,43278336,0.0063,42737664,3.2,3.2,3.2,754835456,8346394624,1.9,2.0,1.8,792915968,8126898176
2022-03-07 11:53:25,0.014,36630528,0.26,84287488,0,43278336,0,42737664,3.0,2.6,3.4,754835456,8346394624,2.2,2.6,1.8,792915968,8126898176
2022-03-07 11:53:30,0.014,36630528,0.22,84287488,0,43278336,0,42737664,2.7,2.8,2.6,754860032,8346394624,2.6,2.6,2.6,792915968,8126898176
2022-03-07 11:53:35,0.016,36630528,0.24,84402176,0,43278336,0,42737664,2.7,2.6,2.8,754860032,8346394624,1.8,1.6,2.0,792911872,8126898176
2022-03-07 11:53:40,0.024,36630528,0.27,84291584,0,43278336,0,42737664,3.1,3.4,2.8,754851840,8346394624,2.3,2.4,2.2,792911872,8126898176
2022-03-07 11:53:45,0.0076,36630528,0.26,84402176,0,43278336,0,42737664,2.7,2.6,2.8,754851840,8346394624,1.8,2.0,1.6,792911872,8126898176
2022-03-07 11:53:50,0.0064,36630528,0.22,84291584,0,43278336,0,42737664,2.8,2.8,2.8,754860032,8346394624,2.5,2.4,2.6,792653824,8126898176
2022-03-07 11:53:55,0.019,36630528,0.22,84402176,0,43278336,0,42737664,2.7,2.0,3.4,754860032,8346394624,2.1,2.2,2.0,792911872,8126898176
2022-03-07 11:54:00,0.019,36630528,0.24,84291584,0,43278336,0,42737664,2.7,3.2,2.2,754610176,8346394624,2.2,2.2,2.2,792653824,8126898176
2022-03-07 11:54:05,0.0064,36630528,0.24,84291584,0,43278336,0,42737664,2.7,2.6,2.8,754868224,8346394624,2.1,2.4,1.8,792911872,8126898176
2022-03-07 11:54:10,0.0068,36630528,0.24,84291584,0,43278336,0,42737664,2.9,3.0,2.8,754610176,8346394624,2.3,2.6,2.0,792653824,8126898176
2022-03-07 11:54:15,0.022,36630528,0.27,84402176,0,43278336,0,42737664,2.4,2.4,2.4,754827264,8346394624,2.0,1.8,2.2,792653824,8126898176
2022-03-07 11:54:20,0.022,36630528,0.27,84291584,0,43278336,0,42737664,3.0,3.2,2.8,754860032,8346394624,2.4,2.4,2.4,792911872,8126898176
2022-03-07 11:54:25,0.0065,36630528,0.23,84402176,0,43278336,0,42737664,2.4,2.2,2.6,754860032,8346394624,2.1,1.8,2.4,793169920,8126898176
2022-03-07 11:54:30,0.014,36630528,0.23,84291584,0,43278336,0,42737664,2.9,2.6,3.2,754860032,8346394624,2.3,2.0,2.6,792621056,8126898176
2022-03-07 11:54:35,0.014,36630528,0.26,84402176,0,43278336,0,42737664,2.4,2.4,2.4,755634176,8346394624,2.2,2.6,1.8,792879104,8126898176
2022-03-07 11:54:40,0.014,36630528,0.24,84291584,0,43278336,0,42737664,2.8,2.8,2.8,754827264,8346394624,2.4,2.2,2.6,792879104,8126898176
2022-03-07 11:54:45,0.014,36630528,0.24,84402176,0,43278336,0,42737664,2.4,2.6,2.2,754827264,8346394624,2.7,2.4,3.0,793743360,8126898176
2022-03-07 11:54:50,0.014,36630528,0.25,84291584,0,43278336,0,42737664,3.1,3.0,3.2,754827264,8346394624,2.3,2.6,2.0,792711168,8126898176
2022-03-07 11:54:55,0.021,36630528,0.26,84340736,0,43278336,0,42737664,2.2,2.0,2.4,754569216,8346394624,2.0,2.0,2.0,792711168,8126898176
2022-03-07 11:55:00,0.013,36630528,0.25,84230144,0,43278336,0,42737664,2.9,3.2,2.6,754900992,8346394624,2.4,2.6,2.2,792743936,8126898176
2022-03-07 11:55:05,0.013,36630528,0.26,84230144,0,43278336,0,42737664,2.6,2.4,2.8,754577408,8346394624,2.0,2.4,1.6,793518080,8126898176
2022-03-07 11:55:10,0.015,36630528,0.26,84230144,0,43278336,0,42737664,2.6,2.4,2.8,754577408,8346394624,2.4,2.2,2.6,792743936,8126898176
2022-03-07 11:55:15,0.0083,36630528,0.24,84340736,0,43278336,0,42737664,3.5,3.6,3.4,754704384,8346394624,1.9,2.2,1.6,793001984,8126898176
2022-03-07 11:55:20,0.0064,36630528,0.25,84230144,0,43278336,0,42737664,3.1,3.2,3.0,754720768,8346394624,2.5,2.6,2.4,793001984,8126898176
2022-03-07 11:55:25,0.013,36638720,0.23,84340736,0,43278336,0,42737664,3.0,3.2,2.8,754720768,8346394624,2.0,2.2,1.8,793001984,8126898176
2022-03-07 11:55:30,0.014,36642816,0.27,84357120,0,43278336,0,42737664,2.9,3.0,2.8,754720768,8346394624,2.6,2.6,2.6,793001984,8126898176
2022-03-07 11:55:35,0.014,36642816,0.27,84340736,0,43278336,0,42737664,2.6,2.0,3.2,754462720,8346394624,1.9,2.0,1.8,793001984,8126898176
2022-03-07 11:55:40,0.013,36642816,0.23,84230144,0,43278336,0,42737664,2.9,3.2,2.6,754978816,8346394624,2.4,2.4,2.4,792969216,8126898176
2022-03-07 11:55:45,0.021,36642816,0.23,84340736,0,43278336,0,42737664,2.6,2.6,2.6,754720768,8346394624,1.9,2.2,1.6,792969216,8126898176
2022-03-07 11:55:50,0.015,36642816,0.25,84230144,0,43278336,0,42737664,3.0,3.4,2.6,754720768,8346394624,2.4,2.6,2.2,792969216,8126898176
2022-03-07 11:55:55,0.0062,36642816,0.27,84340736,0,43278336,0,42737664,2.3,2.6,2.0,754978816,8346394624,2.0,2.0,2.0,793776128,8126898176
