"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","Avg Host CPU Usage","Host CPU 0 Usage","Host CPU 1 Usage","Host Mem Usage","Host Mem Total"
2022-01-13 11:17:20,0.0089,25620480,0.39,64016384,6.0,7.4,4.6,900186112,8346394624
2022-01-13 11:17:25,0.020,25620480,0.39,64131072,4.2,4.6,3.8,899928064,8346394624
2022-01-13 11:17:30,0.020,25620480,0.39,64016384,4.3,4.6,4.0,898895872,8346394624
2022-01-13 11:17:35,0.018,25620480,0.40,64131072,4.3,4.8,3.8,899137536,8346394624
2022-01-13 11:17:40,0.018,25620480,0.42,64016384,4.0,4.2,3.8,898879488,8346394624
2022-01-13 11:17:45,0.010,25620480,0.41,64131072,4.2,3.8,4.6,898617344,8346394624
2022-01-13 11:17:50,0.019,25620480,0.44,64020480,5.6,4.6,6.6,899129344,8346394624
2022-01-13 11:17:55,0.029,25620480,0.44,64139264,4.4,4.0,4.8,898613248,8346394624
2022-01-13 11:18:00,0.029,25620480,0.40,64028672,4.1,4.0,4.2,898613248,8346394624
2022-01-13 11:18:05,0.0089,25620480,0.38,64139264,3.8,4.0,3.6,898387968,8346394624
2022-01-13 11:18:10,0.018,25620480,0.35,64028672,3.9,4.2,3.6,899420160,8346394624
2022-01-13 11:18:15,0.018,25620480,0.40,64139264,4.2,4.0,4.4,899420160,8346394624
2022-01-13 11:18:20,0.018,25620480,0.47,64028672,6.4,6.8,6.0,898646016,8346394624
2022-01-13 11:18:25,0.029,25620480,0.44,64139264,3.9,3.8,4.0,898646016,8346394624
2022-01-13 11:18:30,0.011,25620480,0.38,64028672,4.4,4.8,4.0,898904064,8346394624
2022-01-13 11:18:35,0.018,25620480,0.31,64028672,4.3,3.6,5,898904064,8346394624
2022-01-13 11:18:40,0.018,25620480,0.37,64028672,3.9,3.8,4.0,898605056,8346394624
2022-01-13 11:18:45,0.0092,25620480,0.45,64139264,4.1,4.4,3.8,898605056,8346394624
2022-01-13 11:18:50,0.018,25620480,0.38,64028672,5.7,5.4,6.0,898871296,8346394624
2022-01-13 11:18:55,0.029,25620480,0.38,64143360,4.1,4.0,4.2,898871296,8346394624
2022-01-13 11:19:00,0.020,25620480,0.41,64032768,3.9,3.6,4.2,898871296,8346394624
2022-01-13 11:19:05,25,48803840,11,70651904,55,59,51,934289408,8346394624
2022-01-13 11:19:10,59,71626752,36,78155776,93,94,92,959455232,8346394624
2022-01-13 11:19:15,73,75161600,42,79679488,82,85,79,976400384,8346394624
2022-01-13 11:19:20,55,75976704,24,79806464,59,62,56,985559040,8346394624
2022-01-13 11:19:25,39,76230656,15,80064512,50,48,52,992071680,8346394624
2022-01-13 11:19:30,36,77901824,15,80228352,59,57,60,998236160,8346394624
2022-01-13 11:19:35,39,79622144,18,80687104,57,58,56,1001033728,8346394624
2022-01-13 11:19:40,33,79732736,20,80920576,47,50,44,1002180608,8346394624
2022-01-13 11:19:45,33,80031744,15,81301504,49,53,46,1001480192,8346394624
2022-01-13 11:19:50,36,82132992,15,81420288,53,53,53,1005559808,8346394624
2022-01-13 11:19:55,33,82132992,18,82845696,49,47,50,1007759360,8346394624
2022-01-13 11:20:00,32,80605184,17,82825216,54,54,54,1007448064,8346394624
2022-01-13 11:20:05,32,80687104,17,83128320,50,51,49,1008107520,8346394624
2022-01-13 11:20:10,36,80789504,17,83206144,47,49,45,1009909760,8346394624
2022-01-13 11:20:15,32,81833984,15,83529728,50,49,50,1011322880,8346394624
2022-01-13 11:20:20,28,82612224,14,83742720,51,47,55,1013084160,8346394624
2022-01-13 11:20:25,29,82919424,15,84131840,45,45,44,1013604352,8346394624
2022-01-13 11:20:30,31,83525632,15,84328448,51,48,53,1016188928,8346394624
2022-01-13 11:20:35,31,83574784,17,84746240,48,50,46,1017020416,8346394624
2022-01-13 11:20:40,32,83603456,15,84623360,44,44,44,1018142720,8346394624
2022-01-13 11:20:45,31,81600512,13,85045248,48,51,44,1017151488,8346394624
2022-01-13 11:20:50,27,82001920,14,85176320,51,53,48,1019125760,8346394624
2022-01-13 11:20:55,34,82042880,15,85848064,47,44,49,1019580416,8346394624
2022-01-13 11:21:00,32,82067456,18,85962752,49,50,48,1020223488,8346394624
2022-01-13 11:21:05,26,82640896,18,86401024,50,48,52,1021505536,8346394624
2022-01-13 11:21:10,35,80510976,16,86618112,46,45,46,1020936192,8346394624
2022-01-13 11:21:15,35,80510976,16,87048192,47,48,46,1021448192,8346394624
2022-01-13 11:21:20,31,79851520,12,86843392,50,49,50,1021853696,8346394624
2022-01-13 11:21:25,27,79888384,15,87425024,47,47,47,1022279680,8346394624
2022-01-13 11:21:30,32,80429056,19,87601152,47,46,49,1023537152,8346394624
2022-01-13 11:21:35,30,80433152,13,87904256,40,42,39,1024233472,8346394624
2022-01-13 11:21:40,13,80461824,6.7,87826432,14,15,13,1025646592,8346394624
2022-01-13 11:21:45,4.0,80461824,2.1,88064000,3.5,4.0,3.0,1024868352,8346394624
2022-01-13 11:21:50,0.014,80461824,0.36,87973888,5.9,4.8,7.0,1025662976,8346394624
2022-01-13 11:21:55,0.014,80461824,0.59,88141824,4.1,3.6,4.6,1025286144,8346394624
2022-01-13 11:22:00,0.014,80461824,0.58,88035328,4.1,4.4,3.8,1025028096,8346394624
2022-01-13 11:22:05,0.0067,80461824,0.35,88141824,3.8,3.2,4.4,1024970752,8346394624
2022-01-13 11:22:10,0.038,80461824,0.37,87863296,4.2,4.6,3.8,1024622592,8346394624
2022-01-13 11:22:15,0.051,80461824,0.41,87928832,3.6,3.8,3.4,1024339968,8346394624
2022-01-13 11:22:20,1.7,80461824,1.2,87973888,9.3,8.8,9.8,1024344064,8346394624
2022-01-13 11:22:25,12,54071296,6.3,87859200,27,26,28,999133184,8346394624
2022-01-13 11:22:30,30,53424128,12,87883776,56,54,57,993755136,8346394624
2022-01-13 11:22:35,31,53460992,15,87805952,60,64,57,995745792,8346394624
2022-01-13 11:22:40,32,55468032,17,88002560,57,55,59,997109760,8346394624
2022-01-13 11:22:45,35,55574528,17,88203264,53,52,54,998002688,8346394624
2022-01-13 11:22:50,31,56627200,20,88231936,70,71,69,1000198144,8346394624
2022-01-13 11:22:55,34,57307136,19,88780800,56,58,54,1000824832,8346394624
2022-01-13 11:23:00,34,57561088,14,88678400,49,49,49,1001947136,8346394624
2022-01-13 11:23:05,32,58114048,14,88866816,58,59,57,1003020288,8346394624
2022-01-13 11:23:10,27,58265600,16,88711168,56,59,54,1004515328,8346394624
2022-01-13 11:23:15,32,58437632,17,89120768,55,57,52,1005051904,8346394624
2022-01-13 11:23:20,37,58925056,18,89436160,60,60,59,1007349760,8346394624
2022-01-13 11:23:25,31,59031552,15,89423872,55,58,53,1007853568,8346394624
2022-01-13 11:23:30,28,60280832,15,89800704,48,50,46,1009442816,8346394624
2022-01-13 11:23:35,29,60395520,16,89997312,56,57,55,1010319360,8346394624
2022-01-13 11:23:40,30,59334656,16,90316800,55,53,57,1011167232,8346394624
2022-01-13 11:23:45,31,59875328,17,90779648,50,51,50,1011535872,8346394624
2022-01-13 11:23:50,29,59883520,14,90910720,60,62,57,1012830208,8346394624
2022-01-13 11:23:55,30,59883520,15,91320320,54,56,52,1014005760,8346394624
2022-01-13 11:24:00,30,60305408,16,91549696,49,48,51,1015037952,8346394624
2022-01-13 11:24:05,28,60395520,16,91795456,55,55,55,1016049664,8346394624
2022-01-13 11:24:10,30,56803328,15,92090368,58,59,57,1013817344,8346394624
2022-01-13 11:24:15,30,56803328,17,92487680,52,53,50,1012879360,8346394624
2022-01-13 11:24:20,31,56811520,16,92520448,57,55,60,1014534144,8346394624
2022-01-13 11:24:25,35,57610240,16,92782592,57,60,55,1015787520,8346394624
2022-01-13 11:24:30,34,57651200,17,92995584,52,52,51,1017147392,8346394624
2022-01-13 11:24:35,30,57716736,14,93458432,54,54,54,1017913344,8346394624
2022-01-13 11:24:40,32,57729024,15,93532160,60,61,59,1018445824,8346394624
2022-01-13 11:24:45,32,57810944,16,93863936,53,53,52,1018732544,8346394624
2022-01-13 11:24:50,29,59756544,15,94040064,52,56,48,1022283776,8346394624
2022-01-13 11:24:55,17,59891712,11,94113792,30,29,31,1021956096,8346394624
2022-01-13 11:25:00,3.8,59891712,3.8,94334976,4.2,4.8,3.6,1022214144,8346394624
2022-01-13 11:25:05,0.020,59891712,0.56,94416896,3.5,3.2,3.8,1022480384,8346394624
2022-01-13 11:25:10,0.013,59891712,0.38,94351360,4.3,4.4,4.2,1021521920,8346394624
2022-01-13 11:25:15,0.013,59891712,0.39,94433280,3.9,3.6,4.2,1021247488,8346394624
2022-01-13 11:25:20,0.0080,59891712,0.49,94351360,6.0,7.2,4.8,1021812736,8346394624
2022-01-13 11:25:25,0.015,59891712,0.47,94433280,3.7,4.2,3.2,1021321216,8346394624
2022-01-13 11:25:30,0.021,59891712,0.43,94355456,4.2,4.6,3.8,1020817408,8346394624
2022-01-13 11:25:35,0.22,59891712,0.69,94363648,4.8,4.4,5.2,1020796928,8346394624
2022-01-13 11:25:40,8.0,57298944,3.7,94318592,22,23,20,1017929728,8346394624
2022-01-13 11:25:45,25,53944320,12,94724096,61,63,58,1015988224,8346394624
2022-01-13 11:25:50,34,53936128,16,94744576,61,64,59,1016786944,8346394624
2022-01-13 11:25:55,35,55422976,15,95440896,68,71,65,1017954304,8346394624
2022-01-13 11:26:00,28,55435264,19,95338496,70,71,70,1019359232,8346394624
2022-01-13 11:26:05,36,56537088,21,95772672,66,65,67,1020731392,8346394624
2022-01-13 11:26:10,38,56688640,18,95686656,68,68,69,1021992960,8346394624
2022-01-13 11:26:15,28,56926208,16,95727616,62,64,60,1023021056,8346394624
2022-01-13 11:26:20,31,58032128,16,95789056,58,58,58,1024991232,8346394624
2022-01-13 11:26:25,33,58417152,17,95617024,65,67,63,1025409024,8346394624
2022-01-13 11:26:30,33,58376192,16,95670272,68,70,66,1026105344,8346394624
2022-01-13 11:26:35,35,59166720,17,96268288,59,58,61,1028218880,8346394624
2022-01-13 11:26:40,35,59371520,18,96317440,63,65,60,1030885376,8346394624
2022-01-13 11:26:45,30,60895232,15,96583680,66,65,67,1032794112,8346394624
2022-01-13 11:26:50,29,60854272,15,96628736,58,60,57,1033142272,8346394624
2022-01-13 11:26:55,28,60981248,15,97046528,63,64,61,1033506816,8346394624
2022-01-13 11:27:00,32,61968384,17,97157120,65,65,65,1034522624,8346394624
2022-01-13 11:27:05,30,62095360,16,97423360,58,58,59,1034858496,8346394624
2022-01-13 11:27:10,29,57716736,15,97771520,60,58,63,1030955008,8346394624
2022-01-13 11:27:15,32,57724928,15,97804288,65,68,63,1032323072,8346394624
2022-01-13 11:27:20,29,57724928,16,98086912,57,55,59,1034387456,8346394624
2022-01-13 11:27:25,31,57733120,16,98578432,63,63,62,1034584064,8346394624
2022-01-13 11:27:30,33,57741312,16,98869248,68,67,69,1035620352,8346394624
2022-01-13 11:27:35,31,57774080,17,98787328,58,60,56,1036881920,8346394624
2022-01-13 11:27:40,31,59334656,17,99090432,62,62,61,1038495744,8346394624
2022-01-13 11:27:45,32,59383808,17,99708928,67,68,67,1040900096,8346394624
2022-01-13 11:27:50,33,59916288,15,99733504,57,56,58,1046872064,8346394624
2022-01-13 11:27:55,32,60510208,18,100089856,66,68,64,1040871424,8346394624
2022-01-13 11:28:00,34,60559360,18,100294656,68,70,66,1042309120,8346394624
2022-01-13 11:28:05,31,61468672,15,100319232,56,59,54,1042698240,8346394624
2022-01-13 11:28:10,20,61603840,11,100401152,46,50,42,1044217856,8346394624
2022-01-13 11:28:15,6.3,61603840,4.6,100573184,9.4,9.6,9.2,1043693568,8346394624
2022-01-13 11:28:20,0.24,61603840,0.88,100573184,3.8,4.2,3.4,1043382272,8346394624
2022-01-13 11:28:25,0.014,61603840,0.35,100663296,5.7,6.4,5,1042886656,8346394624
2022-01-13 11:28:30,0.020,61603840,0.42,100577280,4.1,4.6,3.6,1042616320,8346394624
2022-01-13 11:28:35,0.014,61603840,0.37,100667392,4.0,4.4,3.6,1042108416,8346394624
2022-01-13 11:28:40,0.014,61603840,0.38,100577280,3.9,4.4,3.4,1042350080,8346394624
2022-01-13 11:28:45,0.0077,61603840,0.39,100667392,4.0,3.8,4.2,1041145856,8346394624
2022-01-13 11:28:50,0.0078,61603840,0.37,100577280,4.4,4.6,4.2,1041362944,8346394624
2022-01-13 11:28:55,0.021,61603840,0.93,100614144,6.8,8.2,5.4,1041387520,8346394624
2022-01-13 11:29:00,0.014,61603840,0.94,100515840,3.8,3.6,4.0,1040703488,8346394624
2022-01-13 11:29:05,0.014,61603840,0.39,100605952,3.9,3.6,4.2,1040609280,8346394624
2022-01-13 11:29:10,0.020,61603840,0.39,100515840,3.9,3.8,4.0,1040289792,8346394624
2022-01-13 11:29:15,1.7,43945984,0.37,100605952,6.6,7.0,6.2,1014116352,8346394624
2022-01-13 11:29:20,1.8,43945984,0.33,100515840,4.0,4.2,3.8,1013342208,8346394624
2022-01-13 11:29:25,0.031,43945984,0.36,100380672,6.6,6.6,6.6,1014632448,8346394624
2022-01-13 11:29:30,0.018,43945984,0.40,100380672,3.6,3.2,4.0,1013608448,8346394624
2022-01-13 11:29:35,0,43945984,3.1,100651008,24,25,23,1018081280,8346394624
2022-01-13 11:29:40,42,53297152,13,100646912,63,64,61,1022992384,8346394624
