Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
0.024,66482176,0.39,78524416,7.6,7.4,7.8,962547712,8346394624
0.018,66482176,0.38,78524416,4.4,4.6,4.2,960114688,8346394624
1.1,33062912,0.4,78565376,6,7,5,931958784,8346394624
1,33062912,0.37,78565376,4.9,5.4,4.4,926994432,8346394624
0.017,33062912,0.35,78671872,3.2,3.6,2.8,927002624,8346394624
0.017,33062912,0.38,78565376,4.2,4.2,4.2,927514624,8346394624
0.016,33062912,0.36,78671872,3.5,4,3,927256576,8346394624
0.024,33062912,0.37,78565376,4.1,3.8,4.4,927514624,8346394624
0.0081,33062912,0.38,78569472,3.5,4,3,927821824,8346394624
0.019,33062912,0.33,78569472,6,5.4,6.6,927571968,8346394624
0.027,33062912,0.34,78675968,3.6,3.4,3.8,927313920,8346394624
0.018,33062912,0.34,78577664,4.1,3.8,4.4,927588352,8346394624
0.017,33062912,0.38,78684160,3.5,3.8,3.2,928104448,8346394624
0.016,33062912,0.37,78577664,4.2,4,4.4,927588352,8346394624
0.017,33062912,0.35,78581760,3.5,3,4,927322112,8346394624
0.018,33062912,0.38,78581760,5.7,5.4,6,927342592,8346394624
0.017,33062912,0.32,78688256,3.2,3.2,3.2,927342592,8346394624
0.018,33062912,0.33,78585856,4.2,4.6,3.8,927358976,8346394624
0.018,33062912,0.39,78594048,3.5,3.4,3.6,927617024,8346394624
0.0081,33062912,0.38,78594048,3.9,4.4,3.4,927617024,8346394624
0.52,33091584,0.39,78598144,4,3.8,4.2,927612928,8346394624
2.5,33910784,1.2,78614528,12,13,11,928268288,8346394624
7.2,35536896,2.7,78655488,20,21,19,931155968,8346394624
9,35790848,2.8,78671872,22,24,20,937648128,8346394624
6.3,36306944,2.4,78569472,20,21,20,939278336,8346394624
6.3,36651008,2.5,78589952,20,21,20,944246784,8346394624
7,36864000,2.5,78745600,20,20,20,944852992,8346394624
6.6,37040128,2.7,78770176,24,25,23,945606656,8346394624
5.8,37044224,2.5,78671872,19,20,18,946999296,8346394624
7,37101568,2.8,78573568,19,20,19,948613120,8346394624
