"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","Avg Host CPU Usage","Host CPU 0 Usage","Host CPU 1 Usage","Host Mem Usage","Host Mem Total"
2022-01-12 22:11:05,0.018,24809472,0.36,64598016,5.7,5.2,6.2,911491072,8346394624
2022-01-12 22:11:10,0.0092,24809472,0.38,64708608,3.8,3.2,4.4,910458880,8346394624
2022-01-12 22:11:15,0.018,24809472,0.33,64606208,3.7,4.2,3.2,910708736,8346394624
2022-01-12 22:11:20,0.028,24809472,0.33,64716800,3.6,4.2,3.0,909676544,8346394624
2022-01-12 22:11:25,0.019,24809472,0.32,64606208,4.0,4.2,3.8,909934592,8346394624
2022-01-12 22:11:30,0.017,24809472,0.30,64606208,3.5,3.2,3.8,909742080,8346394624
2022-01-12 22:11:35,0.0088,24809472,0.32,64606208,6.7,7.2,6.2,909664256,8346394624
2022-01-12 22:11:40,0.018,24809472,0.32,64716800,3.3,3.2,3.4,909922304,8346394624
2022-01-12 22:11:45,0.018,24809472,0.37,64606208,3.9,3.6,4.2,909922304,8346394624
2022-01-12 22:11:50,0.020,24809472,0.40,64724992,4.2,4.0,4.4,910180352,8346394624
2022-01-12 22:11:55,0.029,24809472,0.36,64692224,3.6,3.4,3.8,910196736,8346394624
2022-01-12 22:12:00,0.018,24809472,0.30,64823296,3.3,3.0,3.6,910204928,8346394624
2022-01-12 22:12:05,0.0087,24809472,0.34,64708608,5.7,4.4,7.0,910450688,8346394624
2022-01-12 22:12:10,0.019,24809472,0.35,64823296,3.7,4.0,3.4,909942784,8346394624
2022-01-12 22:12:15,0.019,24809472,0.33,64708608,4.4,4.2,4.6,909959168,8346394624
2022-01-12 22:12:20,0.020,24809472,0.34,64823296,4.1,3.8,4.4,910168064,8346394624
2022-01-12 22:12:25,0.028,24809472,0.32,64708608,3.8,3.8,3.8,910200832,8346394624
2022-01-12 22:12:30,0.018,24809472,0.31,64708608,3.7,4.0,3.4,909942784,8346394624
2022-01-12 22:12:35,0.019,24809472,0.30,64708608,5.7,6.4,5,911015936,8346394624
2022-01-12 22:12:40,0.019,24809472,0.31,64823296,3.7,3.4,4.0,910499840,8346394624
2022-01-12 22:12:45,0.0093,24809472,0.34,64708608,3.8,4.2,3.4,910499840,8346394624
2022-01-12 22:12:50,0.020,24809472,0.33,64827392,3.9,4.4,3.4,910467072,8346394624
2022-01-12 22:12:55,0.029,24809472,0.37,64712704,3.7,3.2,4.2,910467072,8346394624
2022-01-12 22:13:00,0.018,24809472,0.35,64827392,3.8,3.8,3.8,910467072,8346394624
2022-01-12 22:13:05,0.0090,24809472,0.34,64712704,5.6,5.8,5.4,910209024,8346394624
2022-01-12 22:13:10,0.019,24809472,0.35,64827392,3.7,3.4,4.0,910467072,8346394624
2022-01-12 22:13:15,0.030,24809472,0.36,64712704,3.7,3.4,4.0,910209024,8346394624
2022-01-12 22:13:20,0.021,24809472,0.36,64827392,3.8,4.0,3.6,909950976,8346394624
2022-01-12 22:13:25,0.020,24809472,0.30,64712704,3.8,4.0,3.6,910209024,8346394624
2022-01-12 22:13:30,18,44875776,9.9,70332416,31,31,30,932261888,8346394624
