NumOfRequest,Periods,Throughput,Actual Response Time,Acme Web CPU Usage,MongoDB CPU Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage
750,0.2,39.8,2.5,4.311062,2.530937,17.1625,17.65625,16.9375
750,0.2,39.8,2.6,4.506452,2.722581,23.906452,24.606452,23.167742
750,0.2,39.8,3,5.214848,2.700606,36.366667,37.69697,34.975758
750,0.2,39.8,2.8,4.799688,2.72375,43.8625,45.23125,42.65
750,0.2,39.8,3.2,5.276667,3.036667,61,63.033333,58.8
750,0.2,39.8,3.8,5.632474,3.124194,74.33871,76.425806,72.251613
1500,0.1,80.7,2.4,8.347688,4.202187,21.046875,21.54375,20.51875
1500,0.1,80.7,2.7,8.087681,4.40875,33.671875,34.60625,32.70625
1500,0.1,80.7,2.8,8.568097,4.592258,41.496774,42.709677,40.348387
1500,0.1,80.7,3.2,9.684258,4.886129,56.716129,58.625806,54.806452
1500,0.1,80.7,3.5,8.959875,5.074687,69.921875,71.825,68.0375
750,0.2,39.8,2.5,4.919742,2.62871,17.283871,17.470968,17.012903
750,0.2,39.8,2.8,5.222313,2.66125,23.88125,24.48125,23.28125
750,0.2,39.8,2.9,4.821818,2.671818,35.530303,36.89697,33.945455
750,0.2,39.8,2.9,5.113125,2.8075,42.9375,44.425,41.48125
750,0.2,39.8,3.3,5.050438,2.954062,57.18125,59.1875,55.26875
750,0.2,39.8,3.7,5.251313,3.08625,72.1125,74.3375,69.6375
1500,0.1,80.7,2.4,7.819306,4.341875,20.71875,21.43125,20.05
1500,0.1,80.7,2.6,7.994188,4.539688,33.5875,34.50625,32.66875
1500,0.1,80.7,2.8,8.574581,4.742581,43.212903,44.812903,41.83871
1500,0.1,80.7,3.2,9.140125,4.855937,54.3125,56.18125,52.56875
1500,0.1,80.7,3.8,9.784906,5.405937,70.58125,72.4,68.8375
750,0.2,39.8,2.6,4.906903,2.732581,17.635484,18.025806,17.083871
750,0.2,39.8,2.6,4.868194,2.84871,24.396774,25.025806,23.767742
