"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","VM 1 Avg Host CPU Usage","VM 1 Host CPU 0 Usage","VM 1 Host CPU 1 Usage","VM 1 Host Mem Usage","VM 1 Host Mem Total","VM 2 Avg Host CPU Usage","VM 2 Host CPU 0 Usage","VM 2 Host CPU 1 Usage","VM 2 Host Mem Usage","VM 2 Host Mem Total"
2022-01-22 21:20:30,0.0093,54431744,0.26,220442624,4.0,3.6,4.4,824455168,8346394624,2.7,2.4,3.0,971374592,8126898176
2022-01-22 21:20:35,0.0092,54431744,0.21,220442624,3.9,3.4,4.4,826343424,8346394624,2.3,2.2,2.4,971374592,8126898176
2022-01-22 21:20:40,0.0093,54431744,0.23,220442624,5.1,5.6,4.6,826793984,8346394624,2.8,3.0,2.6,971116544,8126898176
2022-01-22 21:20:45,0.0093,54431744,0.24,220442624,5.1,5,5.2,824975360,8346394624,2.3,2.2,2.4,971374592,8126898176
2022-01-22 21:20:50,0.010,54431744,0.25,220553216,4.3,4.2,4.4,824717312,8346394624,2.9,3.0,2.8,971116544,8126898176
2022-01-22 21:20:55,0.010,54431744,0.26,220442624,3.6,3.4,3.8,824717312,8346394624,2.1,2.0,2.2,970858496,8126898176
2022-01-22 21:21:00,0.0097,54431744,0.26,220442624,4.2,4.8,3.6,824766464,8346394624,3.1,3.6,2.6,971374592,8126898176
2022-01-22 21:21:05,0.0095,54431744,0.27,220442624,3.4,3.8,3.0,824766464,8346394624,2.2,2.0,2.4,971116544,8126898176
2022-01-22 21:21:10,0.0091,54431744,0.23,220442624,4.1,3.4,4.8,824766464,8346394624,3.0,3.0,3.0,971374592,8126898176
2022-01-22 21:21:15,0.0092,54431744,0.23,220442624,5.4,4.0,6.8,825262080,8346394624,2.5,2.8,2.2,971632640,8126898176
2022-01-22 21:21:20,0.011,54431744,0.25,220553216,4.5,4.8,4.2,824713216,8346394624,2.9,2.6,3.2,971374592,8126898176
2022-01-22 21:21:25,0.011,54431744,0.25,220442624,3.8,3.4,4.2,824745984,8346394624,2.2,2.2,2.2,971632640,8126898176
2022-01-22 21:21:30,0.0093,54431744,0.26,220553216,4.0,4.6,3.4,825004032,8346394624,2.9,2.8,3.0,971374592,8126898176
2022-01-22 21:21:35,0.0090,54431744,0.26,220442624,3.7,4.0,3.4,825004032,8346394624,2.2,2.4,2.0,971116544,8126898176
2022-01-22 21:21:40,0.0046,54431744,0.25,220442624,4.2,4.6,3.8,824995840,8346394624,3.0,3.0,3.0,971116544,8126898176
2022-01-22 21:21:45,0.0093,54431744,0.25,220442624,5.2,5.4,5,825495552,8346394624,2.1,2.0,2.2,971116544,8126898176
2022-01-22 21:21:50,0.015,54431744,0.23,220553216,4.6,4.6,4.6,824979456,8346394624,3.3,3.8,2.8,970858496,8126898176
2022-01-22 21:21:55,0.011,54431744,0.24,220442624,3.2,3.8,2.6,824979456,8346394624,2.3,2.2,2.4,971116544,8126898176
2022-01-22 21:22:00,0.0045,54431744,0.26,220438528,4.1,4.6,3.6,824946688,8346394624,3.1,3.2,3.0,971374592,8126898176
2022-01-22 21:22:05,0.0092,54431744,0.25,220438528,3.1,3.8,2.4,824946688,8346394624,2.3,2.2,2.4,970911744,8126898176
2022-01-22 21:22:10,0.014,54431744,0.25,220430336,4.2,3.2,5.2,824938496,8346394624,3.0,2.8,3.2,970858496,8126898176
2022-01-22 21:22:15,0.0051,54431744,0.27,220549120,5.4,6.4,4.4,824909824,8346394624,2.2,2.2,2.2,971116544,8126898176
2022-01-22 21:22:20,0.010,54431744,0.25,220540928,4.4,4.4,4.4,824651776,8346394624,3.1,3.0,3.2,971890688,8126898176
2022-01-22 21:22:25,0.010,54431744,0.24,220418048,3.7,3.0,4.4,824651776,8346394624,2.2,2.0,2.4,971116544,8126898176
2022-01-22 21:22:30,0.0099,54431744,0.25,220528640,4.3,4.8,3.8,824676352,8346394624,2.8,3.2,2.4,971374592,8126898176
2022-01-22 21:22:35,0.0099,54431744,0.25,220418048,3.7,4.4,3.0,824676352,8346394624,2.1,2.4,1.8,971116544,8126898176
2022-01-22 21:22:40,0.011,54431744,0.26,220401664,4.3,4.4,4.2,824758272,8346394624,2.9,3.0,2.8,971116544,8126898176
2022-01-22 21:22:45,0.015,54431744,0.23,220401664,5.4,6.6,4.2,824651776,8346394624,2.3,2.2,2.4,971374592,8126898176
2022-01-22 21:22:50,0.010,54431744,0.25,220512256,4.3,4.6,4.0,824619008,8346394624,2.9,3.0,2.8,971374592,8126898176
2022-01-22 21:22:55,0.0058,54431744,0.26,220401664,3.5,3.8,3.2,824360960,8346394624,2.2,2.0,2.4,971116544,8126898176
2022-01-22 21:23:00,0.0098,54431744,0.24,220532736,4.2,3.8,4.6,824610816,8346394624,3.1,2.8,3.4,971874304,8126898176
2022-01-22 21:23:05,0.014,54431744,0.22,220418048,3.8,3.6,4.0,824360960,8346394624,2.7,2.6,2.8,971358208,8126898176
2022-01-22 21:23:10,0.0091,54431744,0.23,220512256,4.1,4.0,4.2,824619008,8346394624,2.7,2.2,3.2,971358208,8126898176
2022-01-22 21:23:15,0.0100,54431744,0.24,220397568,5.2,3.6,6.8,825118720,8346394624,2.2,2.0,2.4,971386880,8126898176
2022-01-22 21:23:20,0.011,54431744,0.21,220516352,4.2,4.4,4.0,824893440,8346394624,3.0,3.4,2.6,971128832,8126898176
2022-01-22 21:23:25,0.011,54431744,0.24,220401664,3.7,3.6,3.8,824893440,8346394624,2.3,2.4,2.2,971128832,8126898176
2022-01-22 21:23:30,0.0046,54431744,0.24,220516352,4.2,4.0,4.4,825151488,8346394624,2.8,3.0,2.6,972419072,8126898176
2022-01-22 21:23:35,0.0099,54431744,0.21,220401664,3.6,3.2,4.0,824930304,8346394624,2.0,2.2,1.8,971386880,8126898176
2022-01-22 21:23:40,0.0099,54431744,0.21,220401664,4.4,4.0,4.8,825409536,8346394624,2.8,2.6,3.0,970870784,8126898176
2022-01-22 21:23:45,0.011,54431744,0.23,220401664,5.2,5.4,5,825155584,8346394624,2.1,1.8,2.4,971128832,8126898176
2022-01-22 21:23:50,0.017,54431744,0.24,220516352,4.4,4.2,4.6,824938496,8346394624,2.6,2.2,3.0,970838016,8126898176
2022-01-22 21:23:55,0.011,54431744,0.24,220377088,3.6,4.4,2.8,824938496,8346394624,2.5,2.2,2.8,971096064,8126898176
2022-01-22 21:24:00,0.0097,54431744,0.23,220377088,4.3,4.0,4.6,824938496,8346394624,2.8,3.0,2.6,971096064,8126898176
2022-01-22 21:24:05,0.0096,54431744,0.22,220377088,3.4,2.6,4.2,825454592,8346394624,2.2,1.8,2.6,971096064,8126898176
2022-01-22 21:24:10,0.0096,54431744,0.22,220381184,4.3,5.4,3.2,824664064,8346394624,3.0,2.8,3.2,971091968,8126898176
2022-01-22 21:24:15,0.0096,54431744,0.23,220381184,5.3,4.6,6.0,824659968,8346394624,2.0,2.0,2.0,971091968,8126898176
2022-01-22 21:24:20,0.010,54431744,0.24,220491776,4.1,4.6,3.6,824918016,8346394624,2.9,2.6,3.2,971091968,8126898176
2022-01-22 21:24:25,0.011,54431744,0.22,220381184,4.3,4.8,3.8,824918016,8346394624,2.2,2.0,2.4,971091968,8126898176
