Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
0.008,34586624,0.28,82542592,4.4,3.8,5,802222080,8346394624,2.1,2.4,1.8,821493760,8126898176
0.013,34586624,0.22,82440192,3.8,3.6,4,802222080,8346394624,2.7,3.2,2.2,821751808,8126898176
0.019,34586624,0.23,82440192,6.1,5.6,6.6,802721792,8346394624,2.3,2,2.6,822009856,8126898176
0.0065,34586624,0.24,82440192,3.8,3.2,4.4,802721792,8346394624,2.7,2.4,3,821493760,8126898176
0,34586624,0.26,82440192,4,4.6,3.4,802406400,8346394624,2.3,2.6,2,821493760,8126898176
0.021,34586624,0.24,82440192,3.5,3.6,3.4,802664448,8346394624,2.6,2.4,2.8,821493760,8126898176
0.028,34586624,0.22,82542592,4,4,4,802422784,8346394624,2.4,2,2.8,821493760,8126898176
0.013,34586624,0.26,82444288,3.9,3.6,4.2,801906688,8346394624,2.9,3,2.8,821493760,8126898176
0.015,34586624,0.24,82464768,5.7,6.8,4.6,801902592,8346394624,2.4,2.2,2.6,821469184,8126898176
0.015,34586624,0.22,82464768,3.7,3.4,4,801644544,8346394624,2.8,3.2,2.4,821727232,8126898176
0.013,34586624,0.22,82464768,4.4,4.8,4,801644544,8346394624,2.3,2.4,2.2,821727232,8126898176
0.0067,34586624,0.24,82464768,3.7,4.2,3.2,801894400,8346394624,2.9,2.6,3.2,821727232,8126898176
0,34586624,0.23,82579456,4.4,4,4.8,801378304,8346394624,2.1,2.2,2,821469184,8126898176
0.021,34586624,0.24,82464768,3.9,4.6,3.2,801656832,8346394624,2.9,3,2.8,821469184,8126898176
0.028,34586624,0.24,82464768,5.6,4,7.2,801619968,8346394624,2.1,2,2.2,821723136,8126898176
0.013,34586624,0.24,82464768,3.7,3.4,4,802086912,8346394624,2.7,2.2,3.2,821723136,8126898176
