Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
0.011,49983488,0.23,160190464,4.1,4.4,3.8,821006336,8346394624,5,5.4,4.6,938688512,8126898176
0.011,49983488,0.23,160075776,3.8,4,3.6,821006336,8346394624,3.7,3.8,3.6,912625664,8126898176
0.011,49983488,0.24,160190464,4.3,5,3.6,820539392,8346394624,2.3,2,2.6,912367616,8126898176
0.01,49983488,0.23,160075776,4.3,4.6,4,819458048,8346394624,2.8,2.6,3,912367616,8126898176
0.0098,49983488,0.21,160075776,4.1,4.8,3.4,819200000,8346394624,2.7,2.6,2.8,912367616,8126898176
0.005,49983488,0.25,160075776,5.2,6.2,4.2,819691520,8346394624,2.9,3,2.8,912109568,8126898176
0,49983488,0.28,160190464,4,3.4,4.6,819458048,8346394624,2.5,3,2,912367616,8126898176
0.0094,49983488,0.25,160075776,3.4,3,3.8,819716096,8346394624,2.4,2.8,2,912367616,8126898176
0.094,49987584,0.22,160075776,4.5,3.9,5.1,819449856,8346394624,3.1,3.2,3,912625664,8126898176
0.09,49987584,0.24,160075776,3.5,3.1,3.9,819449856,8346394624,2.6,2.4,2.8,914173952,8126898176
0.01,49987584,0.26,160075776,4.3,3.8,4.8,819417088,8346394624,2.9,3.2,2.6,912367616,8126898176
0.012,49987584,0.24,160075776,5.5,4.4,6.6,820690944,8346394624,2.7,2.8,2.6,912367616,8126898176
0.011,49987584,0.22,160079872,4.5,5.3,3.7,820776960,8346394624,2.4,2.2,2.6,912879616,8126898176
0.0049,49987584,0.22,160079872,3.3,2.9,3.7,820690944,8346394624,2.8,3.2,2.4,912674816,8126898176
0,49987584,0.24,160190464,4.9,5.6,4.2,820465664,8346394624,2.2,2.2,2.2,912621568,8126898176
0.013,49987584,0.25,160079872,3.9,3.4,4.4,820998144,8346394624,2.7,2.4,3,912384000,8126898176
0.022,49987584,0.23,160079872,4.1,3.4,4.8,820756480,8346394624,2.4,2.4,2.4,914427904,8126898176
0.015,49987584,0.24,160079872,6.5,5.8,7.2,821907456,8346394624,3.2,3.2,3.2,914681856,8126898176
0.0049,49987584,0.26,160190464,3.9,4.2,3.6,820789248,8346394624,2.2,2.4,2,912359424,8126898176
0.011,49987584,0.23,160079872,3.7,3.2,4.2,820797440,8346394624,2.9,3,2.8,912101376,8126898176
0.011,49987584,0.23,160079872,4.2,4.6,3.8,820232192,8346394624,2.2,1.8,2.6,912359424,8126898176
0.0099,49987584,0.23,160079872,4.1,4.8,3.4,820748288,8346394624,2.7,3,2.4,912359424,8126898176
0.015,49987584,0.23,160079872,4.1,3.6,4.6,820490240,8346394624,2.3,2,2.6,912617472,8126898176
0.0051,49987584,0.22,160079872,5.5,4.4,6.6,821202944,8346394624,3.1,3,3.2,912617472,8126898176
0.01,49987584,0.24,160079872,4.6,4.6,4.6,819994624,8346394624,2.6,2.2,3,912617472,8126898176
0.016,49987584,0.26,160079872,3.5,3.1,3.9,819912704,8346394624,3,3,3,912875520,8126898176
0.0059,49987584,0.24,160190464,4.5,3.9,5.1,819400704,8346394624,2.3,2,2.6,912670720,8126898176
0.0097,49987584,0.22,160079872,3.8,3.6,4,818089984,8346394624,2.8,2.8,2.8,912875520,8126898176
0.015,49987584,0.25,160079872,4.4,5,3.8,818368512,8346394624,2.3,2.6,2,912617472,8126898176
0.0051,49987584,0.25,160198656,5.6,6.6,4.6,819884032,8346394624,3.1,2.8,3.4,912875520,8126898176
0.01,49987584,0.23,160190464,4.1,3.4,4.8,818851840,8346394624,2.2,2,2.4,912875520,8126898176
0.01,49987584,0.24,160079872,3.6,3.4,3.8,818593792,8346394624,2.7,2.6,2.8,912875520,8126898176
0.011,49987584,0.25,160190464,4.2,3.8,4.6,818335744,8346394624,2.1,2.2,2,912875520,8126898176
0.016,49987584,0.23,160079872,3.8,3.6,4,820400128,8346394624,3.1,2.8,3.4,912875520,8126898176
0.005,49987584,0.26,160079872,4,3.6,4.4,819646464,8346394624,2.3,2.4,2.2,912875520,8126898176
0.011,49987584,0.29,160079872,5.3,4.5,6.1,819904512,8346394624,3,3.4,2.6,912617472,8126898176
0.011,49987584,0.25,160079872,4.1,4,4.2,818872320,8346394624,2.7,3,2.4,912617472,8126898176
0.011,49987584,0.24,160079872,3.6,3.2,4,819130368,8346394624,2.4,2,2.8,912617472,8126898176
0.011,49987584,0.22,160190464,4.7,5.1,4.3,819646464,8346394624,2.6,3,2.2,914681856,8126898176
0.0097,49987584,0.21,160079872,3.7,3.6,3.8,819912704,8346394624,2.5,2.2,2.8,912617472,8126898176
0.0097,49987584,0.24,160190464,4.2,5,3.4,819138560,8346394624,3.1,3.2,3,912359424,8126898176
0.0099,49987584,0.24,160079872,5.4,4.3,6.5,819888128,8346394624,2.2,2.4,2,912617472,8126898176
0.0099,49987584,0.27,160079872,4.2,4.5,3.9,819138560,8346394624,3.1,3.2,3,912617472,8126898176
0.011,49987584,0.27,160079872,3.7,4.2,3.2,819138560,8346394624,2.2,1.8,2.6,912875520,8126898176
0.016,49987584,0.22,160190464,4.1,4.1,4.1,818622464,8346394624,2.7,2.2,3.2,912875520,8126898176
0.13,50118656,0.23,160079872,3.5,2.9,4.1,818364416,8346394624,2.2,1.8,2.6,912875520,8126898176
2.8,49967104,0.31,160210944,5.3,5.2,5.4,818876416,8346394624,3.9,3.4,4.4,913117184,8126898176
8.1,50884608,1.7,160129024,11,11,12,818978816,8346394624,6.3,6.2,6.4,915365888,8126898176
12,48586752,3,160272384,17,16,18,820752384,8346394624,9.4,9.4,9.4,918368256,8126898176
13,48599040,3.7,160378880,17,16,17,820477952,8346394624,7.7,7.6,7.8,923684864,8126898176
12,43171840,4,160165888,16,15,16,821657600,8346394624,9.3,9.2,9.4,927965184,8126898176
11,43786240,4.1,160239616,17,15,19,816635904,8346394624,9.1,8.6,9.6,927879168,8126898176
11,43667456,4.1,160305152,15,14,15,817061888,8346394624,9.5,8.6,10,929857536,8126898176
11,43773952,4.4,160157696,16,15,18,817496064,8346394624,8.3,8,8.6,929275904,8126898176
9.8,44150784,4.6,160231424,14,14,14,817913856,8346394624,9.8,9.2,10,930205696,8126898176
10,44380160,3.5,160198656,15,14,17,818356224,8346394624,7.6,7.6,7.6,930381824,8126898176
10,44666880,3.8,160382976,16,15,17,819269632,8346394624,9.6,9.4,9.8,931061760,8126898176
10,45068288,4,160325632,15,14,15,819118080,8346394624,9.5,9.4,9.6,930955264,8126898176
11,45707264,3.5,160145408,16,16,15,819290112,8346394624,8.2,8,8.4,931377152,8126898176
11,46157824,3.8,160202752,18,17,18,820457472,8346394624,9.3,9,9.6,931057664,8126898176
11,47038464,3.7,160231424,13,13,13,821137408,8346394624,10,9.8,10,931438592,8126898176
12,47677440,3.3,160055296,16,16,16,821809152,8346394624,7.6,7.8,7.4,931319808,8126898176
13,48553984,4.5,160272384,16,14,17,822968320,8346394624,10,10,9.6,931266560,8126898176
12,49037312,5.1,160190464,18,17,18,823074816,8346394624,9.6,9.6,9.6,931663872,8126898176
11,49405952,4.4,160423936,16,16,16,824512512,8346394624,10,8.8,12,931794944,8126898176
10,49876992,5.1,160342016,17,16,17,826765312,8346394624,8.9,9,8.8,932261888,8126898176
9.1,49876992,4.8,160161792,11,11,12,827387904,8346394624,9.7,10,9.2,932683776,8126898176
9.1,49876992,3.7,160337920,14,14,14,828096512,8346394624,7.8,8.2,7.4,932663296,8126898176
9.6,49897472,3,160505856,13,13,13,829054976,8346394624,9.6,9.6,9.6,932757504,8126898176
9.2,49897472,3.5,160272384,15,14,15,827396096,8346394624,8.8,8.4,9.2,932929536,8126898176
8.9,49897472,3.9,160354304,14,14,14,828104704,8346394624,9.5,9.4,9.6,932851712,8126898176
10,50032640,3.5,160407552,15,15,16,828522496,8346394624,8.4,8.2,8.6,932761600,8126898176
11,50114560,3.6,160206848,13,12,15,829177856,8346394624,9.6,9.8,9.4,932904960,8126898176
11,50421760,3.7,160251904,15,15,15,829063168,8346394624,8.4,8.2,8.6,934105088,8126898176
10,50663424,3.7,160309248,14,15,13,830324736,8346394624,9.3,9.4,9.2,934539264,8126898176
6.7,50860032,3.6,160305152,13,13,13,829988864,8346394624,8.2,7.6,8.8,932917248,8126898176
3.2,51019776,2.9,160362496,9.1,8.8,9.4,829935616,8346394624,7.8,9,6.6,933126144,8126898176
0.46,51019776,2.3,160428032,6,6.6,5.4,830693376,8346394624,2.2,2.2,2.2,933269504,8126898176
0.011,51019776,1.4,160428032,3.7,3.2,4.2,830177280,8346394624,3,3.2,2.8,933269504,8126898176
0.011,51019776,0.24,160428032,4.3,4.4,4.2,830435328,8346394624,2.2,2,2.4,933011456,8126898176
0.011,51019776,0.25,160526336,3.7,3.8,3.6,831262720,8346394624,2.9,3,2.8,933269504,8126898176
0.0093,51019776,0.24,160428032,4.4,4.6,4.2,830201856,8346394624,2.3,2.4,2.2,933011456,8126898176
0.0098,51019776,0.23,160428032,3.8,4.2,3.4,829943808,8346394624,2.9,3,2.8,933302272,8126898176
0.011,51019776,0.22,160428032,5.8,6,5.6,830451712,8346394624,2.2,2.4,2,933044224,8126898176
0.89,51019776,0.27,160428032,3.7,3.6,3.8,830451712,8346394624,3.3,3.2,3.4,932786176,8126898176
6.7,51445760,0.66,160690176,8,6.6,9.4,830349312,8346394624,3.9,3.6,4.2,933257216,8126898176
9.4,51671040,2.7,160501760,15,14,16,831799296,8346394624,11,11,11,933933056,8126898176
9.9,52260864,3.9,160677888,16,15,16,835940352,8346394624,11,11,11,935366656,8126898176
13,52260864,3.4,160477184,14,13,15,836624384,8346394624,14,14,15,935280640,8126898176
13,44580864,4.8,160600064,20,20,21,832655360,8346394624,11,11,11,937074688,8126898176
11,45051904,5.6,160550912,16,17,16,826650624,8346394624,14,14,14,936972288,8126898176
11,45051904,4.2,160608256,15,16,15,825917440,8346394624,11,11,11,936509440,8126898176
11,45015040,3,160645120,17,15,19,823164928,8346394624,13,12,13,936624128,8126898176
10,45174784,3.4,160292864,16,17,15,824471552,8346394624,11,11,12,936783872,8126898176
11,45510656,4.2,160276480,15,15,15,823771136,8346394624,12,12,12,936652800,8126898176
11,45862912,3.5,160198656,19,19,20,824094720,8346394624,12,12,12,936992768,8126898176
9.9,46239744,4.1,160280576,16,16,16,826482688,8346394624,13,12,13,937127936,8126898176
11,46632960,4.3,160587776,16,15,16,827658240,8346394624,12,13,12,937754624,8126898176
10,47202304,3.7,160440320,17,19,16,827076608,8346394624,12,13,12,937644032,8126898176
11,47243264,3.6,160489472,17,17,16,827817984,8346394624,11,11,11,938024960,8126898176
13,47558656,4,160497664,17,16,17,828751872,8346394624,14,14,15,938655744,8126898176
12,48238592,5.7,160661504,21,20,21,829652992,8346394624,14,16,13,939118592,8126898176
13,49102848,6.1,160542720,19,17,21,831606784,8346394624,12,13,12,938979328,8126898176
11,48984064,5.3,160497664,17,15,18,831754240,8346394624,14,14,14,939372544,8126898176
8.3,48984064,4.2,160804864,15,17,14,832028672,8346394624,13,13,12,939253760,8126898176
10,48984064,3.1,160845824,15,14,16,832028672,8346394624,10,9.8,10,939388928,8126898176
9.7,48984064,3,160636928,14,12,16,831922176,8346394624,14,14,14,939524096,8126898176
8.6,48988160,3.7,160645120,18,19,17,833171456,8346394624,12,12,12,940957696,8126898176
9.9,49037312,3.9,160698368,17,17,16,831877120,8346394624,12,12,11,940048384,8126898176
8.9,49070080,3.6,160739328,14,13,15,833032192,8346394624,14,13,14,940437504,8126898176
9.7,49188864,3.5,160661504,16,16,16,832749568,8346394624,13,13,13,941350912,8126898176
12,49381376,4.6,160616448,17,16,19,832958464,8346394624,11,11,11,941461504,8126898176
10,49471488,4.7,160665600,14,14,13,833277952,8346394624,14,15,14,941592576,8126898176
8,49606656,4.9,160731136,17,17,18,833335296,8346394624,14,15,13,942772224,8126898176
5.1,49606656,4.2,160919552,13,15,12,834060288,8346394624,9.9,9.8,10,941895680,8126898176
1.2,49606656,1.7,160686080,6.2,5.6,6.8,834048000,8346394624,4.8,4.8,4.8,942649344,8126898176
0.012,49606656,0.69,160628736,4,4.6,3.4,833273856,8346394624,2.7,3,2.4,941875200,8126898176
0.011,49606656,0.25,160550912,4.1,3.8,4.4,833556480,8346394624,2.3,2.8,1.8,941875200,8126898176
0.011,49606656,0.23,160681984,3.7,3.4,4,833564672,8346394624,2.6,2.2,3,941600768,8126898176
0.012,49606656,0.22,160567296,6.5,7.6,5.4,833581056,8346394624,2.4,2.4,2.4,941600768,8126898176
0.013,49606656,0.25,160567296,3.6,3.8,3.4,833855488,8346394624,2.9,3.2,2.6,941342720,8126898176
0.012,49606656,0.25,160567296,4.1,3.4,4.8,833613824,8346394624,2.1,2.4,1.8,941342720,8126898176
1.8,38752256,0.23,160681984,3.8,3,4.6,833355776,8346394624,2.7,2.8,2.6,941084672,8126898176
7,41238528,0.44,160698368,8.5,7.4,9.6,822333440,8346394624,3.5,3.4,3.6,941842432,8126898176
14,43851776,1.9,160702464,13,10,15,823660544,8346394624,9.7,10,9.2,941555712,8126898176
16,43888640,4.3,160813056,25,24,26,826208256,8346394624,19,20,17,941813760,8126898176
15,44236800,4.5,160923648,20,19,21,826122240,8346394624,15,15,15,942174208,8126898176
14,42614784,3.8,161058816,22,20,23,821178368,8346394624,16,16,16,942006272,8126898176
14,42512384,4.5,161095680,18,19,18,823353344,8346394624,18,18,19,943628288,8126898176
13,42696704,4.3,161185792,19,18,20,825368576,8346394624,13,13,14,943214592,8126898176
13,42840064,4,161333248,19,16,21,825573376,8346394624,16,16,16,943562752,8126898176
12,43163648,3.7,161153024,20,20,20,825593856,8346394624,17,17,17,943697920,8126898176
12,43458560,3.8,161251328,19,17,21,825896960,8346394624,14,15,14,944013312,8126898176
11,43962368,4.5,161320960,19,16,21,826236928,8346394624,17,16,17,944353280,8126898176
11,44576768,3.9,161251328,17,17,18,824713216,8346394624,16,16,17,944975872,8126898176
12,45215744,3.6,161333248,20,19,22,825585664,8346394624,15,16,15,944607232,8126898176
11,45817856,3.7,161202176,18,19,18,826638336,8346394624,17,17,16,945430528,8126898176
12,46374912,5.5,161431552,19,18,19,827215872,8346394624,18,18,19,946253824,8126898176
13,47521792,5.8,161247232,21,21,22,828272640,8346394624,16,16,16,945831936,8126898176
13,48046080,4.4,161447936,20,17,24,829079552,8346394624,17,17,16,945623040,8126898176
13,48123904,4.6,161275904,18,20,16,829628416,8346394624,16,17,16,946507776,8126898176
13,48152576,4.4,161468416,23,21,24,829960192,8346394624,16,16,16,945840128,8126898176
9.9,48156672,4.3,161415168,17,16,18,829784064,8346394624,16,16,16,946176000,8126898176
8,48177152,3.9,161341440,17,14,19,830046208,8346394624,16,15,16,945774592,8126898176
9.5,48185344,3.5,161263616,19,19,19,829407232,8346394624,16,16,16,945893376,8126898176
9.4,48185344,3.5,161439744,18,17,18,830267392,8346394624,15,15,16,945971200,8126898176
9.9,48201728,3.9,161394688,15,14,16,829730816,8346394624,16,16,16,946601984,8126898176
11,48340992,4,161431552,20,19,20,830181376,8346394624,16,16,16,947998720,8126898176
9.9,48218112,3.6,161374208,19,18,20,831651840,8346394624,15,15,15,948056064,8126898176
9.1,48279552,4.7,161329152,18,16,20,839303168,8346394624,19,19,18,948088832,8126898176
10,48582656,5,161533952,19,17,20,831328256,8346394624,15,15,15,948195328,8126898176
11,48623616,4.4,161603584,17,16,19,832196608,8346394624,16,15,16,948281344,8126898176
7.3,48803840,3.7,161386496,15,14,17,830504960,8346394624,15,15,14,948232192,8126898176
2.1,48803840,2.4,161275904,12,9.2,15,830976000,8346394624,8.9,9,8.8,948322304,8126898176
0.23,48803840,1,161275904,4,4.2,3.8,830976000,8346394624,2.5,2.2,2.8,948322304,8126898176
0.011,48803840,0.25,161275904,4.3,3.2,5.4,830976000,8346394624,2.8,2.8,2.8,948064256,8126898176
0.012,48803840,0.25,161275904,5.4,5,5.8,831565824,8346394624,2.5,2.4,2.6,948580352,8126898176
0.011,48803840,0.27,161275904,4,3.4,4.6,831492096,8346394624,3.1,3,3.2,948322304,8126898176
0.011,48803840,0.27,161366016,3.7,3.2,4.2,831201280,8346394624,2.3,2.2,2.4,947548160,8126898176
0.0098,48803840,0.27,161275904,4.6,4.2,5,831201280,8346394624,2.9,3,2.8,947290112,8126898176
0.011,48803840,0.26,161366016,3.7,3.2,4.2,831369216,8346394624,2.1,1.8,2.4,947290112,8126898176
2.6,48869376,1.3,161796096,4.5,4.6,4.4,831143936,8346394624,4.8,5.8,3.8,946946048,8126898176
7.4,49954816,2,161538048,10,11,9.8,831696896,8346394624,4.5,4.6,4.4,946962432,8126898176
9.7,51363840,2.6,161648640,17,17,17,834498560,8346394624,16,16,16,946806784,8126898176
11,51404800,3.8,161710080,19,19,18,836866048,8346394624,22,22,21,948125696,8126898176
14,51445760,4.2,161783808,22,22,23,832962560,8346394624,19,19,19,949399552,8126898176
13,43409408,4.3,161566720,23,22,23,827850752,8346394624,15,15,15,949485568,8126898176
12,43438080,4,161628160,18,17,19,830513152,8346394624,21,21,21,949805056,8126898176
11,43442176,4.1,161763328,22,21,23,828948480,8346394624,20,20,20,952004608,8126898176
12,43470848,4,161685504,21,22,20,828751872,8346394624,16,16,15,952102912,8126898176
11,43474944,3.3,161939456,18,19,17,828567552,8346394624,21,22,21,952709120,8126898176
11,43859968,3.7,161882112,20,21,19,828612608,8346394624,20,20,20,951189504,8126898176
11,44322816,4.1,161898496,21,22,20,829448192,8346394624,15,15,15,951521280,8126898176
12,45088768,5.5,161976320,19,20,19,831569920,8346394624,23,24,23,952598528,8126898176
11,45682688,5.6,162156544,20,19,22,832585728,8346394624,21,21,21,952377344,8126898176
10,46297088,3.9,162217984,21,19,22,835305472,8346394624,16,15,16,955990016,8126898176
11,46931968,3.7,162131968,18,16,20,834158592,8346394624,19,19,19,955801600,8126898176
11,47751168,4.1,162365440,21,19,22,834056192,8346394624,22,22,23,955871232,8126898176
12,48300032,4.8,162250752,23,25,21,835248128,8346394624,16,16,17,956104704,8126898176
14,48889856,4.6,162328576,19,20,17,835964928,8346394624,20,19,20,955908096,8126898176
14,48889856,4.4,162324480,23,21,26,836165632,8346394624,21,22,21,955977728,8126898176
11,48889856,4,162377728,21,20,21,836784128,8346394624,15,15,15,959643648,8126898176
11,48889856,3.4,162410496,18,20,15,837300224,8346394624,19,19,19,958930944,8126898176
11,48889856,3.2,162459648,19,19,19,836730880,8346394624,21,22,21,958767104,8126898176
13,48955392,3.2,162734080,22,23,21,837210112,8346394624,15,15,15,960139264,8126898176
12,49209344,5.2,162979840,19,19,19,836419584,8346394624,20,21,20,959188992,8126898176
10,49324032,5,163045376,22,23,21,836132864,8346394624,21,21,22,959500288,8126898176
12,49348608,4,162852864,22,20,23,836579328,8346394624,15,15,15,957734912,8126898176
13,49545216,4.2,162779136,19,19,18,836493312,8346394624,18,17,18,957607936,8126898176
10,49885184,3.5,162959360,20,19,21,836800512,8346394624,21,21,22,957599744,8126898176
8,49958912,3.5,163078144,18,17,20,836902912,8346394624,15,15,15,957673472,8126898176
5.6,50003968,3.1,162996224,15,18,11,837160960,8346394624,16,16,17,958320640,8126898176
1.1,50003968,1.9,162942976,7.9,8.2,7.6,837591040,8346394624,2.7,2.4,3,958259200,8126898176
0.013,50003968,0.6,162942976,4,3.4,4.6,837599232,8346394624,2.3,2.6,2,957743104,8126898176
0.013,50003968,0.22,163045376,3.4,3,3.8,837124096,8346394624,2.8,2.8,2.8,957743104,8126898176
0.011,50003968,0.24,162942976,4.6,5.2,4,837091328,8346394624,2.4,2.8,2,957485056,8126898176
0.01,50003968,0.25,162942976,3.5,3.2,3.8,837091328,8346394624,2.9,3.2,2.6,957227008,8126898176
0.011,50003968,1.4,163057664,4.7,5.6,3.8,837382144,8346394624,3.8,5,2.6,956784640,8126898176
0.0062,50003968,1.4,162992128,7.9,7.8,8,825778176,8346394624,3,2.8,3.2,956837888,8126898176
0.76,50003968,0.25,162992128,4.2,3.6,4.8,825528320,8346394624,2.2,2.6,1.8,956268544,8126898176
5.2,40648704,0.7,163225600,6.1,6.4,5.8,825962496,8346394624,4.2,4.2,4.2,955944960,8126898176
12,43028480,2,163045376,19,20,18,818577408,8346394624,17,17,17,956403712,8126898176
14,43708416,3.2,163176448,32,33,31,823816192,8346394624,18,18,18,956329984,8126898176
13,43933696,3.7,163110912,25,25,25,824946688,8346394624,22,21,22,956850176,8126898176
15,43757568,4.6,163250176,26,25,26,829263872,8346394624,26,26,25,957476864,8126898176
16,43937792,4.3,163176448,29,30,28,828375040,8346394624,19,19,18,960348160,8126898176
15,44240896,3.8,163180544,26,27,25,829825024,8346394624,23,22,23,960679936,8126898176
12,44285952,4.3,163241984,21,23,20,830816256,8346394624,24,25,23,959123456,8126898176
13,44498944,3.8,163176448,24,22,25,830885888,8346394624,19,19,19,958849024,8126898176
14,44867584,5.4,163344384,24,23,25,830455808,8346394624,24,25,24,959102976,8126898176
13,45334528,5.8,163291136,21,20,22,831086592,8346394624,23,23,24,959635456,8126898176
12,45699072,3.9,163483648,26,31,22,831537152,8346394624,20,19,20,960430080,8126898176
11,45744128,3.4,163303424,21,22,21,832262144,8346394624,22,22,22,960012288,8126898176
9.6,46297088,3.8,163377152,21,21,20,832770048,8346394624,23,23,23,960712704,8126898176
11,46788608,4,163422208,22,20,25,833388544,8346394624,21,21,21,960253952,8126898176
14,47280128,4.2,163516416,24,22,27,834363392,8346394624,22,22,22,960004096,8126898176
15,48214016,4.9,163459072,23,22,24,835411968,8346394624,23,23,23,960565248,8126898176
14,48218112,4.9,163549184,29,28,29,836222976,8346394624,22,22,21,960294912,8126898176
12,48287744,4.9,163635200,23,20,26,836927488,8346394624,21,21,21,960630784,8126898176
11,48377856,4,163565568,19,16,21,835928064,8346394624,22,23,22,960602112,8126898176
10,48553984,3.4,163618816,23,23,22,837365760,8346394624,21,21,22,963706880,8126898176
12,48689152,4.5,163749888,22,21,23,836595712,8346394624,21,21,20,964599808,8126898176
9.8,48689152,4.9,163581952,22,21,23,837386240,8346394624,22,23,22,964874240,8126898176
11,48594944,3.8,163753984,25,27,23,838729728,8346394624,21,21,21,964653056,8126898176
12,48697344,3.5,163741696,21,21,20,838467584,8346394624,19,20,19,965529600,8126898176
11,48873472,3.8,163676160,19,18,19,838545408,8346394624,23,22,23,964464640,8126898176
11,48996352,4.2,164061184,25,27,22,840605696,8346394624,21,22,21,965189632,8126898176
10,49176576,3.8,163979264,21,21,21,839462912,8346394624,19,20,19,966483968,8126898176
9.9,49430528,3.7,163487744,22,22,21,839884800,8346394624,24,24,23,966799360,8126898176
6.8,49491968,3.7,163667968,21,18,23,840105984,8346394624,21,21,21,967348224,8126898176
1.7,49496064,2.4,164069376,11,13,8.2,838733824,8346394624,7.4,7.2,7.6,968048640,8126898176
0.054,49496064,0.79,164544512,4.2,4.4,4,838758400,8346394624,2.9,2.8,3,967790592,8126898176
0.011,49496064,0.27,164540416,3.9,4.2,3.6,839016448,8346394624,2.3,2.2,2.4,967790592,8126898176
0.01,49496064,1.5,164745216,4.3,4.4,4.2,838991872,8346394624,4.6,2.8,6.4,967483392,8126898176
0.0054,49496064,1.5,164720640,5.5,6,5,839237632,8346394624,2.3,2.2,2.4,966705152,8126898176
0.0058,49496064,0.25,164642816,4.3,3.8,4.8,839237632,8346394624,2.8,2.6,3,966705152,8126898176
0.012,49496064,0.25,164720640,5.9,5.8,6,825479168,8346394624,2,2.2,1.8,966189056,8126898176
0.012,49496064,0.26,164642816,4,4.4,3.6,825221120,8346394624,2.8,2.6,3,965931008,8126898176
5.1,43761664,0.32,164663296,5.2,4.6,5.8,819806208,8346394624,3.1,3.2,3,965644288,8126898176
12,44019712,1.5,164945920,12,12,13,820469760,8346394624,5.9,6,5.8,966647808,8126898176
17,44498944,2.8,164761600,33,34,33,825880576,8346394624,26,26,26,965894144,8126898176
17,45146112,3.5,164814848,32,32,32,828764160,8346394624,30,30,30,963821568,8126898176
17,42672128,4.4,164696064,30,30,30,833269760,8346394624,21,21,20,963735552,8126898176
16,42618880,4.7,164892672,28,28,28,830087168,8346394624,25,25,25,961851392,8126898176
13,43085824,3.9,164999168,23,22,23,831483904,8346394624,30,30,30,963768320,8126898176
12,43122688,4.1,164917248,27,27,27,830894080,8346394624,23,23,23,966316032,8126898176
12,43139072,5.3,165142528,27,30,24,830910464,8346394624,27,27,27,966635520,8126898176
