NumOfRequests, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage
750,2.3,5.463333333,1.925,10.77333333,10.79333333,10.73333333,7.453333333,7.386666667,7.52
750,2.2,4.863333333,1.939333333,11.56333333,11.26666667,11.85333333,10.51666667,10.5,10.57333333
750,2.3,5.201333333,1.97,15.11,14.81333333,15.44666667,16.59333333,16.44666667,16.60666667
750,2.2,4.973333333,2.01,16.83666667,17.22,16.52,19.69666667,19.8,19.49333333
750,2.4,4.968290323,1.926129032,19.36774194,18.94193548,19.63225806,25.31290323,25.38064516,25.24516129
750,2.6,5.92,2.026333333,27.56,26.79333333,28.36,33.18666667,33.43333333,33.07333333
1500,2,7.65685,2.8096875,12.6,12.84375,12.3875,7.76875,7.6875,7.88125
1500,2.1,9.151,3.193333333,16.65666667,16.92666667,16.26,14.44,14.32666667,14.62
1500,2,8.110032258,3.007419355,16.96774194,17.07741935,16.72903226,16.57096774,16.38064516,16.6
1500,2.2,9.34,3.333333333,21.03333333,21.15333333,21.06666667,22.93,22.99333333,22.96666667
1500,2.3,9.387419355,3.309354839,24.38387097,23.96774194,25.10322581,29.0483871,29.08387097,28.8516129
750,2.2,5.313451613,1.840967742,10.33870968,10.69032258,10.11612903,7.103225806,7.051612903,7.15483871
750,2.2,4.936666667,1.962,11.57,11.88666667,11.4,10.80333333,10.64666667,10.96666667
750,2.1,4.534258065,1.913548387,14.48064516,14.4516129,14.40645161,16.59032258,16.8,16.50967742
750,2.2,4.694333333,1.953,16.61666667,16.30666667,16.89333333,19.78,19.86,19.96666667
750,2.2,4.866666667,1.967333333,19.48666667,19.72,19.31333333,25.61666667,25.70666667,25.42666667
750,2.3,4.903612903,1.979032258,22.52258065,21.71612903,23.36129032,30.91935484,31.04516129,30.79354839
1500,1.9,7.3879375,2.934375,12.4625,12.1875,12.55625,7.915625,7.875,7.95625
1500,2,8.329666667,3.206666667,16.41666667,16.18,16.63333333,14.43666667,14.61333333,14.49333333
1500,2.1,8.34,3.195666667,17.65666667,16.90666667,18.40666667,17.32,17.35333333,17.08666667
1500,2.1,8.416666667,3.328666667,21.93666667,21.74,22.3,23.64333333,23.73333333,23.68666667
1500,2.2,8.055625,3.169375,24.30625,24.85,23.6375,27.26875,27.49375,27.16875
750,2.1,4.558419355,1.866129032,10.30645161,10.52258065,10.03225806,7.183870968,7.077419355,7.283870968
750,2.2,5.146666667,1.966,11.92666667,11.96,11.86,10.57666667,10.48666667,10.65333333
750,2.2,4.796666667,1.951,15.38666667,15.72666667,14.99333333,17.03,16.90666667,16.98666667
750,2.2,4.814,1.963333333,17.47666667,18.53333333,16.55333333,20.14333333,20.26,19.99333333
750,2.3,4.82665625,1.9,20.465625,20.375,20.7125,24.378125,24.44375,24.21875
750,2.3,4.906666667,2.019333333,24.66333333,24.57333333,24.78666667,31.72,31.82666667,31.64666667
1500,2,8.151935484,2.942580645,12.94516129,13.1483871,12.90322581,7.896774194,7.825806452,8
1500,2.1,9.198,3.173333333,16.86666667,17.41333333,16.22,14.62,14.85333333,14.35333333
1500,2.1,8.483333333,3.267333333,17.75,17.92666667,17.64,17.08666667,17.15333333,16.95333333
1500,2.1,8.592333333,3.306666667,21.71,22.15333333,21.2,23.98,24.23333333,23.89333333
1500,2.3,9.352,3.340322581,24.92580645,25.66451613,24.05806452,29.41935484,29.49032258,29.3483871
750,2,4.238709677,1.869677419,10.10322581,10.41935484,9.851612903,7.225806452,7.077419355,7.374193548
750,2.1,4.841935484,1.911612903,11.82580645,12.2,11.50322581,10.45806452,10.41290323,10.39354839
750,2.3,4.581290323,2.035806452,15.21612903,15.78064516,14.58709677,18.38709677,18.33548387,18.66451613
750,2.2,4.873548387,2.003225806,17.4483871,17.5483871,17.38709677,20.16129032,20.06451613,20.12903226
750,2.3,4.654193548,2.059354839,20.39354839,21.47096774,19.38064516,26.25483871,26.32258065,26.18709677
750,2.4,4.864516129,2.145483871,23.73225806,23.68709677,23.54516129,32.53548387,32.67741935,32.58709677
1500,2,7.948709677,3.047096774,12.82258065,12.99354839,12.61935484,8.283870968,8.283870968,8.303225806
1500,2,7.648709677,3.186129032,15.79032258,15.83870968,15.66451613,14.22580645,14.16129032,14.25806452
1500,2,7.983333333,3.209666667,18.04333333,18.72,17.3,17.77666667,17.77666667,17.74333333
1500,2.1,8.623333333,3.43,21.91333333,21.82666667,22.2,24.15,24.12,24.16333333
1500,2.3,8.522935484,3.436451613,25.03548387,25.41935484,24.68387097,28.75483871,28.90967742,28.63225806
750,2.1,4.65378125,1.899375,10.284375,10.38125,10.0625,7.04375,7.05625,7.03125
750,2.1,4.723333333,2.042666667,11.59666667,11.98,11.28666667,10.76333333,10.66666667,10.75333333
750,2.2,4.576129032,2.078709677,14.43548387,14.36774194,14.66451613,16.21935484,16.21290323,16.38709677
750,2.3,5.111612903,2.120967742,17.00645161,17.2516129,16.82580645,20.03870968,20.15483871,20.01935484
750,2.3,4.8834375,2.0828125,20.271875,20.01875,20.43125,24.43125,24.375,24.4875
750,2.3,4.871290323,2.194516129,23.86774194,23.60645161,24.15483871,31.86774194,31.91935484,31.78387097
1500,1.9,7.149109091,3.028484848,12.24242424,12.56363636,11.95151515,7.854545455,7.866666667,7.854545455
1500,2.1,8.153870968,3.210322581,16.10645161,16.18709677,15.75483871,14.53870968,14.48387097,14.62580645
1500,2.1,8.646666667,3.358,17.67,17.87333333,17.5,17.53666667,17.66666667,17.34
1500,2.1,7.881,3.353870968,20.7483871,22.06451613,19.49677419,23.20322581,23.15483871,23.09032258
1500,2.2,8.913216129,3.429354839,25.31935484,25.33548387,25.20645161,28.83548387,28.90322581,28.8
